"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","TREE_ID_IFN3_2.x","TREE_ID_IFN3.x","TREE_ID_IFN2.x","TREE_ID_compare","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_desenrollo.x","v_chapa.x","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_poste.x","v_estaca.x","v_trituracion_IFN2","wsw_IFN2","wthickb_IFN2","wb2_7_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2.y","TREE_ID_IFN3.y","TREE_ID_IFN2.y","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_desenrollo.y","v_chapa.y","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_poste.y","v_estaca.y","v_trituracion_IFN3","wsw_IFN3","wthickb_IFN3","wb2_7_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"2749","9_1543_20","IFN2","9_1543",NA,NA,20,NA,125.96,13.11,8.16,134.96,28.34,41.18,62.22,0.38,2.28,5.06,6.16,52.84,45.43,7.41,0,0,0,0,0,0,44.76,46.62,21.58,0,5.18,13.52,22.34,62.62,"Nodo 3 - Pies inventariados",4.16,3.16,8.95,"9_1543_50","IFN3","9_1543",50,50,20,127.32,10.23,7,82.13,25.33,1.05,32.13,68.45,0.43,1.88,3.96,4.85,28.48,23.72,4.75,3.63,0,0,0,0,0,0,20.93,22.13,11.27,0,3.01,9.34,13.59,37.21,"Nodo 1 - Pies inventariados",1.28,2
"2750","9_1543_21","IFN2","9_1543",NA,NA,21,NA,125.84,12.89,8.15,130.51,33.42,40.5,63.21,0.37,2.23,5.15,6.23,51.17,43.88,7.29,0,0,0,0,0,0,43.33,45.13,20.85,0,4.96,13.04,21.6,60.45,"Nodo 3 - Pies inventariados",4.14,3.15,8.75,"9_1543_52","IFN3","9_1543",52,52,21,127.32,11.31,7.09,100.52,16.07,1.28,35.54,62.68,0.46,2.1,3.84,4.77,34.78,29.42,5.37,4.43,0,0,0,0,0,0,25.34,30.04,13.98,0,3.93,11.49,16.64,46.03,"Nodo 1 - Pies inventariados",2.56,2.09
"2751","9_1543_22","IFN2","9_1543",NA,NA,22,NA,126.02,13.31,9.16,139.09,26.59,41.81,68.82,0.37,2.27,5.73,6.91,61.33,52.57,8.76,0,0,0,0,0,0,49.46,55.37,24.98,0,4.87,12.22,23.02,65.1,"Nodo 3 - Pies inventariados",4.16,3.16,9.15,"9_1543_53","IFN3","9_1543",53,53,22,127.32,11.63,9.55,106.2,13.39,1.35,36.53,82.09,0.45,2.06,5.28,6.43,49.92,41.84,8.09,6.36,0,0,0,0,0,0,39.45,44.33,19.88,0,3.24,8.66,17.58,49.36,"Nodo 1 - Pies inventariados",2.48,3.55
"2752","9_1543_23","IFN2","9_1543",NA,NA,23,NA,31.64,17.33,9.18,235.81,4.33,54.44,53,0.43,3.06,5.23,6.52,100.11,89.37,10.74,0,0,0,0,0,0,69.26,89.8,42.46,0,10.02,21.77,39.03,113.28,"Nodo 3 - Pies inventariados",4.28,3.18,13.05,"9_1543_55","IFN3","9_1543",55,55,23,31.83,16.33,7.73,209.57,4.25,0.67,51.32,47.31,0.48,3.05,3.98,5,74.96,66.83,8.13,2.39,0,0,0,0,0,0,58.1,67.15,31.75,0,9.95,23.34,34.69,99.73,"Nodo 1 - Pies inventariados",3.28,1.73
"2753","9_1543_24","IFN2","9_1543",NA,NA,24,NA,126.18,13.79,8.67,149.33,19.38,43.32,62.88,0.4,2.41,5.23,6.41,61.84,53.44,8.41,0,0,0,0,0,0,50.36,53.6,25.39,0,5.64,14.08,24.72,69.82,"Nodo 3 - Pies inventariados",4.19,3.17,9.6,"9_1543_56","IFN3","9_1543",56,56,24,127.32,12.42,9.68,121.13,7.59,1.54,39.01,77.96,0.46,2.22,5.21,6.4,57.21,48.4,8.81,7.28,0,0,0,0,0,0,44.82,50.77,23,0,3.83,9.85,20.05,56.72,"Nodo 1 - Pies inventariados",2.82,4.18
"2754","9_1543_25","IFN2","9_1543",NA,NA,25,NA,125.93,13.1,8.15,134.87,30.04,41.17,62.21,0.38,2.28,5.09,6.19,52.78,45.37,7.41,0,0,0,0,0,0,44.71,46.56,21.56,0,5.18,13.51,22.32,62.58,"Nodo 3 - Pies inventariados",4.15,3.15,8.95,"9_1543_59","IFN3","9_1543",59,59,25,127.32,11.52,8.27,104.16,14.74,1.33,36.18,71.84,0.45,2.09,4.53,5.57,42.22,35.56,6.66,5.38,0,0,0,0,0,0,35.59,37.02,16.9,0,3.59,10,17.24,47.72,"Nodo 1 - Pies inventariados",2.57,3.27
"2755","9_1543_26","IFN2","9_1543",NA,NA,26,NA,126.41,15.43,9.18,187.07,10.96,48.48,59.47,0.41,2.7,5.38,6.64,80.8,70.86,9.94,0,0,0,0,0,0,59.55,72.45,33.67,0,7.29,16.89,30.96,88.81,"Nodo 3 - Pies inventariados",4.23,3.18,11.2,"9_1543_62","IFN3","9_1543",62,62,26,31.83,13.53,8.73,143.69,6.69,0.46,42.49,64.52,0.47,2.47,4.62,5.72,60.09,51.75,8.34,1.91,0,0,0,0,0,0,49.59,51.86,24.59,0,5.32,13.39,23.78,67.08,"Nodo 1 - Pies inventariados",2.33,2.73
"2756","9_1543_27","IFN2","9_1543",NA,NA,27,NA,126.25,13.95,8.68,152.86,15.54,43.83,62.21,0.41,2.45,5.15,6.35,63.25,54.75,8.5,0,0,0,0,0,0,51.52,54.85,26.01,0,5.82,14.43,25.3,71.56,"Nodo 3 - Pies inventariados",4.2,3.18,9.75,"9_1543_63","IFN3","9_1543",63,63,27,127.32,11.99,8.59,112.83,9.13,1.44,37.66,71.67,0.46,2.18,4.6,5.68,47.29,40,7.29,6.02,0,0,0,0,0,0,39.25,41.1,19.01,0,3.87,10.46,18.68,52.01,"Nodo 1 - Pies inventariados",2.24,3.09
"2757","9_1543_28","IFN2","9_1543",NA,NA,28,NA,125.74,12.63,8.14,125.21,36.65,39.67,64.51,0.36,2.17,5.21,6.28,49.23,42.08,7.15,0,0,0,0,0,0,41.83,43.41,20,0,4.68,12.47,20.72,57.87,"Nodo 3 - Pies inventariados",4.13,3.14,8.5,"9_1543_65","IFN3","9_1543",65,65,28,127.32,10.25,9.64,82.58,24.28,1.05,32.21,93.98,0.42,1.78,5.61,6.72,39.97,32.84,7.13,5.09,0,0,0,0,0,0,31.41,33.09,15.6,0,2.28,6.5,13.67,38.05,"Nodo 1 - Pies inventariados",1.75,4.64
"2758","9_1543_3","IFN2","9_1543",NA,NA,3,NA,126.08,13.37,8.67,140.44,23.06,42.01,64.81,0.39,2.32,5.31,6.47,58.4,50.23,8.18,0,0,0,0,0,0,48.26,50.6,23.86,0,5.19,13.17,23.25,65.46,"Nodo 3 - Pies inventariados",4.17,3.17,9.2,"9_1543_6","IFN3","9_1543",6,6,3,127.32,11.23,8.77,99.04,17.35,1.26,35.28,78.12,0.44,2.01,4.9,5.97,42.86,35.86,7,5.46,0,0,0,0,0,0,35.3,36.8,17.04,0,3.18,8.84,16.39,45.45,"Nodo 1 - Pies inventariados",2.03,3.27
"2759","9_1543_4","IFN2","9_1543",NA,NA,4,NA,126.21,13.9,8.67,151.65,17.47,43.65,62.43,0.4,2.43,5.19,6.38,62.76,54.29,8.47,0,0,0,0,0,0,51.11,54.4,25.79,0,5.76,14.31,25.1,70.96,"Nodo 3 - Pies inventariados",4.2,3.17,9.7,"9_1543_7","IFN3","9_1543",7,7,4,127.32,11.98,8.86,112.73,10.57,1.44,37.64,73.98,0.46,2.17,4.79,5.9,48.82,41.23,7.58,6.22,0,0,0,0,0,0,40.04,41.81,19.59,0,3.76,10.07,18.66,52.08,"Nodo 1 - Pies inventariados",2.28,3.36
"2760","9_1543_5","IFN2","9_1543",NA,NA,5,NA,31.64,16.81,10.19,221.93,5.08,52.81,60.6,0.42,2.9,5.91,7.27,105.49,93.29,12.19,0,0,0,0,0,0,80,96.55,44.33,0,8.4,18.07,36.73,107.53,"Nodo 3 - Pies inventariados",4.26,3.19,12.55,"9_1543_11","IFN3","9_1543",11,11,5,31.83,16.12,10.09,204.05,4.92,0.65,50.64,62.61,0.47,2.87,5.38,6.62,96.66,84.97,11.69,3.08,0,0,0,0,0,0,75.88,88.7,40.37,0,7.55,16.66,33.77,98.35,"Nodo 1 - Pies inventariados",3.57,3.09
"2761","9_1543_6","IFN2","9_1543",NA,NA,6,NA,14.09,28.41,11.14,633.84,0,89.25,39.21,0.43,4.84,6.39,7.86,305.04,291.33,13.71,0,0,0,0,189.99,212.89,28.17,285.18,138.42,0,32.67,51.7,104.91,327.7,"Nodo 3 - Pies inventariados",4.41,3.14,24,"9_1543_16","IFN3","9_1543",16,16,6,14.15,29.4,12.27,678.96,0,0.96,92.37,41.74,0.47,5.06,6.52,7.98,359.72,343.87,15.85,5.09,0,0,0,0,206.84,233.81,28.26,338.78,163.39,0,32.9,49.85,112.38,358.52,"Nodo 1 - Pies inventariados",5.4,4.27
