"","X","PLOT_ID","ID_escenario","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","SDImax","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"67",67,"9_1401","Nodo 3 - Pies inventariados",35,"IFN2",10,25,1549.81,9.91,0,30.71,0,0,15.88,21.9,376.99,10.28,3.06,3.1,0.88,58.07,46.95,701.93,0,24.7,26.55,7.12,127.85,114.63,13.23,0.02,0,0,0,0,0,29.48,0,72.54,116.22,54.46,0,11.93,24.96,47.21,138.56,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,26,1128.23,0,0,23.31,NA,NA,16.22,21.85,375.26,14.01,3.07,3.1,0.56,85.63,64.15,529.12,21.24,22.83,14,130.98,116.41,14.57,NA,NA,0,0,0,0,49.81,12.56,69.08,122.52,55.31,0,6.42,11.97,33.7,107.4,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"68",68,"9_1405","Nodo 3 - Pies inventariados",35,"IFN2",10,50,1018.32,10.89,0,61.21,0,0,27.67,35.38,985.25,18.26,3.77,3.83,1.18,65.8,51.6,1215.4,0,17.17,18.45,14.12,489.62,457.5,32.12,0.04,0,0,0,0,91.46,311.69,236.74,65.71,465.02,217.37,0,20.52,28.63,101.32,367.85,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,51,679.06,0,0,44.4,NA,NA,28.85,35.74,1004.85,19.67,4.04,4.11,0.9,64.61,55.06,872.69,19.5,20.96,19.66,362.12,340.37,21.75,NA,NA,0,0,0,94.79,220.26,174.01,41.2,345.4,161.72,0,15.05,20.4,73.49,270.66,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"69",69,"9_1406","Nodo 3 - Pies inventariados",35,"IFN2",10,48,855.95,7.03,0,53.61,0.02,0,28.24,34.51,936.61,17.36,4.05,4.09,1.12,58.37,50.31,1058.93,0,19.69,21.15,13.5,388.95,365.74,23.21,0.07,0,0,0,0,57.37,247.72,200.08,45.5,369.36,173.77,0,19.61,27.91,88.74,310.04,0.06,0,"Nodo 1 - Pies inventariados","IFN3",2003,49,565.88,0,0,39.45,NA,NA,29.79,35.35,982.63,17.14,4.43,4.47,0.89,55.31,48.48,769.15,24.53,26.35,17.26,282.91,268.05,14.87,NA,NA,0,0,0,65.18,174.32,142.16,27.15,268.46,127.36,0,15.08,20.9,65.29,228.63,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"70",70,"9_1415","Nodo 3 - Pies inventariados",35,"IFN2",10,36,727.64,4.47,0,21.19,0,0,19.26,23.13,422.47,10.22,3.44,3.47,0.69,50.95,44.19,461.28,0,36.27,38.97,7.12,95.34,86.5,8.85,0.01,0,0,0,0,0,33.99,6.02,45.46,87.37,41.1,0,9.3,18.63,35.08,104.1,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,37,583.57,0,0,17.71,NA,NA,19.65,23.12,423.7,9.91,3.56,3.59,0.59,49.96,42.88,383.06,41.76,44.87,9.88,79.12,72,7.12,NA,NA,0,0,0,0,26.02,3.07,36.17,72.28,34.21,0,7.9,15.64,29.31,87.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"9_1427","Nodo 3 - Pies inventariados",35,"IFN2",10,34,317.11,1.19,0,11.64,0,0,21.62,24.58,475.87,9.1,4.28,4.3,0.37,38.71,37.04,245.99,0,61.68,66.28,6.25,42.06,39.18,2.88,0,0,0,0,0,0,20.06,0,11.83,38.56,18.62,0,5.35,9.97,17,50.94,0,0,"Nodo 1 - Pies inventariados","IFN3",2003,35,229.89,0,0,8.78,NA,NA,22.05,23.69,443.34,8.72,4.35,4.37,0.25,36.78,36.82,184.48,75.61,81.25,8.73,24.88,23.23,1.66,NA,NA,0,0,0,0,10.68,0,7.07,22.66,11.04,0,3.68,7.01,10.91,32.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"9_1428","Nodo 3 - Pies inventariados",35,"IFN2",10,42,1140.1,23.5,0,57.57,0.02,0,25.36,37.33,1104.01,17.23,3.7,3.83,1.24,58.99,46.16,1168.68,0,17.19,18.47,13.19,379.64,356.76,22.89,0.15,0,0,0,0,71.94,210.56,177.51,61.05,359.36,169.51,0.22,22.48,33.85,93.78,319.84,0.12,0,"Nodo 1 - Pies inventariados","IFN3",2003,43,1030.76,0,0,48.72,NA,NA,24.53,38.69,1186.66,16.03,4,4.24,1.37,48.67,41.43,997.17,19.43,20.88,16.03,268.35,255.03,13.32,NA,NA,0,0,0,79.98,129.2,101.31,37.87,251.07,121.17,0.45,52.67,163.89,78.01,416.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07119878,205.13,2.3462927,187.7413139
"73",73,"9_1430","Nodo 3 - Pies inventariados",35,"IFN2",10,25,126.47,0.86,0,1.61,0,0,12.72,12.72,127.03,5.58,2.77,2.77,0.08,43.9,43.9,38.85,0,159.26,171.13,3,4.25,3.7,0.55,0.01,0,0,0,0,0,0,0,3.46,3.62,1.76,0,0.85,2.48,2.66,7.74,0.04,0,"Nodo 1 - Pies inventariados","IFN3",2003,26,31.83,0,0,0.41,NA,NA,12.81,12.81,128.89,7.82,2.87,2.87,0.02,61.03,61.03,9.88,226.71,243.61,7.82,1.54,1.32,0.22,NA,NA,0,0,0,0,0,0,1.33,1.37,0.63,0,0.16,0.43,0.68,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"9_1432","Nodo 3 - Pies inventariados",35,"IFN2",10,35,218.18,1.1,0,9.81,0,0,23.93,26.41,553.28,10.98,4.42,4.46,0.34,44.4,41.59,202.13,0,61.63,66.23,7.86,46.21,43.22,2.99,0.02,0,0,0,0,0,25.48,12.89,10.09,42.82,20.53,0,4.7,8.18,16.24,49.66,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,148.54,0,0,7.19,NA,NA,24.83,26.36,558.29,10.18,4.67,4.74,0.26,40.54,38.63,146.75,80.58,86.58,10.01,31.86,30.12,1.74,NA,NA,0,0,0,2.31,18.6,7.01,6.71,29.5,14.31,0,3.76,6.45,11.9,36.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,"9_1438","Nodo 3 - Pies inventariados",35,"IFN2",10,45,997.11,7.33,0,42.2,0,0,23.21,29.2,671.01,12.85,3.74,3.78,1.12,51.38,44.01,876.1,0,24.64,26.48,9.5,225.48,208.84,16.64,0.03,0,0,0,0,2.32,128.87,92.45,58.08,210.62,99.23,0,17.94,30.83,69.86,217.85,0.04,0,"Nodo 1 - Pies inventariados","IFN3",2003,46,756.87,0,0,30.97,NA,NA,22.83,30.26,721.87,13.43,3.7,3.77,0.85,55.14,44.38,645.49,27.06,29.08,13.48,176.35,163.02,13.32,NA,NA,0,0,0,4.9,95.43,67.04,48.24,164.72,77.46,0,12.64,21.59,51.27,162.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,"9_1444","Nodo 3 - Pies inventariados",35,"IFN2",10,35,569.42,3.54,0,9.83,0,0,14.83,16.58,216.79,7.76,2.93,2.94,0.39,47.6,46.82,228.69,0,53.99,58.02,4.75,32.62,28.8,3.82,0.02,0,0,0,0,0,0,0,23.43,28.42,13.68,0,4.72,11.9,16.27,46.58,0.04,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,190.99,0,0,3.79,NA,NA,15.89,17.38,238.25,7.83,3.22,3.25,0.16,47.96,45.04,86.4,92.46,99.35,7.8,13.46,11.99,1.47,NA,NA,0,0,0,0,0,0,9.39,11.93,5.7,0,1.8,4.26,6.27,18.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,"9_1447","Nodo 3 - Pies inventariados",35,"IFN2",10,35,902.03,21.07,0,35.26,0.02,0,22.31,38.85,1207.75,19.19,3.25,3.45,0.84,67.54,49.39,739.3,0,17.35,18.65,15.06,244.13,227.74,16.39,0.07,0,0,0,0,66.53,93.96,60.89,64.89,229.55,108.21,0.73,12.96,19.99,58.36,200.23,0.07,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,851.94,0,0,24.78,NA,NA,19.25,35.82,1032.41,20.4,2.91,3.14,0.66,71.98,56.96,539.02,16.79,18.04,18.78,185.5,171.34,14.16,NA,NA,0,0,2.07,52.31,76.11,50.63,49.38,174.72,81.41,0.36,14.86,43.21,41.02,180.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61542791,205.13,1.0707052,45.8273876
"78",78,"9_1448","Nodo 3 - Pies inventariados",35,"IFN2",10,35,1341.89,9.16,0,34.82,0,0,18.18,26.82,566.16,11.78,3.43,3.5,0.92,49.78,43.92,769.08,0,23.18,24.9,8.5,146.63,134.55,12.08,0.02,0,0,0,0,0,65.36,27.96,54,135.13,63.93,0,13.93,26.37,51.86,156.09,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,1018.59,0,0,25.81,NA,NA,17.96,26.43,550.37,14.13,3.26,3.34,0.64,63.75,53.45,571.06,22.18,23.83,13.93,133.07,120.67,12.41,NA,NA,0,0,0,0,61.43,29.42,49.8,123.97,57.33,0,8.26,14.98,37.58,118.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,"9_1458","Nodo 3 - Pies inventariados",35,"IFN2",10,30,253.12,1.52,0,3.98,0,0,14.16,14.81,172.2,6.14,2.95,2.96,0.17,43.43,41.47,93.78,0,102.36,109.99,3.5,11.46,10.1,1.36,0.02,0,0,0,0,0,0,0,8.8,9.42,4.8,0,2.1,5.62,6.6,19.11,0.04,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,63.66,0,0,1.03,NA,NA,14.36,14.36,162.04,7.41,3.11,3.11,0.05,51.61,51.61,24.14,169.16,181.77,7.41,3.6,3.15,0.45,NA,NA,0,0,0,0,0,0,3.06,3.05,1.5,0,0.46,1.18,1.71,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,"9_1459","Nodo 3 - Pies inventariados",35,"IFN2",10,32,959.45,9.62,0,24.73,0,0,18.12,25.57,514.14,11.5,3.13,3.22,0.78,53.61,44.99,546.76,0,28.06,30.16,8.29,113.18,102.65,10.53,0.01,0,0,0,0,0,42.59,15.13,50.08,103.36,48.77,0,10.6,21.42,40.94,121.74,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,33,671.99,0,0,17.27,NA,NA,18.09,26.12,538.65,11.08,3.11,3.29,0.57,55.49,42.41,381.43,34.83,37.43,11.18,79.52,72.53,6.99,NA,NA,0,0,0,0,32.78,14.3,29.58,72.62,34.46,0,7.59,14.75,28.58,85.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,"9_1473","Nodo 3 - Pies inventariados",35,"IFN2",10,42,962.59,10.03,0,37.69,0,0,22.33,29.13,667.72,12.81,3.6,3.69,1.03,51.96,43.98,790.17,0,25.16,27.04,9.44,198.56,183.94,14.62,0.03,0,0,0,0,2.36,108.68,87.33,52.43,184.67,87.4,0,16.3,28.38,62.39,194.46,0.04,0,"Nodo 1 - Pies inventariados","IFN3",2003,43,795.77,0,0,25.95,NA,NA,20.38,29.59,690.37,12.29,3.37,3.54,0.78,50.13,41.53,556.4,28.84,30.99,12.52,128.64,119.22,9.42,NA,NA,0,0,0,4.83,64.91,42.72,34.69,119.24,56.65,0,11.78,21.88,42.95,133.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,"9_1474","Nodo 3 - Pies inventariados",35,"IFN2",10,33,1450.36,17.4,0,49.85,0.01,0,20.92,28.48,638.16,14.53,3.2,3.26,1.21,62.29,51.03,1062.47,0,18.07,19.41,10.82,297.34,270.93,26.41,0.04,0,0,0,0,0,148.02,100.86,102.17,278.34,128.73,0,18.28,32.04,82.51,261.56,0.04,0,"Nodo 1 - Pies inventariados","IFN3",2003,34,1213.11,0,0,38.26,NA,NA,20.04,29.61,690.31,15.13,3.07,3.17,0.96,68.11,51.08,823.83,18.98,20.39,15.1,240.39,218.15,22.25,NA,NA,0,0,0,7,118.61,92.61,87.3,224.86,103.65,0,13.31,23.19,63.34,203.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,"9_1475","Nodo 3 - Pies inventariados",35,"IFN2",10,30,885.36,5.91,0,12.99,0,0,13.67,14.68,169.26,7.29,2.65,2.66,0.49,54.39,49.63,308.43,0,46.13,49.57,4.5,45.84,39.85,6,0.02,0,0,0,0,0,0,0,35.86,39.73,18.93,0,5.62,14.67,21.5,60.72,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,509.3,0,0,6.3,NA,NA,12.55,13.6,145.27,8.14,2.51,2.51,0.25,60.87,59.84,152.45,54.46,58.52,7.93,23.21,19.89,3.32,NA,NA,0,0,0,0,0,0,18.2,20.16,9.45,0,2.49,6.76,10.43,29.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,"9_1476","Nodo 3 - Pies inventariados",35,"IFN2",10,30,696.08,4.2,0,14.58,0.02,0,16.33,18.34,264.13,8.51,3.11,3.12,0.53,48.59,46.43,330.94,0,44.52,47.84,5.5,54.03,48.19,5.84,0.02,0,0,0,0,0,0,0,39.28,48.13,22.9,0,6.77,15.73,24.13,69.54,0.04,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,413.8,0,0,9.94,NA,NA,17.48,18.83,278.56,9.89,3.31,3.32,0.36,54.09,52.53,221.33,49.71,53.42,10,43.66,39.04,4.63,NA,NA,0,0,0,0,2,0,27.93,39.7,18.55,0,4.16,8.9,16.45,48.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,"9_1477","Nodo 3 - Pies inventariados",35,"IFN2",10,30,1013.21,5.39,0,17.07,0,0,14.65,18.67,274.26,7.23,2.92,2.94,0.56,48.7,38.74,398.3,0,43.44,46.68,4.75,54.75,48.45,6.3,0.01,0,0,0,0,0,0,0,39.59,48.58,23.02,0,7.25,17.45,25.38,73.09,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,509.3,0,0,9.85,NA,NA,15.69,19.3,293.09,12.26,2.91,2.95,0.31,61.8,63.54,225.5,36.14,38.84,11.93,43.47,38.3,5.18,NA,NA,0,0,0,0,6.17,0,28.29,39.65,18.2,0,3.19,6.92,14.52,42.82,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"86",86,"9_1488","Nodo 3 - Pies inventariados",35,"IFN2",10,41,2728.89,54.56,0,75.86,0,0,18.81,27.28,586.51,14.98,2.74,2.8,1.6,74.62,54.92,1661.06,0,12.78,13.73,11.15,495.1,443.12,51.98,0.05,0,0,0,0,2.3,210.14,136.19,221.78,464.02,210.54,0,24.03,43.16,124.51,402.24,0.05,0,"Nodo 1 - Pies inventariados","IFN3",2003,42,2069.01,0,0,53.25,NA,NA,18.1,26.38,551.97,14.83,2.84,2.91,1.3,68.66,56.21,1175.92,14.83,15.93,14.7,320.45,287.42,33.03,NA,NA,0,0,0,2.49,139.43,69.32,142.45,298.53,136.57,0,21.15,52.91,86.82,297.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39265799,159.15,0.4790415,28.3840842
"87",87,"9_1489","Nodo 3 - Pies inventariados",35,"IFN2",10,40,756.24,7.7,0,39.16,0,0,25.68,34.49,939.13,15.46,4.01,4.1,1,50.4,44.8,792.33,0,23.53,25.28,11.75,230.37,217.08,13.29,0.03,0,0,0,0,38.51,130.09,105.39,39.83,216.92,103.14,0.01,16.99,26.95,64.81,211.9,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,41,693.21,0,0,33.9,NA,NA,24.95,36.35,1042.49,15.39,4.23,4.35,1.03,39.28,42.35,690.9,24.67,26.51,15.52,178.04,170.03,8,NA,NA,0,0,0,52.65,88.45,70.54,21.63,166.48,80.79,0.08,33.13,108,56.11,278.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86343903,173.3,1.0888596,111.6547062
"88",88,"9_1490","Nodo 3 - Pies inventariados",35,"IFN2",10,30,1351.93,13.26,0,29.23,0,0,16.59,25.48,517.84,10.23,2.91,2.98,0.94,52.21,40.15,660.73,0,26.58,28.57,6.94,119.22,107.15,12.07,0.02,0,0,0,0,2.29,23.99,6.67,70.56,107.38,50.91,0,13.06,28.59,48.38,140.94,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,930.17,0,0,20.2,NA,NA,16.63,25.44,523.46,11.63,2.93,3.04,0.67,56.17,45.71,455.72,28.2,30.3,11.64,93.99,84.7,9.29,NA,NA,0,0,0,2.75,22.92,6.66,45.73,86.21,40.24,0,12.5,45.9,33.44,132.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02008784,127.32,0.1820676,37.0959552
"89",89,"9_1491","Nodo 3 - Pies inventariados",35,"IFN2",10,33,95.05,0.44,0,3.16,0,0,20.56,20.47,332,7.94,4.2,4.22,0.13,38.77,38.77,67.56,0,129.26,138.9,5.17,11.18,10.33,0.85,0.01,0,0,0,0,0,4.36,0,4.42,10.06,4.91,0,1.75,3.58,5.22,15.46,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,34,77.81,0,0,2.91,NA,NA,21.84,21.79,374.57,10.84,4.31,4.32,0.11,49.74,49.74,61.42,104.61,112.41,10.84,14.07,12.92,1.15,NA,NA,0,0,0,0,5.99,0,4.62,13.1,6.14,0,1.3,2.38,4.82,14.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,"9_1507","Nodo 3 - Pies inventariados",35,"IFN2",10,47,1271.74,20.74,0,53.91,0.02,0,23.23,31.53,881.62,17.65,3.21,3.28,1.07,73.09,55.96,1118.83,0,15.89,17.08,13.88,389.79,355.35,34.44,0.1,0,0,0,0,4.62,228,183.65,104.75,369.2,168.84,0,16.03,25.23,84.97,295.07,0.07,0,"Nodo 1 - Pies inventariados","IFN3",2003,48,309.26,0,0,18.38,NA,NA,27.51,31.99,935.93,16.29,4.14,4.17,0.42,57.57,50.92,365.52,34.9,37.51,16.29,104.9,97.37,7.53,NA,NA,0,0,0,4.58,68.48,54.55,18.97,99.2,46.27,0,5.58,8.69,25.32,85.85,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"91",91,"9_1508","Nodo 3 - Pies inventariados",35,"IFN2",10,38,1057.89,6.68,0,39.4,0,0,21.78,25.99,530.81,9.85,3.65,3.68,1.13,48.16,37.9,831.2,0,31.21,33.54,6.84,186.02,171.36,14.66,0.02,0,0,0,0,0,98.64,20.81,59.4,171.63,81.42,0,18.07,33.59,65.21,198.29,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,39,710.89,0,0,24.26,NA,NA,20.84,26.19,539.75,11.45,3.75,3.79,0.8,45.58,43.71,517.12,32.77,35.21,11.64,110.01,101.14,8.87,NA,NA,0,0,0,0,54.29,21.84,36.78,101.06,48.06,0,17.44,51.78,40.15,157.42,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.76032632,95.49,0.4854075,43.6446594
"92",92,"9_1509","Nodo 3 - Pies inventariados",35,"IFN2",10,36,868.1,5.49,0,30.93,0,0,21.3,26.02,535.54,11.76,3.6,3.62,0.9,52.75,45.19,656.3,0,28.86,31.01,8.47,157.19,143.92,13.27,0.02,0,0,0,0,2.26,73.5,21.66,56.5,145.74,68.38,0,12.99,23.85,51.2,156.42,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,37,785.16,0,0,26.17,NA,NA,20.6,25.96,539.38,14.26,3.4,3.43,0.73,62.85,54.95,559.56,25.02,26.88,14.15,156.28,141.69,14.6,NA,NA,0,0,0,4.86,73.7,28.93,61.81,146,67.32,0,9.44,16.99,43.32,137.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,"9_1524","Nodo 3 - Pies inventariados",35,"IFN2",10,40,457.19,2.59,0,23.12,0,0,25.38,29.44,682.29,13.42,4.25,4.28,0.66,51.07,45.57,469.26,0,34.86,37.46,10.06,132.21,123.52,8.69,0.03,0,0,0,0,2.45,87.57,74.09,24.1,124.05,58.69,0,9.69,15.57,38.27,122.21,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,41,159.15,0,0,9.35,NA,NA,27.35,29.39,687.86,15.07,4.69,4.74,0.28,55.05,51.27,186.25,52.6,56.52,15.12,61.61,57.95,3.67,NA,NA,0,0,0,9.84,38.48,35.31,8.68,58.2,27.53,0,3.66,5.4,15.48,52.07,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"94",94,"9_1525","Nodo 3 - Pies inventariados",35,"IFN2",10,44,1133.15,12.76,0,45.99,0.02,0,22.73,30.01,711.52,16.59,3.31,3.38,1.02,70.69,55.28,959.7,0,17.91,19.24,12.81,334.06,305.25,28.81,0.05,0,0,0,0,7.55,192.74,147.65,92.29,315.18,145.04,0,14.96,23.79,76.12,259.91,0.05,0,"Nodo 1 - Pies inventariados","IFN3",2003,45,314.77,0,0,14.18,NA,NA,23.95,29.77,701.17,17.77,3.87,3.94,0.38,66.95,59.69,292.02,31.72,34.09,17.79,103.99,95.94,8.05,NA,NA,0,0,0,7.65,58.11,43.1,24.72,98.22,45.59,0,4.81,7.45,23.47,81.32,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"95",95,"9_1543","Nodo 3 - Pies inventariados",35,"IFN2",10,40,2850.19,28.74,0,44.15,0.02,0,14.04,20.32,332.96,10.32,2.4,2.43,1.32,63.71,50.76,1041.24,0,18.16,19.51,7.13,189.17,164.35,24.82,0.03,0,0,0,0,0,6.46,3,143.99,168.19,78.09,0,16.67,40.38,73.08,208.22,0.05,0,"Nodo 1 - Pies inventariados","IFN3",2003,41,2496.96,0,0,28.12,NA,NA,11.98,20.08,328.14,11.75,2.11,2.15,0.9,74.32,58.54,688.69,17.03,18.29,11.82,124.05,105.8,18.25,NA,NA,0,0,0,0,6.73,3.31,89.99,108.09,50.27,0,9.66,25.21,46.55,131.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"9_1549","Nodo 3 - Pies inventariados",35,"IFN2",10,39,73.95,0.33,0,4.37,0,0,27.42,27.2,590.47,10.2,5.31,5.35,0.17,37.51,37.51,86.89,0,113.98,122.48,7.26,19.62,18.76,0.86,0.02,0,0,0,0,2.28,11.22,6.8,2.57,18.23,8.91,0,2.37,3.87,7.23,22.38,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,40,56.59,0,0,3.98,NA,NA,29.92,29.76,702.96,11.23,5.75,5.77,0.15,37.73,37.73,77.48,118.4,127.23,11.23,19.43,18.73,0.7,NA,NA,0,0,0,2.47,12.23,10.36,1.71,18.23,8.9,0,2.12,3.24,6.58,20.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,"9_1568","Nodo 3 - Pies inventariados",35,"IFN2",10,30,379.32,2.65,0,6.22,0,0,14.44,16.09,203.33,8.89,2.86,2.87,0.25,56.09,55.23,145.55,0,57.78,62.08,6,23.87,20.88,2.99,0.03,0,0,0,0,0,0,0,19,21.13,9.92,0,2.6,6.42,10.29,29.23,0.04,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,190.99,0,0,2.29,NA,NA,12.35,13.39,143.64,9.21,2.51,2.53,0.1,71.41,68.78,55.6,78.57,84.43,8.72,9.94,8.48,1.46,NA,NA,0,0,0,0,0,0,7.27,8.88,4.03,0,0.79,2.06,3.79,10.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,"9_1577","Nodo 3 - Pies inventariados",35,"IFN2",10,49,918.54,8.09,0,60.53,0,0,28.97,35.91,1017.48,18.54,4,4.04,1.18,61.56,51.65,1187.88,0,17.79,19.12,14.31,472.94,444.87,28.08,0.03,0,0,0,0,103.24,299.91,232.18,50.5,449.96,211.37,0.06,21.12,29.04,100.19,361.78,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,50,767.48,0,0,51.66,NA,NA,29.28,36.3,1040.04,17.17,4.22,4.27,1.1,56.07,47.3,1011.7,21.02,22.59,17.26,370.64,350.73,19.9,NA,NA,0,0,0,79.5,225.37,185.72,37.8,352.14,166.64,0.08,19.63,27.4,85.51,299.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,"9_1580","Nodo 3 - Pies inventariados",35,"IFN2",10,28,1452.82,11.4,0,28.01,0,0,15.67,21.14,351.4,8.81,2.79,2.83,0.91,55.92,41.66,642.39,0,29.78,32,5.87,113.86,100.67,13.19,0.01,0,0,0,0,0,8.4,0,79.69,101.58,47.83,0,11.88,27.21,46.36,133.28,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,29,760.41,0,0,15.2,NA,NA,15.95,22.44,395.94,9.77,2.82,2.93,0.51,64.72,43.55,346.36,37.11,39.88,9.74,70.97,62.92,8.06,NA,NA,0,0,0,0,13.29,0,42.94,64.31,29.89,0,6.02,12.74,25.15,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
