"","X","PLOT_ID","ID_escenario","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","SDImax","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"57",57,"9_1343","Nodo 3 - Pies inventariados",35,"IFN2",10,35,2247.39,37.37,0,73.22,0,0,20.37,27.13,578.51,14.68,2.94,3,1.59,68.04,54.11,1571.22,0,14.37,15.44,10.91,465.01,420.38,44.63,0.05,0,0,0,0,0,238.42,140.83,178.59,435.39,199.74,0,25,43.92,121.19,389.85,0.04,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,735.65,0,0,27.55,NA,NA,21.84,27.81,608.28,17.54,3.36,3.4,0.67,74.92,63.07,580.54,21.02,22.59,17.49,205.2,185.74,19.46,NA,NA,0,0,0,2.29,110.28,76.54,67.85,194,88.25,0,8.49,13.86,45.6,156.19,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"58",58,"9_1351","Nodo 3 - Pies inventariados",35,"IFN2",10,35,1997.27,22.22,0,63.66,0,0,20.14,25.45,509.79,13.14,3.05,3.1,1.5,62.81,51.62,1369.9,0,17.03,18.3,9.56,366.02,331.03,34.99,0.03,0,0,0,0,0,162.58,77.77,146.58,340.92,157.28,0,23.28,42.33,105.37,328.26,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,717.97,0,0,25.04,NA,NA,21.07,25.42,509.54,13.76,3.5,3.52,0.7,61.94,54.13,532.43,27.12,29.14,13.78,148.78,135.03,13.75,NA,NA,0,0,0,0,76.86,22.64,53.34,139.37,64.16,0,9.09,16.14,41.45,130.85,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"59",59,"9_1357","Nodo 3 - Pies inventariados",35,"IFN2",10,30,1177.02,7.8,0,26.31,0,0,16.87,24.57,478.33,11,2.9,2.93,0.58,61.9,44.77,592.29,0,26.5,28.47,10.41,98.8,87.59,11.21,0,0,0,0,0,0,17.52,0,60.69,91.19,41.62,0,6.83,14.2,31.48,94.12,0,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,544.66,0,0,16.61,NA,NA,19.7,27.44,601.84,16.16,3.34,3.36,0.19,71.28,58.91,359.12,26.51,28.48,15.59,40.79,36.52,4.27,NA,NA,0,0,0,0,15.04,10.16,19.74,38.24,17.35,0,2.15,3.94,10.79,34.23,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"60",60,"9_1360","Nodo 3 - Pies inventariados",35,"IFN2",10,25,1473.86,4.51,0,33.74,0,0,17.07,30.02,709.72,10.59,4.01,4.11,0.69,50.53,35.27,757.21,0,24.6,26.43,7.44,104.55,98.49,6.06,0.02,0,0,0,0,2.35,56.72,46.6,20.84,96.21,46.79,0,11.6,20.28,37.93,116.6,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,26,272.33,0,0,16.52,NA,NA,27.79,32.16,816.57,14.89,4.87,4.91,0.4,53.79,46.3,327.73,40.7,43.73,14.8,92.19,87.62,4.57,NA,NA,0,0,0,17.56,57.16,48.34,9.37,87.24,41.63,0,5.94,8.53,23.7,79.8,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"61",61,"9_1361","Nodo 3 - Pies inventariados",35,"IFN2",10,35,1495,11.67,0,55.19,0,0,21.68,26.59,556.58,13.12,3.4,3.43,1.38,54.85,49.36,1165.66,0,19.71,21.18,9.55,296.54,271.53,25.01,0.03,0,0,0,0,0,160.42,68.09,98.77,276.35,129.02,0,22.22,39.75,91.35,282.34,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,1294.46,0,0,43.16,NA,NA,20.6,27.27,586.93,16.45,3.13,3.17,1.02,70.83,60.32,922.77,16.9,18.16,16.39,291.02,262.38,28.64,NA,NA,0,0,0,2.34,153.94,82.09,114.12,273.6,124.67,0,13.96,24.29,71.44,234.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"9_1389","Nodo 3 - Pies inventariados",35,"IFN2",10,28,2154.53,9.98,0,30.16,0,0,13.35,20.52,331.69,9.26,2.74,2.77,0.76,58.31,45.11,720.55,0,23.27,25,6.37,91.08,80.36,10.72,0.01,0,0,0,0,0,6.29,0,65.27,80.59,38.18,0,9.87,23.24,38.16,109.46,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,29,1669.36,0,0,22.74,NA,NA,13.17,21.43,361.63,11.72,2.54,2.61,0.47,72.23,54.7,543.85,20.88,22.44,11.71,73.31,64.25,9.06,NA,NA,0,0,0,0,16.3,0,45.94,66.29,30.53,0,5.19,11.56,24.4,71.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"9_1390","Nodo 3 - Pies inventariados",35,"IFN2",10,30,1579.66,11.88,0,25.09,0,0,14.22,17.12,230.31,8.6,2.58,2.6,0.84,60.25,50.23,589.78,0,29.26,31.44,5.58,101.57,88.38,13.19,0.03,0,0,0,0,0,0,0,80.62,89.45,41.99,0,9.93,24.3,41.53,117.75,0.04,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,827.61,0,0,11.28,NA,NA,13.17,17.51,241.73,11.86,2.36,2.39,0.37,89.12,67.73,269.68,29.3,31.49,11.78,63.64,54.08,9.56,NA,NA,0,0,0,0,3.62,0,50.75,57.2,25.7,0,3.25,7.58,18.67,55.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"9_1391","Nodo 3 - Pies inventariados",35,"IFN2",10,48,868.7,8.41,0,42.24,0.02,0,24.88,32.62,841.92,17.38,3.67,3.74,0.95,64.36,53.27,861.63,0,19.52,20.98,13.44,302.67,280.29,22.38,0.05,0,0,0,0,29.22,189.55,138.6,62.4,286.41,133.17,0.01,14.71,22.41,69.92,240.23,0.05,0,"Nodo 1 - Pies inventariados","IFN3",2003,49,717.97,0,0,32.03,NA,NA,23.83,33.45,885.09,17.26,3.76,3.86,0.84,58.21,51.59,660.41,21.62,23.24,17.1,212.36,197.64,14.72,NA,NA,0,0,0,30.77,120.44,92.82,45.15,200.42,93.91,0.03,17.57,45.32,53.02,209.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68145158,95.49,0.5172375,38.0037468
"65",65,"9_1394","Nodo 3 - Pies inventariados",35,"IFN2",10,49,1104.6,16.57,0,59.1,0,0,26.1,34.57,939.18,19.8,3.53,3.61,1.13,70.52,57.29,1190.95,0,15.19,16.33,15.44,484.08,449.47,34.61,0.05,0,0,0,0,96.54,294.06,221.54,85.53,459.82,213.56,0,18.98,27,97.83,357.36,0.04,0,"Nodo 1 - Pies inventariados","IFN3",2003,50,477.46,0,0,34.96,NA,NA,30.53,35.93,1015.16,18.89,4.39,4.47,0.75,60.89,52.58,677.43,24.23,26.03,18.74,280.41,265.99,14.42,NA,NA,0,0,0,103.51,153.11,123.23,26.07,267.09,126.38,0,12.45,16.35,57.86,213.04,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"66",66,"9_1398","Nodo 3 - Pies inventariados",35,"IFN2",10,31,1136.51,9.41,0,30.18,0,0,18.39,24.94,489.67,10.47,3.19,3.24,0.94,51.12,41.97,664.75,0,28.33,30.45,7.37,131.6,119.22,12.38,0.02,0,0,0,0,0,46.11,0,65.31,119.81,56.65,0,13.37,27.43,49.96,147.41,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,32,640.16,0,0,19.87,NA,NA,19.88,25.22,503.68,10.59,3.57,3.62,0.66,47.65,41.97,428.57,37.34,40.12,10.31,85.95,78.67,7.28,NA,NA,0,0,0,0,32.71,8.8,36.06,78.8,37.38,0,9.27,18.29,32.88,97.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
