"","PLOT_ID","Hoja_arboles","INVENTORY_ID_IFN2","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_domi.nte_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez_(hq/dq)","Esbeltez_(h100/d100)","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","W_descorchado","V_descorchado","INVENTORY_ID_IFN3","Nombre_modelo","T_IFN3","N_IFN3","G_IFN3","dg_IFN3","Do_IFN3","Seccion_domi.nte_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez (hq/dq)","Esbeltez (h100/d100)","SDI_IFN3","Hart_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","G_incorporada_IFN3","N_incorporado_IFN3","V_incorporado_IFN3","WT_incorporada_IFN3","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3","N_muerto_IFN3","V_muerto_IFN3","WT_muerta_IFN3"
"26","19_582","Nodo 3 - Pies inventariados","IFN2",30,1139.89,0,163.75,43.49,.,5.21,22.04,29.19,669.55,12.14,3.08,3.19,0.91,49.15,41.58,928.41,24.4,26.22,23.57,222.56,149.32,73.24,0,25.3,0,7.41,128.18,207.22,97.96,7.96,19.66,31.57,157.15,.,12.7,.,.,"IFN3","Ppi.ster_me__sim__v01",30,364.29,17.9,25.02,29.55,688.04,11.92,3.72,3.78,0.41,46.71,40.36,364.67,43.94,21.65,95.22,64.28,30.94,0,7.06,57.76,88.84,41.89,3.58,8.32,13.87,67.65,7.0838862,127.35,37.5378275,27.1406905,0,0,0,0,.,.,.,.
"27","19_591","Nodo 3 - Pies inventariados","IFN2",40,356.11,0,41.33,21.22,.,1.7,27.54,38.82,1196.53,13.32,3.81,4.12,0.47,40.7,34.32,417,39.77,42.74,20.37,115.23,79.34,35.89,0,8.05,0,59.9,37.85,107.86,52.2,5.67,10.61,20.01,88.49,.,4.57,.,.,"IFN3","Ppi.ster_me__sim__v01",40,422.43,21.34,25.36,37.83,1133.02,12.99,3.42,3.8,0.48,41.46,34.34,432.44,37.45,19.86,112.65,77.29,35.36,0,46.55,43.51,104.98,51.17,5.43,10.52,19.44,86.57,5.0238033,125.35,23.1956505,17.8576634,.,.,.,.,.,.,.,.
"28","19_593","Nodo 3 - Pies inventariados","IFN2",35,2166.47,0,210.64,65.91,.,6.05,19.68,26.7,560.06,12.25,2.71,2.77,1.31,51.58,45.86,1467.3,17.54,18.85,21.52,320.23,212.48,107.74,0,29.09,0,0,140.6,295.16,140.48,10.26,28.5,42.72,221.95,.,14.99,.,.,"IFN3","Ppi.ster_me__sim__v01",35,866.51,30.11,21.03,28.31,630.65,11.27,3.07,3.14,0.67,47.14,39.82,654.03,30.13,19.22,140.5,93.6,46.89,0,2.24,63.4,129.23,63.32,5.12,13.34,20.76,102.54,10.59196436,336.01,50.0541771,35.9386846,0,0,0,0,0.68058906,31.83,2.9535057,2.0256612
"29","19_596","Nodo 3 - Pies inventariados","IFN2",30,1650.16,0,217.77,48.28,.,6.39,19.3,25.53,511.91,8.97,2.77,2.84,1.05,41.46,35.16,1082.58,27.43,29.47,20.14,185.53,122.24,63.29,0,23.91,0,0,66.08,167.35,88.51,7.37,20.76,30.87,147.51,.,13.78,.,.,"IFN3","Ppi.ster_me__sim__v01",30,1488.98,30.23,16.08,23.32,429.16,7.62,2.36,2.47,0.71,40.52,32.65,725.45,34.03,16.7,98.21,63.86,34.35,0,0,23.1,85.86,48.76,4,12.45,17.44,82.66,4.00755308,265.26,11.8972218,10.5681915,.,.,.,.,3.06876213,190.98,10.1053884,7.9839189
"30","19_601","Nodo 3 - Pies inventariados","IFN2",30,1006.47,0,210.69,23.09,.,4.99,17.09,24.52,472.53,9.87,2.58,2.64,0.55,40.66,40.24,541.74,31.95,34.33,19.26,81.47,53.26,28.2,0,18.29,0,0,23.93,72.36,39.33,3.13,9.58,13.54,65.58,.,9.39,.,.,"IFN3","Ppi.ster_me__sim__v01",30,1202.5,26.13,16.63,27.08,576.73,8.99,2.53,2.67,0.6,39.11,33.2,619.22,32.08,18.12,90.17,59.24,30.93,0,0,28.42,80.16,44.1,3.82,10.87,16.01,74.8,18.00282582,877.12,62.8653376,51.563688,.,.,.,.,.,.,.,.
"31","19_602","Nodo 3 - Pies inventariados","IFN2",30,493.2,0,143.06,11.22,.,2.94,17.02,20.51,330.59,9.34,2.64,2.67,0.28,52.46,45.51,263.69,48.23,51.83,17.21,47.75,31.18,16.58,0,11.54,0,0,11.86,43.46,21.42,1.43,4.6,6.34,33.79,.,4.83,.,.,"IFN3","Ppi.ster_me__sim__v01",30,951.39,18.53,15.75,22.05,382.1,8.25,2.37,2.46,0.45,44.08,37.43,448.07,39.29,17.39,64.01,41.6,22.42,0,0,17.48,56.28,30.89,2.36,7.55,10.39,51.18,14.01722159,792.22,47.2642394,37.7983058,.,.,.,.,.,.,.,.
"32","19_603","Nodo 3 - Pies inventariados","IFN2",35,357.29,0,134.48,14.18,.,5.07,22.48,26.52,552.69,9.05,3.46,3.5,0.34,39.18,34.12,300.42,58.47,62.83,16.98,58.52,38.97,19.56,0,19.52,0,0,33.17,53.75,27.73,2.49,6.35,10.02,46.59,.,10.77,.,.,"IFN3","Ppi.ster_me__sim__v01",35,555.27,18.2,20.43,27.37,595.21,9.71,3.07,3.15,0.43,43.33,35.48,399.64,43.69,17.54,76.67,50.89,25.77,0,4.56,31.59,70.14,35.72,3.03,8,12.34,59.09,11.6112372,403.2,47.6434408,36.4973952,.,.,.,.,.,.,.,.
"33","19_604","Nodo 3 - Pies inventariados","IFN2",25,1201.06,0,214.3,34.73,.,6.57,19.19,25.81,523.17,9.81,2.82,2.88,0.78,44.34,38.01,780.54,29.41,31.61,22.92,141.15,93.06,48.09,0,26.29,0,0,52.19,127.85,65.74,5.24,14.89,22.01,107.87,.,13.65,.,.,"IFN3","Ppi.ster_me__sim__v01",25,940.78,26.52,18.94,26.48,552.04,9.65,2.78,2.88,0.61,41.62,36.42,598.73,33.8,20.99,105.8,69.96,35.83,0,0,46.76,95.76,49.82,4.15,11.45,17.2,82.62,11.32956806,459.8,42.6474822,34.3814633,.,.,.,.,.,.,.,.
"34","19_606","Nodo 3 - Pies inventariados","IFN2",30,955.41,0,191.47,22.35,.,4.97,17.26,23.98,451.99,9.55,2.6,2.65,0.53,46.65,39.85,522.41,33.86,36.39,18.89,87.27,57.08,30.2,0,19.55,0,0,28.62,78.71,40.68,3.02,9.28,13.1,66.08,.,9.75,.,.,"IFN3","Ppi.ster_me__sim__v01",30,756.87,19.47,18.1,23.06,419.6,9.77,2.75,2.78,0.46,48.83,42.36,447.17,37.2,19.26,81.7,53.59,28.11,0,0,21.31,74.26,37.23,2.69,8.15,11.62,59.69,9.27521276,410.26,38.1121114,27.5711797,.,.,.,.,.,.,.,.
"35","19_609","Nodo 3 - Pies inventariados","IFN2",30,1623.25,0,208.54,45.27,.,6.49,18.84,27.64,600.36,10.68,2.69,2.77,0.98,45.88,38.64,1024.2,23.24,24.97,21.97,191.56,126.55,65.01,0,28.06,0,0,71.97,174.84,88.06,6.89,19.41,28.81,143.17,.,14.92,.,.,"IFN3","Ppi.ster_me__sim__v01",30,1542.03,29.99,15.74,26.41,550.12,10.06,2.26,2.39,0.69,47.42,38.08,725.5,25.32,19.34,113.71,74.36,39.34,0,0,33.49,101.13,53.4,4.06,12.38,17.47,87.31,4.93178805,346.6,17.3461514,13.1821315,.,.,.,.,.,.,.,.
