"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","n_descorches","w_descorchado","v_descorchado","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"1021","19_617_8","IFN2","19_617",48.28,26.68,9.75,558.92,4.13,83.81,36.55,0.44,4.06,5.5,6.61,250.06,168.53,81.53,0,0,182.72,230.41,117.91,11.49,26.26,44.28,199.94,0,0,0,"Nodo 3 - Pies inventariados",5.68,2.25,21,"19_617_11","IFN3","19_617",11,11,8,14.15,30,10,706.86,2.3,94.25,33.33,0.46,4.61,5.38,6.6,321.45,218.59,102.86,0,0,204.74,298.89,153.52,16.62,34.48,61.55,266.16,"Nodo 1 - Pies mayores",9,2.5
"1022","19_617_9","IFN2","19_617",39.71,21.77,8.18,372.32,15.97,68.4,37.58,0.42,3.32,4.76,5.63,142.41,94.22,48.19,0,0,76.22,131.07,68.85,6.07,16.39,25.06,116.37,0,0,0,"Nodo 3 - Pies inventariados",5.47,2.18,16.3,"19_617_12","IFN3","19_617",12,12,9,14.15,23.4,8.5,430.05,10.33,73.51,36.32,0.45,3.61,4.65,5.63,169.84,113.04,56.8,0,0,88.59,155.3,82.1,7.61,19.37,30.67,139.75,"Nodo 1 - Pies mayores",7.1,2.5
"1023","42_1858_1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"42_1858_3","IFN3","42_1858",3,3,1,127.32,11.37,7.17,101.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",1.82,1.67
"1024","42_1858_10","IFN2","42_1858",171.46,16.67,6.37,218.18,7.93,52.36,38.21,0.49,2.63,3.26,4.01,66.58,42.97,23.61,0,0,0,59.35,33.51,2.62,8.82,11.84,56.79,0,0,0,"Nodo 3 - Pies inventariados",5.82,2.37,10.85,"42_1858_19","IFN3","42_1858",19,19,10,31.83,17.78,8.58,248.34,4.04,55.86,48.27,0.52,2.8,4.15,5.37,100.96,65.92,35.04,0,0,0,92.31,46.21,3.21,10.25,14.2,73.87,"Nodo 1 - Pies mayores",6.93,4.58
"1025","42_1858_2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"42_1858_4","IFN3","42_1858",4,4,2,127.32,10.35,7.33,84.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",1.55,0.83
"1026","42_1858_3","IFN2","42_1858",42.87,18.62,7.56,272.45,2.65,58.51,40.59,0.49,2.93,3.84,4.77,97.54,63.7,33.84,0,0,0,88.13,47.12,3.72,11.41,16.17,78.42,0,0,0,"Nodo 3 - Pies inventariados",5.92,2.56,12.7,"42_1858_5","IFN3","42_1858",5,5,3,31.83,19.08,8.75,286.02,2.31,59.95,45.85,0.52,3.01,4.21,5.46,117.89,77.39,40.5,0,0,60.15,107.69,54.3,4.01,12.07,17.31,87.69,"Nodo 1 - Pies mayores",6.38,3.75
"1027","42_1858_4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"42_1858_6","IFN3","42_1858",6,6,4,127.32,10.37,6.83,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",1.62,0.83
"1028","42_1858_5","IFN2","42_1858",42.87,19.83,8.12,308.95,0,62.31,40.94,0.49,3.11,4.1,5.11,118.05,77.57,40.48,0,0,63.46,105.34,56.25,4.53,13.2,19.29,93.27,0,0,0,"Nodo 3 - Pies inventariados",5.98,2.62,13.85,"42_1858_9","IFN3","42_1858",9,9,5,31.83,21.52,9.25,363.59,0,67.59,42.99,0.52,3.39,4.42,5.77,156.88,104,52.88,0,0,76.98,145.8,72.43,5.85,15.94,24.23,118.46,"Nodo 1 - Pies mayores",7.67,3.75
"1029","42_1858_6","IFN2","42_1858",160.46,13.61,6.77,145.49,11.67,42.76,49.73,0.47,2.13,3.55,4.35,47.8,30.45,17.35,0,0,0,41.98,22.67,1.39,5.51,6.71,36.28,0,0,0,"Nodo 3 - Pies inventariados",5.61,2.77,8,"42_1858_10","IFN3","42_1858",10,10,6,31.83,13.75,6.5,148.39,4.83,43.18,47.29,0.53,2.2,3.06,3.95,46.83,29.83,17.01,0,0,0,41.43,22.57,1.43,5.64,6.9,36.54,"Nodo 1 - Pies mayores",5.75,2.5
"1030","42_1858_7","IFN2","42_1858",42.87,19.83,8.11,308.83,1.32,62.3,40.89,0.49,3.11,4.12,5.13,117.85,77.44,40.42,0,0,63.51,105.08,56.18,4.53,13.19,19.28,93.18,0,0,0,"Nodo 3 - Pies inventariados",5.98,2.61,13.85,"42_1858_11","IFN3","42_1858",11,11,7,31.83,21.48,9.25,362.49,1.16,67.49,43.06,0.52,3.38,4.45,5.79,156.42,103.69,52.73,0,0,76.76,145.37,72.2,5.82,15.89,24.13,118.04,"Nodo 1 - Pies mayores",7.63,3.75
"1031","42_1858_8","IFN2","42_1858",160.46,13.06,6.85,133.97,14.01,41.03,52.45,0.47,2.04,3.64,4.44,44.66,28.38,16.29,0,0,0,39.07,20.93,1.22,5.01,5.98,33.13,0,0,0,"Nodo 3 - Pies inventariados",5.56,2.85,7.5,"42_1858_12","IFN3","42_1858",12,12,8,127.32,11.9,6.92,111.3,5.3,37.4,58.1,0.53,1.9,3.28,4.24,37.71,23.8,13.9,0,0,0,32.99,17.31,0.91,4.04,4.61,26.86,"Nodo 1 - Pies mayores",4.4,2.92
"1032","42_1858_9","IFN2","42_1858",171.46,17.48,6.31,239.92,3.82,54.91,36.11,0.5,2.77,3.16,3.92,72.32,46.82,25.5,0,0,0,64.39,36.84,3.04,9.84,13.53,63.26,0,0,0,"Nodo 3 - Pies inventariados",5.88,2.31,11.6,"42_1858_18","IFN3","42_1858",18,18,9,31.83,18.04,6.92,255.65,3.22,56.68,38.34,0.53,2.88,3.25,4.2,84.09,54.68,29.41,0,0,0,73.57,41.7,3.36,10.6,14.79,70.45,"Nodo 1 - Pies mayores",6.44,2.92
"1033","42_1890_1","IFN2","42_1890",38.45,21.5,8.75,363.12,17.17,67.55,40.69,0.4,3.25,5.24,6.15,148.41,98.25,50.16,0,0,75.71,135.56,69.89,5.84,15.92,24.19,115.84,0,0,0,"Nodo 3 - Pies inventariados",5.6,2.25,15.9,"42_1890_1","IFN3","42_1890",1,0,1,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"1034","42_1890_10","IFN2","42_1890",38.45,22.22,9.91,387.93,15.68,69.82,44.6,0.4,3.33,5.98,7.03,178.67,118.91,59.75,0,0,83.35,163.77,80.95,6.48,17.19,26.54,131.16,0,0,0,"Nodo 3 - Pies inventariados",5.62,2.41,16.6,"42_1890_14","IFN3","42_1890",14,10,10,31.83,21.56,10.42,365.2,7.89,67.74,48.31,0.49,3.33,5.36,6.82,176.92,117.64,59.29,0,0,79.33,164.15,78.31,5.89,16.03,24.39,124.61,"Nodo 1 - Pies mayores",4.96,2.92
"1035","42_1890_11","IFN2","42_1890",38.45,21.42,9.95,360.37,18.57,67.29,46.47,0.39,3.2,6.08,7.12,167.07,110.92,56.16,0,0,77.71,153.61,75.07,5.77,15.78,23.93,120.56,0,0,0,"Nodo 3 - Pies inventariados",5.57,2.45,15.85,"42_1890_15","IFN3","42_1890",15,0,11,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"1036","42_1890_12","IFN2","42_1890",19.14,30.45,10.67,728.12,3.1,95.65,35.03,0.42,4.59,6.17,7.38,352.28,240.17,112.11,0,155.49,210.04,326.91,164.85,17.41,35.68,64.16,282.1,0,0,0,"Nodo 3 - Pies inventariados",5.95,2.17,24.5,"42_1890_16","IFN3","42_1890",16,11,12,14.15,31.2,12.67,764.58,2.66,98.02,40.6,0.48,4.77,6.55,8.41,436.74,299.48,137.26,0,168.94,220.86,408.77,193.04,18.8,37.76,68.71,318.31,"Nodo 1 - Pies mayores",6.7,4.17
"1037","42_1890_13","IFN2","42_1890",19.14,31.38,10.63,773.38,1.62,98.58,33.88,0.43,4.74,6.11,7.32,372.22,254.29,117.93,0,164.83,204.49,347.84,175.36,19.14,38.27,69.82,302.59,0,0,0,"Nodo 3 - Pies inventariados",5.98,2.13,25.4,"42_1890_17","IFN3","42_1890",17,12,13,14.15,32.95,12.25,852.54,1.45,103.51,37.18,0.49,5.05,6.26,8.06,469.52,322.95,146.57,0,186.62,212.17,441.97,212.17,22.3,42.85,80.04,357.37,"Nodo 1 - Pies mayores",7.55,3.75
"1038","42_1890_14",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"42_1890_18","IFN3","42_1890",18,13,14,127.32,10.33,6.75,83.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",1.38,1.25
"1039","42_1890_15","IFN2","42_1890",38.45,20.16,10.06,319.18,19.95,63.33,49.88,0.39,3,6.18,7.23,150.12,99.26,50.86,0,0,69.2,137.83,66.45,4.77,13.71,20.19,105.12,0,0,0,"Nodo 3 - Pies inventariados",5.51,2.56,14.65,"42_1890_19","IFN3","42_1890",19,0,15,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"1040","42_1890_16","IFN2","42_1890",38.45,18.49,8.35,268.61,22.22,58.1,45.14,0.39,2.79,5.07,5.92,105.98,69.34,36.64,0,0,0,96.98,49.35,3.64,11.22,15.85,80.06,0,0,0,"Nodo 3 - Pies inventariados",5.44,2.35,13.05,"42_1890_20","IFN3","42_1890",20,0,16,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"1041","42_1890_17",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"42_1890_21","IFN3","42_1890",21,14,17,127.32,10.28,7.25,83.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",1.43,1.25
"1042","42_1890_18","IFN2","42_1890",38.45,18.43,8.34,266.81,23.25,57.9,45.27,0.39,2.77,5.09,5.93,105.25,68.85,36.41,0,0,0,96.29,48.99,3.6,11.13,15.7,79.43,0,0,0,"Nodo 3 - Pies inventariados",5.43,2.34,13,"42_1890_22","IFN3","42_1890",22,0,18,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"1043","42_1890_19","IFN2","42_1890",38.45,18.53,10.22,269.68,21.18,58.21,55.15,0.38,2.75,6.32,7.38,129.62,85.23,44.39,0,0,59.03,118.23,56.16,3.66,11.27,15.94,87.03,0,0,0,"Nodo 3 - Pies inventariados",5.43,2.72,13.1,"42_1890_24","IFN3","42_1890",24,0,19,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"1044","42_1890_2","IFN2","42_1890",19.14,28.5,9.59,637.77,5.81,89.52,33.66,0.42,4.32,5.54,6.59,279.46,189.16,90.3,0,0,197.24,258.63,134.19,14.14,30.6,53.28,232.21,0,0,0,"Nodo 3 - Pies inventariados",5.9,2.09,22.6,"42_1890_2","IFN3","42_1890",2,1,2,14.15,30.03,11.25,708.23,3.74,94.34,37.46,0.49,4.63,5.74,7.35,361.3,246.39,114.91,0,153.24,216.7,337.71,165.45,16.67,34.55,61.72,278.39,"Nodo 1 - Pies mayores",7.43,3.75
"1045","42_1890_20","IFN2","42_1890",19.14,32.82,10.58,846.24,0,103.12,32.23,0.43,4.96,6.03,7.24,404.03,276.87,127.16,0,179.48,196.53,376.06,192.29,22.05,42.48,79.22,336.03,0,0,0,"Nodo 3 - Pies inventariados",6.02,2.08,26.8,"42_1890_26","IFN3","42_1890",26,17,20,14.15,36.17,14.75,1027.67,0,113.64,40.78,0.47,5.45,7.75,9.99,674.01,468.74,205.27,0,400.45,214.46,636.04,289.96,29.91,53.21,104.01,477.09,"Nodo 1 - Pies mayores",9.37,6.25
