"","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","simanfor.plot.MARTONNE_1","simanfor.plot.MARTONNE_2","simanfor.plot.MARTONNE_3","simanfor.plot.MARTONNE_4","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"25",25,"5_707","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,28,1002.18,6.36,152.64,27.4,0,5.43,18.66,24.65,479.26,10.51,3.3,3.36,0.89,47.6,42.63,600.53,30.06,32.3,8.59,111.7,101.7,10.01,0.02,23.09,0,0,0,0,33.16,6.95,53.98,101.23,48.32,0,12.97,26.77,45.35,133.41,0.02,25.26,"Nodo 1 - Pies inventariados","IFN3",2002,28,901.88,0,0,36.64,NA,NA,22.74,30.35,726.55,14.07,3.59,3.66,0.95,57.06,46.36,764.21,23.66,25.43,14.07,217.05,200.37,16.68,NA,NA,0,0,0,5.22,123.83,92.89,58.48,203.39,95.2,0,14.28,24.02,60.64,194.14,NA,NA,12.56949364,258.23,77.0454149,67.6566257,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"5_708","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,41,1087.71,7.97,165.51,30,0,5.55,18.74,25.83,524.66,9.36,3.28,3.37,0.97,45.86,36.24,656.79,32.39,34.8,7.97,116.8,106.81,9.99,0.02,21.17,0,0,0,0,41.64,0,51.03,105.6,50.75,0,15,30.78,49.65,146.18,0.02,25.91,"Nodo 1 - Pies inventariados","IFN3",2002,41,838.22,0,0,27.57,NA,NA,20.47,27.18,581.98,10.61,3.55,3.64,0.87,46.71,39.03,590.54,32.57,34.99,10.51,119.16,109.79,9.37,NA,NA,0,0,0,0,54.25,9.33,42.4,109.41,52.17,0,13.4,25.88,45.64,137.09,NA,NA,5.43546873,145.03,23.9530136,27.2325316,NA,NA,NA,NA,0.45561462,31.83,1.9693221,2.1316551
"27",27,"5_721","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,20,123.2,0.27,91.65,2.49,0,1.76,16.04,16.04,202.11,5.46,3.45,3.45,0.11,34.05,34.05,56.68,164.96,177.26,5,6.21,5.61,0.6,0.01,4.32,0,0,0,0,0,0,4.79,5.33,2.67,0,1.59,4.12,4.12,12.5,0.03,8.07,"Nodo 1 - Pies inventariados","IFN3",2002,20,1460.69,0,0,24.05,NA,NA,14.48,21.33,360.37,7.42,2.68,2.74,0.86,48.47,34.77,561.53,35.28,37.91,7.37,77.76,68.91,8.85,NA,NA,0,0,0,0,2.45,0,51.25,67.34,32.74,0,12.1,30.14,39.8,114.78,NA,NA,23.34452537,1446.5,75.076113,111.2700222,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"5_724","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,28,1196.82,10.29,192.05,27.75,0.01,6.21,17.18,25.65,518.82,10.65,2.94,3.04,0.87,55.35,41.53,620.82,27.14,29.16,9.87,123.58,111.38,12.2,0.05,27.36,0,0,0,0,28.71,7.45,63.76,112.71,52.92,0,11.9,24.74,45.93,135.49,0.06,28.62,"Nodo 1 - Pies inventariados","IFN3",2002,28,739.19,0,0,28.1,NA,NA,22,29.49,686.92,12.73,3.67,3.76,0.82,51.15,43.17,591.04,28.9,31.05,12.71,144.29,133.61,10.68,NA,NA,0,0,0,6.9,78.61,42.53,40.74,134.3,63.48,0,12.23,21.61,46.51,143.83,NA,NA,8.00721665,205.16,40.9927063,41.0063552,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"5_725","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,29,566.41,2.97,116.68,19.07,0,4.85,20.7,27.65,605.04,9.63,3.79,3.86,0.66,39.91,34.82,407.18,43.65,46.91,8.26,71.43,66.42,5.01,0.02,18.61,0,0,0,0,24.26,0,26.04,64.71,31.56,0,10.42,20.61,31.56,94.15,0.03,22.7,"Nodo 1 - Pies inventariados","IFN3",2002,29,509.3,0,0,28.09,NA,NA,26.5,34.06,920.1,13.17,4.39,4.48,0.8,44.05,38.67,563.96,33.65,36.16,13.3,149.05,141.65,7.4,NA,NA,0,0,0,23.52,85.45,75.28,21.58,139.88,67.3,0.1,13.96,23.16,46.49,151.01,NA,NA,11.96337369,215.78,62.6848226,62.6916841,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"5_733","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,36,1395.78,12.1,106.34,47.81,0,4.58,20.88,28.28,628.88,12.2,3.35,3.41,1.27,53.43,43.14,1018.72,21.94,23.58,10.81,242.76,222.26,20.5,0.03,23.29,0,0,0,0,108.3,43.06,87.51,224.41,105.6,0,20.03,36.89,79.13,241.66,0.03,22.16,"Nodo 1 - Pies inventariados","IFN3",2002,36,912.49,0,0,45.49,NA,NA,25.19,33.22,869.71,14.42,3.84,3.91,1.1,55.78,43.4,924.9,22.96,24.67,14.47,281.71,262.84,18.87,NA,NA,0,0,0,20.16,175.52,139.34,53.91,265.41,124.88,0,18.04,28.15,75.29,246.36,NA,NA,10.4688492,198.1,63.708111,56.433313,0,0,0,NA,NA,NA,NA,NA
"31",31,"5_980","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,106.03,0.23,74.43,2.45,0,1.65,17.16,17.16,231.39,4.92,3.72,3.72,0.12,28.64,28.64,54.91,197.55,212.28,4.5,5.43,4.98,0.45,0.01,3.58,0,0,0,0,0,0,2.79,4.73,2.36,0,1.81,4.65,4.06,12.89,0.03,8.08,"Nodo 1 - Pies inventariados","IFN3",2002,30,14.15,0,0,0.86,NA,NA,27.8,27.8,606.99,6.5,6.14,6.14,0.04,23.38,23.38,17.04,409.03,439.53,6.5,2.36,2.3,0.06,NA,NA,0,0,0,0,1.35,0,0.32,2.08,1.09,0,0.71,1.3,1.42,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"5_984","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,757.58,4.19,132.23,22.76,0,5.17,19.56,26.3,545.38,8.88,3.55,3.62,0.78,41.92,33.76,492.96,40.92,43.97,7.93,84.43,77.71,6.73,0.02,19.29,0,0,0,0,21.85,0,37.99,75.98,36.92,0,12.06,24.71,37.67,111.36,0.02,24.26,"Nodo 1 - Pies inventariados","IFN3",2002,30,484.54,0,0,20.13,NA,NA,23,29.49,685,10,4.15,4.22,0.68,38.99,33.92,418.74,45.43,48.82,10,80.47,75.61,4.85,NA,NA,0,0,0,2.25,39.7,12.83,21.47,73.49,35.93,0,11.01,20.24,33.32,100.49,NA,NA,4.50622315,84.9,19.06854,22.7810755,0,0,0,NA,NA,NA,NA,NA
"33",33,"5_995","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,1126.15,9.14,183.9,26.52,0,6.08,17.32,26.19,540.65,8.75,3.12,3.25,0.94,40.08,33.4,592.26,34.06,36.6,6.59,84.73,77.76,6.97,0.02,21.09,0,0,0,0,18.48,0,37.22,74.86,36.95,0,15.4,34.55,43.9,130.79,0.03,29.02,"Nodo 1 - Pies inventariados","IFN3",2002,30,820.53,0,0,27.8,NA,NA,20.77,28.53,643.58,9.21,3.61,3.76,0.91,40.75,32.28,593.2,37.92,40.74,9.12,106.24,99.11,7.13,NA,NA,0,0,0,2.42,47.47,3.34,31.8,96.26,47.09,0,15.25,29.36,46.01,137.72,NA,NA,8.8990482,183.95,34.251773,44.5664155,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"9_1043","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,34,394.71,1.52,127.43,12.6,0,5.12,20.16,25.39,508.49,6.88,3.96,4.03,0.5,28.93,27.11,270.83,73.14,78.59,5.34,33.36,31.35,2.01,0.01,14.3,0,0,0,0,7.67,0,12.37,29.49,14.89,0,9.08,20.01,20.85,64.83,0.04,25.17,"Nodo 1 - Pies inventariados","IFN3",2003,35,198.06,0,0,7.68,NA,NA,22.23,24.94,497,9.06,4.22,4.29,0.29,42.22,36.32,161.2,78.45,84.3,9.02,31.48,29.34,2.15,NA,NA,0,0,0,0,15.05,0,10.81,28.76,13.94,0,4.06,7.53,12.72,38.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"9_1095","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,29,1475.09,10.55,148.75,21.98,0,2.21,13.77,18.48,268.53,8.2,2.56,2.59,0.78,54.23,44.35,519.69,31.77,34.14,7.25,77.87,68.03,9.84,0.01,7.64,0,0,0,0,2.06,0,58.17,67.67,32.32,0,9.72,24.89,36.38,103.31,0.02,9.68,"Nodo 1 - Pies inventariados","IFN3",2003,30,937.25,0,0,21.58,NA,NA,17.12,21.37,359.67,10.07,3.08,3.13,0.72,52.67,47.15,483.23,32.43,34.84,10.04,90.37,80.98,9.39,NA,NA,0,0,0,0,10.61,2.47,54.94,81.81,38.48,0,9.44,20.44,35.72,104.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"9_1133","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,41,3100.98,59.69,218.08,59.08,0,6.56,15.57,24.58,477.46,12.95,2.35,2.43,1.44,79.24,52.69,1354.67,13.87,14.9,11.42,341.08,298.83,42.25,0.04,36.73,0,0,0,0,68.76,43.1,213.55,314.03,141.98,0,19.01,38.99,97.79,297.77,0.04,31.65,"Nodo 1 - Pies inventariados","IFN3",2003,42,873.58,0,0,25.25,NA,NA,19.18,26.55,557.3,13.9,3.41,3.45,0.82,53.41,52.37,549.53,24.34,26.15,13.82,131.44,119.19,12.25,NA,NA,0,0,0,2.4,59.66,34.37,52.11,121.3,56.63,0,18.56,59.04,41.79,176.02,NA,NA,NA,NA,NA,NA,0,0,0,NA,3.78608301,222.81,1.5695373,63.4114077
"37",37,"9_1204","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,1698.82,12.81,151.9,20.91,0,2.34,12.52,18.63,278.27,5.8,2.42,2.47,0.81,43.54,31.15,506.29,41.82,44.93,5.12,53.57,46.88,6.68,0.01,5.87,0,0,0,0,0,0,36.53,43.98,22.28,0,11.63,33.5,34.6,102.01,0.02,11.12,"Nodo 1 - Pies inventariados","IFN3",2003,26,746.26,0,0,14.85,NA,NA,15.92,21.69,372.08,10.27,2.86,2.96,0.51,58.96,47.36,338.6,35.63,38.29,10.23,65.25,58.11,7.14,NA,NA,0,0,0,0,16.85,0,37.36,59.09,27.61,0,6.12,13.32,24.57,71.63,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"38",38,"9_1226","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,1048.14,7.38,164.25,12.58,0,2.44,12.36,16.13,204.61,7.59,2.38,2.42,0.48,56.57,47.07,305.53,40.69,43.72,7.25,42.64,36.8,5.84,0.02,8.29,0,0,0,0,0,0,31.28,36.46,17.49,0,5.45,14.98,20.82,58.74,0.02,10.55,"Nodo 1 - Pies inventariados","IFN3",2003,26,1527.89,0,0,20.07,NA,NA,12.93,19.67,304.94,11.57,2.53,2.6,0.37,77.76,58.82,482.05,22.11,23.76,11.41,56.98,49.76,7.22,NA,NA,0,0,0,0,4.52,0,39.07,51.28,23.64,0,4,8.98,19,55.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"9_1227","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,1034.37,6.49,149.6,14.77,0,2.31,13.48,16.58,216.01,8.41,2.6,2.62,0.56,51.98,50.74,351.06,36.96,39.72,7.25,49.53,43.21,6.33,0.01,7.68,0,0,0,0,0,0,37.78,42.83,20.53,0,6.72,17.79,24.44,69.48,0.02,9.99,"Nodo 1 - Pies inventariados","IFN3",2003,26,763.94,0,0,14.76,NA,NA,15.68,20.68,336.02,11.11,3.25,3.27,0.43,64.11,53.72,337.8,32.57,35,11.11,60.11,53.78,6.33,NA,NA,0,0,0,0,12.53,0,34.93,55.01,25.55,0,5.13,10.67,21.05,62.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"9_1231","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,1203.55,8.57,161.7,17.49,0,2.34,13.6,17.76,248.16,8.91,2.56,2.6,0.64,54.11,50.18,414.79,32.34,34.75,7.75,62.06,54.21,7.85,0.02,8.14,0,0,0,0,0,0,45.82,54.49,25.76,0,7.68,19.85,28.94,82.23,0.02,10.2,"Nodo 1 - Pies inventariados","IFN3",2003,31,2146.82,0,0,27.87,NA,NA,12.86,21.21,354.18,11.61,2.76,2.85,0.48,78.38,54.74,670.47,18.59,19.97,11.65,76.93,68.39,8.55,NA,NA,0,0,0,0,18.87,0,42.89,70.34,32.49,0,5.77,12.14,25.59,76.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"9_1232","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,1315.32,8.82,178.23,15.97,0.01,2.35,12.43,15.33,184.67,6.47,2.43,2.46,0.63,47.13,42.2,387.42,42.62,45.79,5.87,44.84,38.97,5.87,0.01,6.41,0,0,0,0,0,0,33.33,37.2,18.52,0,8.12,23.46,26.43,76.54,0.03,10.68,"Nodo 1 - Pies inventariados","IFN3",2003,26,795.77,0,0,13.21,NA,NA,14.54,19.31,293.04,9.15,2.69,2.75,0.46,58.43,47.4,308.24,38.72,41.61,9.24,51.58,45.39,6.2,NA,NA,0,0,0,0,5.6,0,34.95,45.86,21.56,0,5.2,12.31,20.93,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"9_1234","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,902.62,6.74,113.59,15.59,0,2.16,14.83,20.35,325.7,9.97,2.77,2.83,0.57,50.76,48.97,361.85,33.39,35.88,8.75,57.66,51.21,6.45,0.02,8.09,0,0,0,0,9.71,0,36.59,51.09,24.33,0,7.19,17.6,25.8,74.93,0.02,9.58,"Nodo 1 - Pies inventariados","IFN3",2003,31,1138.84,0,0,23.04,NA,NA,16.05,23.58,439.63,13.24,2.98,3.04,0.4,74.5,56.12,524.39,22.39,24.06,13.07,72.13,64.53,7.6,NA,NA,0,0,0,0,24.05,8.84,37.69,66.7,30.66,0,4.86,9.85,21.86,67.22,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"43",43,"9_1237","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,1434.79,16.02,184.65,35.79,0,5.88,17.82,25.02,492.68,10.64,2.96,3.07,1.06,55.02,42.53,793.5,24.81,26.66,9.82,164.56,148.87,15.69,0.03,27.02,0,0,0,0,59.2,16.58,77.35,150.46,70.73,0,15.27,30.91,59.24,176.16,0.03,27.41,"Nodo 1 - Pies inventariados","IFN3",2003,36,438.56,0,0,18.02,NA,NA,22.87,28.78,653.07,13.83,3.89,3.95,0.54,55.02,48.04,375.4,34.53,37.11,13.79,102.12,94.45,7.67,NA,NA,0,0,0,2.44,58.66,34.46,27.58,95.54,44.88,0,7.29,12.31,29.83,94.31,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"44",44,"9_1243","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,1881.91,19.06,213.93,39.64,0,6.42,16.38,23.21,423.04,11.2,2.74,2.8,1.16,59.61,48.24,897.71,20.59,22.13,9.62,183.84,163.63,20.2,0.05,30.37,0,0,0,0,38.24,0,107.69,166.64,77.75,0,15.98,34.95,65.62,194.29,0.05,30.06,"Nodo 1 - Pies inventariados","IFN3",2003,31,1308.61,0,0,35.15,NA,NA,18.49,24.93,489.39,15.36,3.01,3.05,0.86,73.48,61.59,772.16,18,19.34,15.35,226.56,202.75,23.8,NA,NA,0,0,0,0,102.57,62.1,101.55,212.21,96.34,0,10.91,19.76,56.9,183.91,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"45",45,"9_1244","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,2415.45,26.03,149.66,32.65,0,2.29,13.12,18.54,270.12,10.29,2.28,2.32,1.03,67.39,55.49,781.43,19.78,21.25,9,141.02,121.71,19.31,0.02,9.86,0,0,0,0,2.09,0,104.93,125.3,57.83,0,11.9,29.7,54.04,153.46,0.02,9.96,"Nodo 1 - Pies inventariados","IFN3",2003,31,1573.87,0,0,31.2,NA,NA,15.89,21.66,368.57,13.81,2.52,2.59,0.83,84.79,63.75,711.9,18.26,19.62,13.72,197.4,172.36,25.04,NA,NA,0,0,0,0,39.42,7.6,126.49,182.81,81.9,0,9.26,18.57,51.64,161.37,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"46",46,"9_1253","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,1162.23,10.21,146.77,35.07,0,5.47,19.6,25.62,516.61,13.39,3.19,3.24,0.96,61.03,52.28,759.21,21.9,23.53,11.69,194.61,176.03,18.57,0.03,30.67,0,0,0,0,79.33,47.66,81.99,180.34,83.64,0,13.13,24.55,58.05,179.36,0.03,26.25,"Nodo 1 - Pies inventariados","IFN3",2003,31,827.61,0,0,21.45,NA,NA,18.17,27.92,614.01,15.97,3.62,3.66,0.47,69.8,57.2,473.36,21.76,23.39,15.8,110.49,100.99,9.49,NA,NA,0,0,0,2.22,59.39,29.46,35.04,103.91,47.99,0,6,10.08,28.21,92.27,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"47",47,"9_1254","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,39,1961.4,40.34,187.36,46.38,0.01,6.04,17.35,26.1,536.17,13.99,2.64,2.75,1.17,70.85,53.6,1035.16,16.14,17.35,12.69,274.87,245.84,29.03,0.04,36.48,0,0,0,0,110.65,49.9,127.98,255.11,116.81,0,15.82,30.42,76.77,239.81,0.04,29.55,"Nodo 1 - Pies inventariados","IFN3",2003,40,710.89,0,0,29.8,NA,NA,23.1,29.9,703.46,18.13,3.49,3.55,0.67,75.16,60.62,619.09,20.69,22.23,18.02,226.29,206.6,19.68,NA,NA,0,0,0,11.54,135.43,109.6,59.66,214.58,98.16,0,8.99,13.89,48.01,169.06,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"48",48,"9_1255","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,1124.46,8.72,227.76,21.14,0,6.88,15.47,25.03,491.93,8.22,2.8,2.93,0.76,46.42,32.84,485.54,36.29,38.99,6.63,71.52,64.51,7.01,0.02,23.57,0,0,0,0,10.24,0,40.04,62.71,30.65,0,10.95,25.4,34.99,101.98,0.04,32.1,"Nodo 1 - Pies inventariados","IFN3",2003,31,159.15,0,0,4.41,NA,NA,18.78,19.85,310.72,12.08,3.56,3.57,0.16,63.82,60.85,96.46,65.62,70.52,11.82,24.25,21.68,2.56,NA,NA,0,0,0,0,6.49,0,13.43,22.56,10.3,0,1.6,3.09,7.3,22.29,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"49",49,"9_1257","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,2057.62,20.68,136.61,34.35,0,2.13,14.58,19.82,308.66,11.56,2.47,2.51,1.02,68.81,58.31,800.78,19.07,20.5,10,164.33,143.15,21.18,0.02,9.88,0,0,0,0,8.61,0,121.82,148.56,68.01,0,12.17,27.82,56.86,164.86,0.02,9.33,"Nodo 1 - Pies inventariados","IFN3",2003,26,1602.16,0,0,35.78,NA,NA,16.86,23.18,423.28,13.47,2.78,2.83,1.01,68.94,58.11,804.28,18.54,19.93,13.49,205.89,182.26,23.63,NA,NA,0,0,0,0,58.55,13.46,121.06,190.37,86.6,0,16.7,50.38,59.22,212.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83885093,190.98,0.595221,37.979556
"50",50,"9_1260","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,1987.78,20.61,130.36,31.32,0,2.15,14.16,19.63,302.9,9.75,2.49,2.54,1.01,59.84,49.69,735.43,23,24.71,8.77,127.76,111.83,15.94,0.02,8.64,0,0,0,0,6.33,0,89.36,113.37,53.13,0,12.57,30.4,51.84,147.95,0.02,9.5,"Nodo 1 - Pies inventariados","IFN3",2003,26,470.39,0,0,14.68,NA,NA,19.93,24.29,486.95,13.51,3.37,3.39,0.38,62.6,55.64,316.41,34.12,36.67,13.29,76.21,68.26,7.95,NA,NA,0,0,0,0,31.99,7.82,37.18,71.15,32.43,0,4.27,7.93,20.84,65.47,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.53289786,31.83,0,NA
"51",51,"9_1278","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,20,1047.17,6.9,35.47,9.57,0,0.31,10.79,12.04,113.86,4.47,2.22,2.23,0.41,44.42,37.1,240.49,69.18,74.34,4,22.12,18.92,3.2,0.02,0.71,0,0,0,0,0,0,12.73,17.1,8.99,0,5.19,17.2,15.84,47.22,0.04,1.47,"Nodo 1 - Pies inventariados","IFN3",2003,21,763.94,0,0,8.75,NA,NA,12.07,16.15,204.98,8.7,2.86,2.87,0.16,60.11,53.85,213.76,41.59,44.7,8.7,17.89,15.64,2.25,NA,NA,0,0,0,0,0,0,13.82,15.83,7.43,0,1.75,4.19,7.22,20.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,"9_1287","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,1309.1,12.84,211.4,27.33,0,6.63,16.3,24.66,477.79,11.51,2.77,2.88,0.85,59.8,46.65,619.5,24.02,25.81,9.65,125.89,112.67,13.23,0.03,32.29,0,0,0,0,35.49,12.33,66.05,114.17,53.53,0,11.23,23.89,45.23,133.88,0.03,30.98,"Nodo 1 - Pies inventariados","IFN3",2003,26,817,0,0,18.43,NA,NA,16.95,26.87,576.76,13.35,3.2,3.32,0.53,48.57,49.69,413.84,26.21,28.16,12.87,76.03,69.14,6.89,NA,NA,0,0,0,4.54,32.76,21.05,29.34,70.3,32.85,0,14.93,62.03,25.19,135,NA,NA,NA,NA,NA,NA,0,0,0,NA,2.45721234,222.81,0.6369183,68.2107351
"53",53,"9_1295","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,20,369.64,1.61,116.6,6.21,0,1.97,14.62,17.39,237.59,6.58,2.99,3.02,0.26,38.81,37.86,144.62,79.02,84.92,5.6,16.8,14.98,1.82,0.01,5.41,0,0,0,0,0,0,11.31,14.08,7.12,0,3.59,9.67,10.28,30.65,0.02,8.97,"Nodo 1 - Pies inventariados","IFN3",2003,21,265.26,0,0,6.45,NA,NA,17.6,22.41,405.71,9.05,3.35,3.43,0.2,29.71,40.38,143.5,67.84,72.89,9.06,14.43,13.33,1.1,NA,NA,0,0,0,0,7.44,0,5.24,13.04,6.33,0,9.24,50.05,7.67,73.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33393164,127.32,0.2062584,56.9731536
"54",54,"9_1339","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,1992.42,33.59,197.5,40.66,0,6.52,16.12,25.54,513.23,11.38,2.59,2.71,1.15,65.96,44.57,924.38,19.68,21.15,10.18,198.89,177.11,21.78,0.05,31.31,0,0,0,0,43.46,15.86,108.61,181.09,84.15,0,15.67,32.28,67.3,199.41,0.05,30.82,"Nodo 1 - Pies inventariados","IFN3",2003,31,715.99,0,0,20.4,NA,NA,19.05,29.39,693.07,16.07,3.28,3.41,0.36,76.68,54.67,444.89,23.26,25,16.05,87.57,79.87,7.7,NA,NA,0,0,0,2.37,48.84,41.61,25.32,82.08,37.95,0,4.45,7.51,21.72,71.63,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"55",55,"9_1341","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,36,1687.79,35.89,160.43,49.53,0,5.3,19.33,30.4,728.5,13.66,2.91,3.06,1.24,64.24,44.93,1076.03,17.82,19.15,12,282.25,256.75,25.49,0.03,29.51,0,0,0,8.32,125.54,95.28,105.56,262.66,121.99,0,18.69,33.51,81.98,256.18,0.03,25.73,"Nodo 1 - Pies inventariados","IFN3",2003,37,519.91,0,0,26.48,NA,NA,25.47,32.73,851.53,19.18,3.81,3.91,0.59,71.57,58.61,536.97,22.86,24.57,19.13,208.57,193.89,14.69,NA,NA,0,0,0,37.73,121.54,94.63,36.7,197.97,92.12,0.02,8.31,11.79,42.55,154.8,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"56",56,"9_1342","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,2461.22,33.59,220.66,49.08,0,6.45,15.93,23.56,436.06,11.57,2.56,2.64,1.35,65.2,49.13,1119,17.42,18.71,10,238.62,211.18,27.44,0.02,31.81,0,0,0,0,46.15,0,148.43,217.17,100.34,0,18.37,39.16,81.24,239.11,0.04,30.37,"Nodo 1 - Pies inventariados","IFN3",2003,36,626.01,0,0,16.2,NA,NA,18.15,23.89,449.68,15.37,3.21,3.29,0.53,55.32,64.34,357.55,26,27.94,15.42,92.8,83.71,9.09,NA,NA,0,0,0,0,46.31,27.6,35.11,86.29,39.77,0,12.97,47.38,26.82,126.93,NA,NA,NA,NA,NA,NA,0,0,0,NA,2.51125968,222.81,0.8078454,52.7337159
