"","X","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"66",66,40,1022,7,50,NA,21,239,246,11,2,2,NA,"IFN2","40_1022","40_1022_7","IFN2_40_1022_7",24.25,14.1471060526129,461.863207462912
"67",67,40,1022,8,50,NA,21,142,142,9,2,2,NA,"IFN2","40_1022","40_1022_8","IFN2_40_1022_8",14.2,31.8309886183791,158.367685667461
"68",68,40,1022,9,89,NA,21,182,185,11,2,2,NA,"IFN2","40_1022","40_1022_9","IFN2_40_1022_9",18.35,31.8309886183791,264.461233074597
"69",69,40,1033,1,15,NA,21,211,209,9,2,2,NA,"IFN2","40_1033","40_1033_1","IFN2_40_1033_1",21,31.8309886183791,346.360590058275
"70",70,40,1033,10,169,NA,21,205,207,7.5,2,2,NA,"IFN2","40_1033","40_1033_10","IFN2_40_1033_10",20.6,31.8309886183791,333.291564619341
"71",71,40,1033,11,171,NA,21,181,183,8,2,2,NA,"IFN2","40_1033","40_1033_11","IFN2_40_1033_11",18.2,31.8309886183791,260.155287643771
"72",72,40,1033,12,173,NA,21,158,161,8,2,2,NA,"IFN2","40_1033","40_1033_12","IFN2_40_1033_12",15.95,31.8309886183791,199.807256263719
"73",73,40,1033,13,214,NA,21,205,202,8,2,2,NA,"IFN2","40_1033","40_1033_13","IFN2_40_1033_13",20.35,31.8309886183791,325.25105092156
"74",74,40,1033,14,223,NA,21,176,178,8,2,2,NA,"IFN2","40_1033","40_1033_14","IFN2_40_1033_14",17.7,31.8309886183791,246.057390610787
"75",75,40,1033,15,238,NA,21,137,137,6.5,2,2,2,"IFN2","40_1033","40_1033_15","IFN2_40_1033_15",13.7,31.8309886183791,147.411381288067
"76",76,40,1033,16,255,NA,21,174,173,8,2,2,NA,"IFN2","40_1033","40_1033_16","IFN2_40_1033_16",17.35,31.8309886183791,236.422518641308
"77",77,40,1033,17,258,NA,21,153,149,7.5,2,2,1,"IFN2","40_1033","40_1033_17","IFN2_40_1033_17",15.1,31.8309886183791,179.078635236252
"78",78,40,1033,18,270,NA,21,164,155,7.5,2,2,NA,"IFN2","40_1033","40_1033_18","IFN2_40_1033_18",15.95,31.8309886183791,199.807256263719
"79",79,40,1033,19,270,NA,21,120,117,8,2,2,NA,"IFN2","40_1033","40_1033_19","IFN2_40_1033_19",11.85,127.323954473516,110.287573599678
"80",80,40,1033,2,35,NA,21,185,192,7.5,2,2,NA,"IFN2","40_1033","40_1033_2","IFN2_40_1033_2",18.85,31.8309886183791,279.06963891379
"81",81,40,1033,20,275,NA,21,192,194,8.5,2,2,NA,"IFN2","40_1033","40_1033_20","IFN2_40_1033_20",19.3,31.8309886183791,292.552961883916
"82",82,40,1033,21,283,NA,21,150,173,7.5,2,2,NA,"IFN2","40_1033","40_1033_21","IFN2_40_1033_21",16.15,31.8309886183791,204.849512472731
"83",83,40,1033,22,327,NA,21,134,133,7,2,2,2,"IFN2","40_1033","40_1033_22","IFN2_40_1033_22",13.35,31.8309886183791,139.975624176102
"84",84,40,1033,23,327,NA,21,132,122,6.5,2,2,2,"IFN2","40_1033","40_1033_23","IFN2_40_1033_23",12.7,31.8309886183791,126.676869774374
"85",85,40,1033,24,332,NA,21,186,199,7.5,2,2,NA,"IFN2","40_1033","40_1033_24","IFN2_40_1033_24",19.25,31.8309886183791,291.039106923967
"86",86,40,1033,25,366,NA,21,84,91,3.5,3,5,2,"IFN2","40_1033","40_1033_25","IFN2_40_1033_25",8.75,127.323954473516,60.1320468851171
"87",87,40,1033,26,377,NA,21,128,131,8.5,2,2,NA,"IFN2","40_1033","40_1033_26","IFN2_40_1033_26",12.95,31.8309886183791,131.713235497161
"88",88,40,1033,27,378,NA,21,227,220,9.5,2,2,NA,"IFN2","40_1033","40_1033_27","IFN2_40_1033_27",22.35,31.8309886183791,392.324054075702
"89",89,40,1033,28,385,NA,21,132,146,8,2,2,2,"IFN2","40_1033","40_1033_28","IFN2_40_1033_28",13.9,31.8309886183791,151.746779150021
"90",90,40,1033,3,73,NA,21,157,154,8.5,2,2,NA,"IFN2","40_1033","40_1033_3","IFN2_40_1033_3",15.55,31.8309886183791,189.911239404911
"91",91,40,1033,4,93,NA,21,153,155,9,2,2,NA,"IFN2","40_1033","40_1033_4","IFN2_40_1033_4",15.4,31.8309886183791,186.265028431339
"92",92,40,1033,5,106,NA,21,193,202,6.5,2,2,NA,"IFN2","40_1033","40_1033_5","IFN2_40_1033_5",19.75,31.8309886183791,306.354371110217
"93",93,40,1033,6,129,NA,21,133,133,7.5,2,2,NA,"IFN2","40_1033","40_1033_6","IFN2_40_1033_6",13.3,31.8309886183791,138.929081123375
"94",94,40,1033,7,137,NA,21,141,141,7.5,2,2,NA,"IFN2","40_1033","40_1033_7","IFN2_40_1033_7",14.1,31.8309886183791,156.145008865047
"95",95,40,1033,8,144,NA,21,260,260,9,2,2,NA,"IFN2","40_1033","40_1033_8","IFN2_40_1033_8",26,14.1471060526129,530.929158456675
"96",96,40,1033,9,144,NA,21,162,158,7.5,2,2,NA,"IFN2","40_1033","40_1033_9","IFN2_40_1033_9",16,31.8309886183791,201.061929829747
