"","X","PLOT_ID","ID_escenario","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"33",33,"5_995","Nodo 3 - Pies inventariados",35,"IFN2",10,30,975.77,0,24.38,29.71,NA,0.23,19.69,26.43,552.22,9.76,3.43,3.52,0.95,45.71,36.93,642.5,32.79,35.24,6.59,120.36,110.68,9.68,0,0.86,0,0,0,0,44.62,6.33,46.59,109.43,52.59,0,14.82,29.42,49.18,146.01,NA,0.67,"Nodo 1 - Pies inventariados","IFN3",2002,30,820.53,0,0,27.8,NA,NA,20.77,28.53,643.58,9.21,3.61,3.76,0.91,40.75,32.28,593.2,37.92,40.74,9.12,106.24,99.11,7.13,NA,NA,0,0,0,2.42,47.47,3.34,31.8,96.26,47.09,0,15.25,29.36,46.01,137.72,NA,NA,8.8990482,183.95,34.251773,44.5664155,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"9_1043","Nodo 3 - Pies inventariados",35,"IFN2",10,34,268.8,0,0,10.32,NA,0,22.1,24.84,488.19,8.19,4.27,4.31,0.39,35.26,32.98,216.71,74.45,80,5.34,35.78,33.52,2.25,0,0,0,0,0,0,16.83,0,10.91,32.35,15.93,0,6.13,12.05,17.07,51.19,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,35,198.06,0,0,7.68,NA,NA,22.23,24.94,497,9.06,4.22,4.29,0.29,42.22,36.32,161.2,78.45,84.3,9.02,31.48,29.34,2.15,NA,NA,0,0,0,0,15.05,0,10.81,28.76,13.94,0,4.06,7.53,12.72,38.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"9_1095","Nodo 3 - Pies inventariados",35,"IFN2",10,29,1352.46,0,15.55,30.8,NA,0.14,17.03,21.7,370.29,10.45,2.96,2.99,0.95,57.05,48.15,690.75,26.03,27.97,7.25,139.08,123.89,15.19,0,0.41,0,0,0,0,14.72,0,91.05,126.48,58.87,0,12.48,26.75,50.99,149.09,NA,0.43,"Nodo 1 - Pies inventariados","IFN3",2003,30,937.25,0,0,21.58,NA,NA,17.12,21.37,359.67,10.07,3.08,3.13,0.72,52.67,47.15,483.23,32.43,34.84,10.04,90.37,80.98,9.39,NA,NA,0,0,0,0,10.61,2.47,54.94,81.81,38.48,0,9.44,20.44,35.72,104.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"9_1133","Nodo 3 - Pies inventariados",35,"IFN2",10,41,2964.23,0,21.63,79.01,NA,0.24,18.42,26.68,560.71,15.28,2.6,2.66,1.65,78.61,57.29,1737.2,12.02,12.92,11.42,529.78,470.88,58.9,0,1.44,0,0,0,2.25,183.15,101.71,269.6,494.73,223.73,0,24.26,44.34,130.77,423.1,NA,0.79,"Nodo 1 - Pies inventariados","IFN3",2003,42,873.58,0,0,25.25,NA,NA,19.18,26.55,557.3,13.9,3.41,3.45,0.82,53.41,52.37,549.53,24.34,26.15,13.82,131.44,119.19,12.25,NA,NA,0,0,0,2.4,59.66,34.37,52.11,121.3,56.63,0,18.56,59.04,41.79,176.02,NA,NA,NA,NA,NA,NA,0,0,0,NA,3.78608301,222.81,1.5695373,63.4114077
"37",37,"9_1204","Nodo 3 - Pies inventariados",35,"IFN2",10,25,1585.52,0,25.8,30.39,NA,0.28,15.62,21.43,366.39,8.05,2.83,2.87,1.02,49.24,37.56,696.35,31.19,33.52,5.12,108.28,96.28,11.99,0,0.85,0,0,0,0,4.83,0,77.7,95.33,45.75,0,14.38,34.01,50.3,144.44,NA,0.93,"Nodo 1 - Pies inventariados","IFN3",2003,26,746.26,0,0,14.85,NA,NA,15.92,21.69,372.08,10.27,2.86,2.96,0.51,58.96,47.36,338.6,35.63,38.29,10.23,65.25,58.11,7.14,NA,NA,0,0,0,0,16.85,0,37.36,59.09,27.61,0,6.12,13.32,24.57,71.63,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"38",38,"9_1226","Nodo 3 - Pies inventariados",35,"IFN2",10,25,906.43,0,15.16,16.72,NA,0.16,15.33,19.14,288.1,10.02,2.81,2.84,0.57,59.76,52.38,384.98,33.14,35.61,7.25,72.51,63.75,8.76,0,0.53,0,0,0,0,5.69,0,53.34,65.55,30.29,0,6.59,15.17,27.68,79.73,NA,0.47,"Nodo 1 - Pies inventariados","IFN3",2003,26,1527.89,0,0,20.07,NA,NA,12.93,19.67,304.94,11.57,2.53,2.6,0.37,77.76,58.82,482.05,22.11,23.76,11.41,56.98,49.76,7.22,NA,NA,0,0,0,0,4.52,0,39.07,51.28,23.64,0,4,8.98,19,55.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"9_1227","Nodo 3 - Pies inventariados",35,"IFN2",10,25,903.45,0,12.18,19.71,NA,0.15,16.67,19.8,308.02,10.54,3.04,3.05,0.66,55.42,53.24,444.36,31.56,33.91,7.25,85.06,75.63,9.44,0,0.52,0,0,0,0,9.78,0,56.39,77.31,35.93,0,8.16,17.98,32.62,94.69,NA,0.46,"Nodo 1 - Pies inventariados","IFN3",2003,26,763.94,0,0,14.76,NA,NA,15.68,20.68,336.02,11.11,3.25,3.27,0.43,64.11,53.72,337.8,32.57,35,11.11,60.11,53.78,6.33,NA,NA,0,0,0,0,12.53,0,34.93,55.01,25.55,0,5.13,10.67,21.05,62.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"9_1231","Nodo 3 - Pies inventariados",35,"IFN2",10,30,1076.34,0,25.91,23.86,NA,0.28,16.8,20.95,345.16,11.15,2.98,3.01,0.77,57.08,53.25,536.93,27.32,29.36,7.75,107.43,95.63,11.79,0,1.05,0,0,0,0,12.78,0,68.15,97.33,45.44,0,9.63,20.83,39.5,115.39,NA,0.86,"Nodo 1 - Pies inventariados","IFN3",2003,31,2146.82,0,0,27.87,NA,NA,12.86,21.21,354.18,11.61,2.76,2.85,0.48,78.38,54.74,670.47,18.59,19.97,11.65,76.93,68.39,8.55,NA,NA,0,0,0,0,18.87,0,42.89,70.34,32.49,0,5.77,12.14,25.59,76.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"9_1232","Nodo 3 - Pies inventariados",35,"IFN2",10,25,1172.88,0,26.97,22.38,NA,0.28,15.59,18.66,273.42,8.8,2.87,2.9,0.77,52.04,47.14,513.12,33.2,35.67,5.87,85.03,75.31,9.72,0,0.91,0,0,0,0,0,0,62.26,75.7,35.78,0,9.97,23.51,37.05,106.31,NA,0.89,"Nodo 1 - Pies inventariados","IFN3",2003,26,795.77,0,0,13.21,NA,NA,14.54,19.31,293.04,9.15,2.69,2.75,0.46,58.43,47.4,308.24,38.72,41.61,9.24,51.58,45.39,6.2,NA,NA,0,0,0,0,5.6,0,34.95,45.86,21.56,0,5.2,12.31,20.93,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"9_1234","Nodo 3 - Pies inventariados",35,"IFN2",10,30,808.22,0,12.45,20.36,NA,0.14,17.91,23.56,436.37,12.25,3.18,3.23,0.66,54.11,52.01,450.86,28.7,30.85,8.75,93.62,84.39,9.24,0,0.44,0,0,0,0,29.61,11.56,47.97,85.09,40.09,0,8.55,17.77,33.7,100.12,NA,0.43,"Nodo 1 - Pies inventariados","IFN3",2003,31,1138.84,0,0,23.04,NA,NA,16.05,23.58,439.63,13.24,2.98,3.04,0.4,74.5,56.12,524.39,22.39,24.06,13.07,72.13,64.53,7.6,NA,NA,0,0,0,0,24.05,8.84,37.69,66.7,30.66,0,4.86,9.85,21.86,67.22,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
