"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","TREE_ID_IFN3_2.x","TREE_ID_IFN3.x","TREE_ID_IFN2.x","TREE_ID_compare","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_desenrollo.x","v_chapa.x","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_poste.x","v_estaca.x","v_trituracion_IFN2","wsw_IFN2","wthickb_IFN2","wb2_7_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2.y","TREE_ID_IFN3.y","TREE_ID_IFN2.y","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_desenrollo.y","v_chapa.y","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_poste.y","v_estaca.y","v_trituracion_IFN3","wsw_IFN3","wthickb_IFN3","wb2_7_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"46","40_1033_19","IFN2","40_1033",NA,NA,19,NA,127.32,16.23,11.27,206.86,29.83,50.98,69.42,0.38,2.67,7.03,8.27,109.83,96.17,13.66,0,0,0,0,0,0,81.27,100.88,45.69,0,6.96,14.89,34.24,101.79,"Nodo 3 - Pies inventariados",4.38,3.27,11.85,"40_1033_31","IFN3","40_1033",31,31,19,31.83,15.47,11.75,187.93,20.69,0.6,48.6,75.96,0.44,2.63,6.6,7.93,105.04,91.13,13.91,3.34,0,0,0,0,0,0,79.02,96.19,43.3,0,5.88,12.77,31.11,93.05,"Nodo 1 - Pies inventariados",3.62,3.75
"47","40_1033_2","IFN2","40_1033",NA,NA,2,NA,31.83,23.42,10.77,430.9,11.99,73.59,45.97,0.42,4.01,6.2,7.49,206.21,191.46,14.75,0,0,0,0,146,0,48.89,190.61,90.97,0,19.84,35.17,71.32,217.3,"Nodo 3 - Pies inventariados",4.57,3.27,18.85,"40_1033_3","IFN3","40_1033",3,3,2,14.15,23.18,10,422.18,5.52,0.6,72.84,43.13,0.49,4.18,5.13,6.35,187.32,174.23,13.09,2.65,0,0,0,0,84.04,0,47.29,170.82,82.78,0,20.62,37.44,69.88,210.72,"Nodo 1 - Pies inventariados",4.33,2.5
"48","40_1033_20","IFN2","40_1033",NA,NA,20,NA,31.83,23.88,11.78,447.96,9.14,75.03,49.31,0.43,4.03,6.76,8.15,234.7,217.68,17.01,0,0,0,0,157.29,176.81,49.78,218.24,103.43,0,19.31,33.1,74.15,229.98,"Nodo 3 - Pies inventariados",4.58,3.28,19.3,"40_1033_32","IFN3","40_1033",32,32,20,14.15,23.34,11.83,428.03,4.91,0.61,73.34,50.69,0.48,4.07,6.15,7.56,226.2,209.02,17.18,3.2,0,0,0,0,151.16,0,51.22,211.14,99.31,0,18.06,31.31,70.85,219.53,"Nodo 1 - Pies inventariados",4.04,3.33
"49","40_1033_21","IFN2","40_1033",NA,NA,21,NA,31.83,20.66,10.77,335.28,17.09,64.91,52.11,0.41,3.51,6.34,7.61,163.58,148.98,14.61,0,0,0,0,69.74,0,66.47,151.22,70.78,0,14.07,26.69,55.5,167.03,"Nodo 3 - Pies inventariados",4.51,3.27,16.15,"40_1033_33","IFN3","40_1033",33,33,21,31.83,20.07,11.67,316.36,11.38,1.01,63.05,58.13,0.46,3.47,6.26,7.62,168.61,152.31,16.29,5.37,0,0,0,0,67.76,0,71.47,157.28,72.37,0,12.08,22.82,52.36,159.64,"Nodo 1 - Pies inventariados",3.92,4.17
"50","40_1033_22","IFN2","40_1033",NA,NA,22,NA,31.83,17.78,10.26,248.22,26.77,55.85,57.71,0.39,3.01,6.26,7.45,117.84,105.09,12.75,0,0,0,0,0,0,84.33,107.4,49.93,0,9.73,20.27,41.09,121.02,"Nodo 3 - Pies inventariados",4.43,3.26,13.35,"40_1033_37","IFN3","40_1033",37,37,22,31.83,16.17,9.92,205.45,19.41,0.65,50.81,61.31,0.45,2.86,5.46,6.61,95.52,84.08,11.44,3.04,0,0,0,0,0,0,75.16,87.37,39.95,0,7.74,17.13,34.01,98.82,"Nodo 1 - Pies inventariados",2.82,2.92
"51","40_1033_23","IFN2","40_1033",NA,NA,23,NA,31.83,17.11,9.76,229.92,29.09,53.75,57.03,0.39,2.91,5.98,7.12,104.2,92.59,11.62,0,0,0,0,0,0,70.38,95.86,43.99,0,9.16,19.74,38.06,110.95,"Nodo 3 - Pies inventariados",4.41,3.26,12.7,"40_1033_38","IFN3","40_1033",38,38,23,31.83,15.83,9.42,196.82,20.06,0.63,49.73,59.48,0.45,2.82,5.18,6.28,86.98,76.49,10.49,2.77,0,0,0,0,0,0,62.73,77.93,36.34,0,7.64,17.34,32.58,93.9,"Nodo 1 - Pies inventariados",3.13,2.92
"52","40_1033_24","IFN2","40_1033",NA,NA,24,NA,31.83,23.83,10.77,446.15,10.57,74.88,45.19,0.43,4.09,6.16,7.46,212.99,198.29,14.7,0,0,0,0,150.82,0,48.49,196.93,94.21,0,20.8,36.53,73.85,225.39,"Nodo 3 - Pies inventariados",4.58,3.27,19.25,"40_1033_39","IFN3","40_1033",39,39,24,14.15,23.12,9.58,419.67,6.11,0.59,72.62,41.46,0.49,4.2,4.92,6.09,178.19,165.97,12.21,2.52,0,0,0,0,82.46,0,46.84,164.48,78.86,0,21.25,39.07,69.46,208.64,"Nodo 1 - Pies inventariados",3.87,2.08
"53","40_1033_25","IFN2","40_1033",NA,NA,25,NA,139.91,13.1,6.79,134.75,32.46,41.15,51.83,0.4,2.37,4.05,4.95,43.55,37.75,5.8,0,0,0,0,0,0,32.53,38.05,17.94,0,6.1,16.67,22.3,63.01,"Nodo 3 - Pies inventariados",4.35,3.29,8.75,"40_1033_40","IFN3","40_1033",40,0,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",NA,NA
"54","40_1033_26","IFN2","40_1033",NA,NA,26,NA,31.83,17.35,11.76,236.51,28.34,54.52,67.77,0.38,2.84,7.32,8.61,129.98,114.78,15.2,0,0,0,0,0,0,91.5,119.09,54.53,0,8.05,16.43,39.15,118.16,"Nodo 3 - Pies inventariados",4.4,3.26,12.95,"40_1033_41","IFN3","40_1033",41,40,26,31.83,15.22,11.42,181.93,21.29,0.58,47.81,75.01,0.44,2.6,6.42,7.71,98.92,85.71,13.21,3.15,0,0,0,0,0,0,75.7,90.77,40.73,0,5.77,12.74,30.11,89.35,"Nodo 1 - Pies inventariados",2.27,2.92
"55","40_1033_27","IFN2","40_1033",NA,NA,27,NA,31.83,26.99,12.79,572.27,1.05,84.8,47.39,0.44,4.53,7.13,8.66,320.81,302.1,18.71,0,0,0,0,187.98,213.15,45.64,302.37,143.54,0,25.07,39.38,94.72,302.71,"Nodo 3 - Pies inventariados",4.64,3.29,22.35,"40_1033_42","IFN3","40_1033",42,41,27,14.15,28,12,615.59,1.11,0.87,87.95,42.86,0.49,4.9,6.13,7.56,320.99,304.85,16.14,4.54,0,0,0,0,191.93,216.27,28.7,299.64,144.84,0,29.35,45.94,101.89,322.02,"Nodo 1 - Pies inventariados",5.65,2.5
