"","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","ID_escenario","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"21","19_561","Nodo 3 - Pies inventariados","IFN2",10,45,234.56,0,0,25.38,NA,0,37.11,43.83,1528,14.57,5.32,5.43,0.54,35.22,33.24,446.46,44.81,48.15,20.85,153.93,107.69,46.25,0,0,9.54,96.25,39.14,145.62,68.77,8.23,13.47,27.57,118.04,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,45,151.23,0,0,13.28,NA,NA,33.44,37.03,1116.65,13.73,4.87,5.04,0.3,40.57,37.06,242.91,59.25,63.66,19.43,80.38,55.83,24.55,NA,NA,6.3,44.39,24.2,75.81,35.61,4,6.89,13.66,60.16,NA,NA,1.78758764,10.18,10.5210809,8.8725317,0,0,0,NA,1.19897244,31.83,6.222765,4.2286155
"22","19_564","Nodo 3 - Pies inventariados","IFN2",10,25,31.83,0,0,1.61,NA,0,25.4,25.4,506.75,9.16,4.2,4.2,0.04,36.05,36.05,32.67,193.59,208.02,20.5,6.81,4.57,2.24,0,0,0,0,5.32,6.33,3.25,0.31,0.75,1.23,5.54,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,25,42.44,0,0,2.22,NA,NA,25.8,25.75,522.78,7.83,4.25,4.26,0.06,30.42,30.42,44.68,195.96,210.57,18.65,8.05,5.39,2.66,NA,NA,0,0,4.32,7.35,4.08,0.44,1.03,1.72,7.27,NA,NA,1.34791485,28.3,4.849205,4.3170235,NA,NA,NA,NA,NA,NA,NA,NA
"23","19_568","Nodo 3 - Pies inventariados","IFN2",10,30,1012.9,0,26.14,26.27,NA,0.31,18.17,23.53,437.74,7.66,2.76,2.79,0.62,41.4,32.58,602.37,40.99,44.05,17.75,93.63,61.16,32.47,0,0.94,0,0,22.93,83.57,45.29,3.63,11.01,15.69,75.61,NA,0.39,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,1036.28,0,0,27.51,NA,NA,18.39,24.91,488.73,8.21,2.76,2.81,0.64,42.09,32.97,628.13,37.83,40.65,17.25,100.59,65.85,34.74,NA,NA,0,0,24.79,89.92,48.34,3.91,11.6,16.74,80.59,NA,NA,11.85104317,484.54,44.4864502,34.7831396,NA,NA,NA,NA,NA,NA,NA,NA
"24","19_578","Nodo 3 - Pies inventariados","IFN2",10,35,702.46,0,34.01,19.28,NA,0.3,18.69,26.41,548.97,12.15,2.75,2.84,0.44,54.16,46.02,437.53,31.04,33.36,20.61,96.11,63.78,32.33,0,0.95,0,0,44.79,88.94,41.64,2.96,8.28,12.35,65.24,NA,0.3,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,498.69,0,0,12.82,NA,NA,18.09,24.5,475.21,10.57,2.69,2.8,0.31,54.92,43.12,294.4,42.38,45.54,18.48,60.26,39.81,20.44,NA,NA,0,0,25.19,55.13,26.59,1.93,5.47,8.08,42.07,NA,NA,7.08583074,311.24,32.6820265,22.8617979,0,0,0,NA,NA,NA,NA,NA
"25","19_582","Nodo 3 - Pies inventariados","IFN2",10,30,1000.85,0,24.7,38.09,NA,0.24,22.01,29.08,664.49,12.18,3.1,3.21,0.81,49.27,41.89,813.4,25.95,27.89,23.57,195.19,130.96,64.23,0,0.84,0,6.43,112.54,181.73,85.86,6.97,17.22,27.65,137.7,NA,0.29,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,364.29,0,0,17.9,NA,NA,25.02,29.55,688.04,11.92,3.72,3.78,0.41,46.71,40.36,364.67,43.94,47.21,21.65,95.22,64.28,30.94,NA,NA,0,7.06,57.76,88.84,41.89,3.58,8.32,13.87,67.65,NA,NA,7.0838862,127.35,37.5378275,27.1406905,0,0,0,NA,NA,NA,NA,NA
"26","19_591","Nodo 3 - Pies inventariados","IFN2",10,40,329.02,0,14.25,19.39,NA,0.14,27.39,38.35,1170.19,13.32,3.78,4.11,0.44,41.01,34.74,381.88,41.38,44.47,20.37,105.76,72.85,32.91,0,0.44,0,55.85,33.24,99.11,47.86,5.22,9.71,18.36,81.14,NA,0.15,"Nodo 1 - Pies inventariados",25,"IFN3",2003,40,422.43,0,0,21.34,NA,NA,25.36,37.83,1133.02,12.99,3.42,3.8,0.48,41.46,34.34,432.44,37.45,40.24,19.86,112.65,77.29,35.36,NA,NA,0,46.55,43.51,104.98,51.17,5.43,10.52,19.44,86.57,NA,NA,5.0238033,125.35,23.1956505,17.8576634,NA,NA,NA,NA,NA,NA,NA,NA
"27","19_593","Nodo 3 - Pies inventariados","IFN2",10,35,2008.83,0,53,60.01,NA,0.5,19.5,26.36,546.17,12.16,2.71,2.77,1.21,51.8,46.12,1340.44,18.35,19.72,21.52,290.2,192.39,97.81,0,1.57,0,0,125.4,267.46,127.31,9.23,25.87,38.57,200.98,NA,0.69,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,866.51,0,0,30.11,NA,NA,21.03,28.31,630.65,11.27,3.07,3.14,0.67,47.14,39.82,654.03,30.13,32.38,19.22,140.5,93.6,46.89,NA,NA,0,2.24,63.4,129.23,63.32,5.12,13.34,20.76,102.54,NA,NA,10.59196436,336.01,50.0541771,35.9386846,0,0,0,NA,0.68058906,31.83,2.9535057,2.0256612
"28","19_596","Nodo 3 - Pies inventariados","IFN2",10,30,1480.75,0,48.35,41.94,NA,0.52,18.99,24.83,484.63,9.33,2.76,2.82,0.93,41.93,37.57,946.06,27.85,29.93,20.14,160.6,105.68,54.93,0,1.6,0,0,58.65,144.49,76.49,6.27,17.93,26.43,127.12,NA,0.7,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,1488.98,0,0,30.23,NA,NA,16.08,23.32,429.16,7.62,2.36,2.47,0.71,40.52,32.65,725.45,34.03,36.57,16.7,98.21,63.86,34.35,NA,NA,0,0,23.1,85.86,48.76,4,12.45,17.44,82.66,NA,NA,4.00755308,265.26,11.8972218,10.5681915,NA,NA,NA,NA,3.06876213,190.98,10.1053884,7.9839189
"29","19_601","Nodo 3 - Pies inventariados","IFN2",10,30,831.13,0,35.36,18.05,NA,0.34,16.63,23.98,452.35,9.47,2.55,2.6,0.44,40.78,39.5,427.71,36.62,39.35,19.26,61.96,40.38,21.58,0,0.77,0,0,15.63,54.75,30.06,2.35,7.41,10.3,50.13,NA,0.31,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,1202.5,0,0,26.13,NA,NA,16.63,27.08,576.73,8.99,2.53,2.67,0.6,39.11,33.2,619.22,32.08,34.47,18.12,90.17,59.24,30.93,NA,NA,0,0,28.42,80.16,44.1,3.82,10.87,16.01,74.8,NA,NA,18.00282582,877.12,62.8653376,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","19_602","Nodo 3 - Pies inventariados","IFN2",10,30,379.87,0,29.73,8.19,NA,0.35,16.57,19.87,311.17,9.57,2.6,2.62,0.21,53.66,48.15,194.32,53.63,57.63,17.21,34.73,22.63,12.11,0,1.17,0,0,6.51,31.49,15.52,1.01,3.32,4.51,24.37,NA,0.39,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,951.39,0,0,18.53,NA,NA,15.75,22.05,382.1,8.25,2.37,2.46,0.45,44.08,37.43,448.07,39.29,42.22,17.39,64.01,41.6,22.42,NA,NA,0,0,17.48,56.28,30.89,2.36,7.55,10.39,51.18,NA,NA,14.01722159,792.22,47.2642394,37.7983058,NA,NA,NA,NA,NA,NA,NA,NA
