"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"965","19_616_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_616_35","IFN3","19_616",35,35,0,14.15,24.3,12.5,463.77,20.69,0.66,76.34,51.44,0.36,3.53,8.06,9.36,266.19,179.27,86.92,3.77,0,0,176.17,250.75,112.85,8.57,21.14,34.09,176.65,"Nodo 1 - Pies inventariados",NA,NA
"966","19_616_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_616_8","IFN3","19_616",8,8,0,14.15,30.3,12.5,721.07,4.31,1.02,95.19,41.25,0.39,4.47,7.58,8.99,407.44,278.72,128.72,5.76,0,158.83,223.97,383.81,179.96,17.14,35.28,63.29,295.68,"Nodo 1 - Pies inventariados",NA,NA
"967","19_616_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_616_23","IFN3","19_616",23,23,0,14.15,23.35,10.5,428.22,22.59,0.61,73.36,44.97,0.36,3.44,6.67,7.73,207.9,139.04,68.85,2.94,0,0,153.25,194.14,93.13,7.56,19.28,30.48,150.45,"Nodo 1 - Pies inventariados",NA,NA
"968","19_616_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_616_34","IFN3","19_616",34,34,0,14.15,28,12,615.75,9.98,0.87,87.96,42.86,0.38,4.13,7.4,8.7,336.21,228.49,107.72,4.76,0,0,210.65,314.33,148.5,13.38,29.38,50.72,241.98,"Nodo 1 - Pies inventariados",NA,NA
"969","19_616_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_616_16","IFN3","19_616",16,16,0,14.15,24.85,10.5,485,19.34,0.69,78.07,42.25,0.37,3.67,6.59,7.67,234.43,157.48,76.95,3.32,0,0,170.79,218.92,106.23,9.2,22.27,36.3,174,"Nodo 1 - Pies inventariados",NA,NA
"970","19_616_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_616_25","IFN3","19_616",25,25,0,14.15,25.05,10.5,492.84,17.95,0.7,78.7,41.92,0.38,3.71,6.56,7.64,238.08,160.02,78.06,3.37,0,0,173.45,222.33,108.05,9.43,22.69,37.12,177.29,"Nodo 1 - Pies inventariados",NA,NA
"971","19_616_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_616_36","IFN3","19_616",36,36,0,14.15,23.5,10,433.74,21.98,0.61,73.83,42.55,0.37,3.48,6.31,7.31,200.69,134.13,66.56,2.84,0,0,92.78,183.51,91.59,7.72,19.56,31.04,149.91,"Nodo 1 - Pies inventariados",NA,NA
"972","19_616_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_616_29","IFN3","19_616",29,29,0,14.15,26.1,11,535.02,16.49,0.76,82,42.15,0.38,3.85,6.87,8.02,269.68,181.99,87.69,3.82,0,0,185.35,248.91,121.29,10.73,24.96,41.65,198.63,"Nodo 1 - Pies inventariados",NA,NA
"973","19_616_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_616_4","IFN3","19_616",4,4,0,14.15,28.35,11,631.24,9.08,0.89,89.06,38.8,0.39,4.22,6.68,7.87,316.32,214.72,101.6,4.48,0,0,207.68,295.85,144.47,13.91,30.24,52.52,241.14,"Nodo 1 - Pies inventariados",NA,NA
"974","19_616_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_616_9","IFN3","19_616",9,9,0,14.15,31.55,12,781.79,1.12,1.11,99.12,38.03,0.4,4.69,7.14,8.5,423.28,290.11,133.17,5.99,0,170.77,215.99,399.97,191.14,19.47,38.75,70.89,320.25,"Nodo 1 - Pies inventariados",NA,NA
"975","19_616_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_616_31","IFN3","19_616",31,31,0,31.83,12.8,7.5,128.68,31.03,0.41,40.21,58.59,0.37,1.92,4.75,5.46,46.94,29.84,17.09,1.49,0,0,0,40.2,21.21,1.14,4.78,5.65,32.78,"Nodo 1 - Pies inventariados",NA,NA
"976","19_616_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_616_33","IFN3","19_616",33,33,0,14.15,26.5,11.5,551.55,14.93,0.78,83.25,43.4,0.38,3.9,7.18,8.4,290.03,196.14,93.89,4.1,0,0,192.53,270.52,128.74,11.25,25.85,43.47,209.32,"Nodo 1 - Pies inventariados",NA,NA
"977","19_616_1","IFN2","19_616",31.83,25.18,12.43,497.97,11.76,79.11,49.38,0.38,3.69,7.75,9.1,283.63,191.47,92.16,0,0,185.29,267.4,121.27,9.59,22.96,37.67,191.48,"Nodo 3 - Pies inventariados",5.33,2.43,19.85,"19_616_1","IFN3","19_616",1,1,1,14.15,27.2,13.5,581.07,11.71,0.82,85.45,49.63,0.37,3.95,8.51,10,356.68,242.58,114.1,5.05,0,0,270.2,338.97,150.21,12.22,27.47,46.76,236.66,"Nodo 1 - Pies inventariados",7.35,3.5
"978","19_616_10","IFN2","19_616",31.83,19.77,10.37,307.11,27.83,62.12,52.43,0.35,2.9,6.7,7.72,149.01,98.46,50.55,0,0,67.24,136.03,65.01,4.49,13.11,19.13,101.73,"Nodo 3 - Pies inventariados",5.02,2.37,14.75,"19_616_13","IFN3","19_616",13,13,10,31.83,20.15,11,318.89,26.72,1.02,63.3,54.59,0.35,2.94,7.13,8.22,163.71,108.47,55.24,5.21,0,0,70.62,151.11,70.17,4.76,13.69,20.16,108.79,"Nodo 1 - Pies inventariados",5.4,3
"979","19_616_11","IFN2","19_616",31.83,24.29,10.73,463.22,16.39,76.3,44.16,0.38,3.59,6.68,7.79,228.96,153.63,75.33,0,0,166.77,213.38,102.53,8.56,21.12,34.03,166.23,"Nodo 3 - Pies inventariados",5.29,2.23,19,"19_616_14","IFN3","19_616",14,14,11,14.15,26.6,12,555.72,14.14,0.79,83.57,45.11,0.37,3.9,7.51,8.8,304.54,206.22,98.32,4.31,0,0,195.6,284.71,133.23,11.39,26.08,43.93,214.63,"Nodo 1 - Pies inventariados",7.6,3.5
"980","19_616_12","IFN2","19_616",31.83,19.09,9.82,286.23,28.81,59.97,51.44,0.36,2.81,6.33,7.29,132.04,86.92,45.12,0,0,61.95,121.25,58.36,4.02,12.08,17.33,91.78,"Nodo 3 - Pies inventariados",4.99,2.32,14.1,"19_616_17","IFN3","19_616",17,17,12,31.83,19.7,9.5,304.81,27.74,0.97,61.89,48.22,0.36,2.91,6.08,7.01,135.83,89.54,46.29,4.32,0,0,65.39,125.82,61.1,4.43,12.99,18.93,97.46,"Nodo 1 - Pies inventariados",5.6,2
