"","X.2","X.1","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"93",94,95,95,"9_1525","Nodo 3 - Pies inventariados","IFN2",10,44,1265.01,0,119.09,51.64,NA,4.78,22.8,30.35,727.32,16.57,3.28,3.34,1.11,70.63,54.6,1076.47,16.97,18.24,12.81,375.72,343.45,32.27,0,33.06,0,0,0,8.78,217.46,167.02,103.05,354.49,163.18,0,16.81,26.67,85.47,292.14,NA,20.38,"Nodo 1 - Pies inventariados","IFN3",2003,45,314.77,0,0,14.18,NA,NA,23.95,29.77,701.17,17.77,3.87,3.94,0.38,66.95,59.69,292.02,31.72,34.09,17.79,103.99,95.94,8.05,NA,NA,0,0,0,7.65,58.11,43.1,24.72,98.22,45.59,0,4.81,7.45,23.47,81.32,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"94",95,96,96,"9_1543","Nodo 3 - Pies inventariados","IFN2",10,40,3132.19,0,253.25,53.02,NA,7.77,14.68,28.38,632.47,11.15,2.42,2.48,1.51,62.37,39.29,1233.92,16.02,17.22,7.13,230.78,202.93,27.85,0,33.58,0,0,0,0,24.66,22.85,157.92,206.66,96.42,0,20.79,47.8,87.76,252.77,NA,30.79,"Nodo 1 - Pies inventariados","IFN3",2003,41,2496.96,0,0,28.12,NA,NA,11.98,20.08,328.14,11.75,2.11,2.15,0.9,74.32,58.54,688.69,17.03,18.29,11.82,124.05,105.8,18.25,NA,NA,0,0,0,0,6.73,3.31,89.99,108.09,50.27,0,9.66,25.21,46.55,131.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",96,97,97,"9_1549","Nodo 3 - Pies inventariados","IFN2",10,39,132.34,0,58.07,7.79,NA,3.01,27.38,28.37,639.88,10.47,5.15,5.19,0.28,37.64,36.92,155.21,83,89.19,7.26,35.11,33.57,1.55,0,12.44,0,0,0,4.13,20.2,12.4,4.57,32.65,15.95,0,4.22,6.89,12.9,39.96,NA,12.2,"Nodo 1 - Pies inventariados","IFN3",2003,40,56.59,0,0,3.98,NA,NA,29.92,29.76,702.96,11.23,5.75,5.77,0.15,37.73,37.73,77.48,118.4,127.23,11.23,19.43,18.73,0.7,NA,NA,0,0,0,2.47,12.23,10.36,1.71,18.23,8.9,0,2.12,3.24,6.58,20.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",97,98,98,"9_1568","Nodo 3 - Pies inventariados","IFN2",10,30,539.11,0,157.14,9.13,NA,2.42,14.69,16.05,202.33,8.89,2.85,2.87,0.35,56.04,55.42,212.55,48.42,52.03,6,35.62,31.21,4.41,0,8.9,0,0,0,0,0,0,28.04,31.68,14.83,0,3.81,9.28,15.12,43.04,NA,7.85,"Nodo 1 - Pies inventariados","IFN3",2003,31,190.99,0,0,2.29,NA,NA,12.35,13.39,143.64,9.21,2.51,2.53,0.1,71.41,68.78,55.6,78.57,84.43,8.72,9.94,8.48,1.46,NA,NA,0,0,0,0,0,0,7.27,8.88,4.03,0,0.79,2.06,3.79,10.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",98,99,99,"9_1577","Nodo 3 - Pies inventariados","IFN2",10,49,980.44,0,53.8,64,NA,2.75,28.83,35.97,1021.34,18.6,3.95,4,1.23,61.83,51.71,1258.1,17.17,18.45,14.31,500.17,470.2,29.97,0,20.16,0,0,0,107.67,318.9,246.28,54.74,475.96,223.41,0.06,22.27,30.69,105.93,382.36,NA,12.53,"Nodo 1 - Pies inventariados","IFN3",2003,50,767.48,0,0,51.66,NA,NA,29.28,36.3,1040.04,17.17,4.22,4.27,1.1,56.07,47.3,1011.7,21.02,22.59,17.26,370.64,350.73,19.9,NA,NA,0,0,0,79.5,225.37,185.72,37.8,352.14,166.64,0.08,19.63,27.4,85.51,299.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",99,100,100,"9_1580","Nodo 3 - Pies inventariados","IFN2",10,28,1598.99,0,134.76,30.81,NA,2.27,15.66,21.25,354.65,8.8,2.77,2.81,0.99,55.97,41.4,705.39,28.43,30.55,5.87,125.29,110.78,14.52,0,8.44,0,0,0,0,9.26,0,87.65,111.81,52.63,0,13.06,29.91,50.99,146.6,NA,7.89,"Nodo 1 - Pies inventariados","IFN3",2003,29,760.41,0,0,15.2,NA,NA,15.95,22.44,395.94,9.77,2.82,2.93,0.51,64.72,43.55,346.36,37.11,39.88,9.74,70.97,62.92,8.06,NA,NA,0,0,0,0,13.29,0,42.94,64.31,29.89,0,6.02,12.74,25.15,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",100,101,101,"9_1587","Nodo 3 - Pies inventariados","IFN2",10,25,430.79,0,144.31,7.64,NA,2.21,15.02,16.5,214.26,7.55,2.99,3,0.3,49.12,45.77,176.67,63.82,68.58,4.92,26.29,23.22,3.07,0,6.87,0,0,0,0,0,0,18.26,22.65,11.03,0,3.58,8.85,12.64,36.11,NA,7.61,"Nodo 1 - Pies inventariados","IFN3",2003,26,127.32,0,0,2.97,NA,NA,17.23,17.86,251.22,9.42,3.46,3.48,0.09,54.12,52.76,66.36,94.04,101.05,9.28,9.04,8.08,0.96,NA,NA,0,0,0,0,0,0,6.07,8.18,3.84,0,0.96,2.1,3.64,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",101,102,102,"9_1589","Nodo 3 - Pies inventariados","IFN2",10,40,537.06,0,119.73,23.04,NA,4.6,23.37,29.58,688.98,12.22,4,4.11,0.71,45.69,41.32,477.37,35.3,37.93,8.76,110.45,103.6,6.85,0,20.39,0,0,0,3.17,62.67,38.43,24.63,102.37,49.22,0,11.08,19.11,38.14,117.55,NA,18.2,"Nodo 1 - Pies inventariados","IFN3",2003,41,233.43,0,0,13.08,NA,NA,26.71,30.83,750.04,12.38,4.69,4.79,0.42,44.29,40.15,262.04,52.88,56.82,12.48,67.22,63.86,3.37,NA,NA,0,0,0,7.22,39.69,35.31,10.42,62.8,30.34,0,6.36,10.02,21.65,68.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",102,103,103,"9_1595","Nodo 3 - Pies inventariados","IFN2",10,40,2292.21,0,177.22,67.21,NA,6.04,19.32,26.93,570.39,10.58,3.06,3.14,1.77,51.79,39.28,1460.38,19.75,21.22,7.37,304.22,277.18,27.04,0,25.27,0,0,0,0,114.18,25.82,132.45,278.62,131.7,0,29.87,58.28,111.25,331.1,NA,24.28,"Nodo 1 - Pies inventariados","IFN3",2003,41,834.68,0,0,29.46,NA,NA,21.2,26.89,569.04,11.14,3.63,3.67,0.88,49.85,41.43,625.46,31.07,33.39,11.17,139.88,128.44,11.44,NA,NA,0,0,0,0,68.15,14.74,50.29,129.26,61.03,0,13.11,24.38,48.77,147.27,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"102",103,104,104,"9_1596","Nodo 3 - Pies inventariados","IFN2",10,47,609.83,0,68.7,35.7,NA,3.38,27.3,33.38,884.25,15.84,4.21,4.27,0.87,54.55,47.44,711.52,25.57,27.48,11.37,233.46,219.65,13.81,0,20.55,0,0,0,30.7,143.82,122,31.91,220.89,104.36,0.05,14.1,20.89,59.1,198.5,NA,14.32,"Nodo 1 - Pies inventariados","IFN3",2003,48,385.51,0,0,26.6,NA,NA,29.64,33.83,899.97,15.56,4.56,4.6,0.52,52.02,45.99,519.35,32.74,35.18,15.64,140.56,132.94,7.62,NA,NA,0,0,0,24.89,91.87,71.19,15.13,133.38,63.16,0,8.11,11.62,34.11,116.99,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
