"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"431","19_270_4","IFN2","19_270",14.13,32.4,13.44,824.28,1.3,101.78,41.49,0.53,5.02,6.29,8.78,497.58,342.59,154.99,0,184.05,221.4,471.09,216.82,21.15,41.2,76.35,355.52,"Nodo 3 - Pies mayores",5,2.44,"19_270_7","IFN3","19_270",7,7,4,14.15,39.75,12,1240.98,1.97,124.88,30.19,0.51,6.16,5.86,7.78,660.97,460.5,200.47,0,450.02,119.49,624.58,311.59,40.22,66.23,135.5,553.53,"Nodo 1 - Pies mayores",12.35,1
"432","19_271_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_271_22","IFN3","19_271",22,12,0,14.15,23.75,14.5,443.01,19.55,74.61,61.05,0.37,3.43,9.2,10.83,294.4,198.64,95.76,0,0,177.05,274.6,117.84,7.98,20.05,31.97,177.84,"Nodo 1 - Pies mayores",.,.
"433","19_271_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_271_29","IFN3","19_271",29,16,0,14.15,22.85,14,410.07,22.63,71.79,61.27,0.36,3.3,8.94,10.47,264.06,177.53,86.52,0,0,162.52,249.14,106.27,7.07,18.33,28.69,160.35,"Nodo 1 - Pies mayores",.,.
"434","19_271_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_271_33","IFN3","19_271",33,18,0,14.15,24.5,14.5,471.44,16.9,76.97,59.18,0.37,3.55,9.11,10.76,312.6,211.39,101.21,0,0,242.51,294.67,125.85,8.8,21.55,34.88,191.08,"Nodo 1 - Pies mayores",.,.
"435","19_271_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_271_37","IFN3","19_271",37,20,0,14.15,26.9,16,568.32,15.41,84.51,59.48,0.37,3.85,10.16,12.01,412.12,281.19,130.93,0,0,285.89,391.13,162.97,11.8,26.77,45.33,246.87,"Nodo 1 - Pies mayores",.,.
"436","19_271_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_271_54","IFN3","19_271",54,29,0,14.15,27.5,15,593.96,13.75,86.39,54.55,0.38,3.98,9.36,11.1,403.77,275.51,128.27,0,0,286.75,381.15,164.08,12.64,28.17,48.22,253.12,"Nodo 1 - Pies mayores",.,.
"437","19_271_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_271_7","IFN3","19_271",7,5,0,14.15,24.35,14.5,465.68,18.89,76.5,59.55,0.37,3.52,9.18,10.81,308.92,208.81,100.11,0,0,241.78,288.14,124.23,8.63,21.25,34.29,188.39,"Nodo 1 - Pies mayores",.,.
"438","19_271_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_271_46","IFN3","19_271",46,25,0,14.15,28.35,16,631.24,12.85,89.06,56.44,0.37,4.07,10.06,11.94,456.05,312.32,143.72,0,146.76,306.58,432.81,182.11,13.91,30.24,52.52,278.78,"Nodo 1 - Pies mayores",.,.
"439","19_271_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_271_24","IFN3","19_271",24,13,0,14.15,30,14,706.86,8.07,94.25,46.67,0.4,4.4,8.46,10.1,446.46,306.02,140.44,0,159.51,299.77,421.24,189,16.62,34.48,61.55,301.64,"Nodo 1 - Pies mayores",.,.
"440","19_271_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_271_52","IFN3","19_271",52,28,0,14.15,23.45,14.5,431.89,21.41,73.67,61.83,0.36,3.38,9.26,10.87,287.27,193.66,93.61,0,0,172.76,267.95,114.72,7.67,19.47,30.85,172.7,"Nodo 1 - Pies mayores",.,.
