"","PLOT_ID","INVENTORY_ID_IFN2","Nombre_modelo.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_domi.nte_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","SDI_IFN2","Hart_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","INVENTORY_ID_IFN3","Nombre_modelo.y","T_IFN3","N_IFN3","G_IFN3","dg_IFN3","Do_IFN3","Seccion_domi.nte_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez (hq/dq)","Esbeltez (h100/d100)","SDI_IFN3","Hart_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","G_incorporada_IFN3","N_incorporado_IFN3","V_incorporado_IFN3","WT_incorporada_IFN3","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3","N_muerto_IFN3","V_muerto_IFN3","WT_muerta_IFN3"
"39","42_1858","IFN2","Ppi.ster_me__sim__v01",25,860.51,2.63,258.35,12.98,0.03,3.49,13.86,17.45,239.19,7.44,2.17,2.21,0.33,329.06,45.81,18.93,39.33,25.1,14.23,0.04,9.76,0,0,0,33.8,19.34,1.33,4.99,6.26,31.93,0.04,5.56,"IFN3","Ppi.ster_me__sim__v01",27,700.28,10.15,13.59,20.57,333.68,8.99,2.53,2.6,0.17,56.41,43.67,259.38,42.05,18.78,25.91,16.89,9.01,0,0,6.81,23.5,12.05,0.87,2.75,3.82,19.5,.,.,.,.,.,.,.,.,.,.,.,.
"40","42_1890","IFN2","Ppi.ster_me__sim__v01",30,698.4,3.12,153.31,23.33,0.08,5.38,20.62,28.45,637.01,9.51,3.06,3.15,0.54,510.39,39.8,20.83,96.68,64.13,32.55,0.19,21.5,0,0,40.01,87.68,45.43,3.95,10.3,16.01,75.69,0.13,13.95,"IFN3","Ppi.ster_me__sim__v01",32,399.66,.,18.87,30.37,733.01,11.96,4.27,4.33,0.21,51.68,39.36,252.74,41.84,20.8,48.56,33.12,15.44,0,12.86,24.41,45.41,21.72,2.08,4.37,7.73,35.91,.,.,.,.,0,0,0,0,.,.,.,.
"41","42_1902","IFN2","Ppi.ster_me__sim__v01",25,907.43,3.05,242.03,17.22,0.03,5.43,15.55,22.51,398.21,6.98,2.38,2.44,0.43,418.49,47.57,19.88,54.95,35.47,19.49,0.07,16.84,0,0,7.63,48.63,27.15,2.1,6.94,9.38,45.58,0.06,10.86,"IFN3","Ppi.ster_me__sim__v01",27,251.11,5.92,17.33,20.66,339.49,7.94,2.73,2.79,0.15,44.72,38.42,138.2,79.51,18.2,21.79,14.22,7.57,0,0,4.8,19.49,10.38,0.8,2.46,3.48,17.13,.,.,.,.,.,.,.,.,.,.,.,.
"42","42_1927","IFN2","Ppi.ster_me__sim__v01",30,251.51,0.53,124.72,10.21,0.01,4.83,22.73,26.53,554.22,11.21,3.5,3.54,0.25,215.4,56.24,21.48,48.14,32.22,15.92,0.05,22.02,0,0,25.52,44.48,21.76,1.83,4.6,7.31,35.5,0.04,12.12,"IFN3","Ppi.ster_me__sim__v01",32,155.62,4.77,19.76,21.03,356.74,10.7,3.39,3.43,0.08,53.99,50.9,106.1,74.9,19.66,17.22,11.5,5.71,0,0,10.25,16.06,7.51,0.58,1.5,2.33,11.92,.,.,.,.,.,.,.,.,.,.,.,.
"43","42_1928","IFN2","Ppi.ster_me__sim__v01",30,649.83,2.79,224.67,16.52,0.05,6.74,17.99,27.59,603.91,10.52,2.7,2.81,0.4,380.21,37.28,21.7,62.1,41.02,21.08,0.07,27.29,0,0,20.87,55.83,29.75,2.54,7.06,10.52,49.87,0.07,16.63,"IFN3","Ppi.ster_me__sim__v01",32,268.8,.,18.42,20.9,345.03,9.27,3.15,3.18,0.09,47.4,44.34,163.37,65.81,17.92,14.68,9.7,4.98,0,0,6.85,13.51,6.75,0.53,1.49,2.21,10.98,.,.,.,.,0,0,0,0,.,.,.,.
"44","42_1980","IFN2","Ppi.ster_me__sim__v01",27,465.39,1.49,102.59,19.28,0.04,5.28,22.97,30.53,803.35,10.28,3.38,3.51,0.45,405.41,45.08,22.65,86.5,58.33,28.17,0.12,24.84,0,18.9,25.23,79.66,40.55,4.05,8.96,15.23,68.79,0.1,16.86,"IFN3","Ppi.ster_me__sim__v01",29,807.94,.,14.79,25.77,543.64,11.8,3.63,3.7,0.18,71.09,45.8,343.49,29.81,21.93,42.85,28.92,13.93,0,4.11,22.92,40.09,18.69,1.6,3.66,6.13,30.09,.,.,.,.,0,0,0,0,.,.,.,.
"45","44_1589","IFN2","Ppi.ster_me__sim__v01",35,59.11,0.11,27.38,3.07,0,1.19,25.71,15.2,306.91,5.26,4.19,4.19,0.08,61.87,247.33,16.8,12.59,8.44,4.15,0.01,4.3,0,0,6.17,11.46,6.09,0.61,1.42,2.36,10.48,0.01,2.71,"IFN3","Ppi.ster_me__sim__v01",36,14.15,0.8,26.82,3.79,79.93,1.13,4.54,4.54,0.02,29.66,29.66,15.86,2362.56,15.12,2.93,1.97,0.96,0,0,1.53,2.69,1.49,0.17,0.38,0.64,2.67,.,.,.,.,.,.,.,.,.,.,.,.
"46","44_1615","IFN2","Ppi.ster_me__sim__v01",35,487.08,2.4,195.92,16.26,0.06,6.17,20.62,32.73,848.52,8.85,2.99,3.21,0.39,355.86,51.18,17.59,61.97,41.35,20.63,0.09,22.45,0,13.84,15.5,56.29,30.53,3.22,7.43,12.33,53.51,0.07,16,"IFN3","Ppi.ster_me__sim__v01",35,908.95,.,17.02,29.41,697.95,8.46,3.9,4.01,0.22,47.19,28.77,486.05,39.19,15.92,35.79,24.11,11.69,0,8.07,14.82,32.77,17.95,2.05,4.43,7.69,32.13,10.95983905,597.71,9.458143,8.214641,0,0,0,0,.,.,.,.
"47","44_164","IFN2","Ppi.ster_me__sim__v01",42,757.45,5.03,90.51,31.89,0.18,3.64,23.15,31.44,778.43,11.67,3.35,3.44,0.7,668.47,31.15,19.05,150.36,100.95,49.41,0.46,16.68,0,11.66,71.45,139.24,68.53,6.1,14.59,23.86,113.08,0.34,10.77,"IFN3","Ppi.ster_me__sim__v01",43,601.25,25.28,23.14,31.64,788.97,10.8,3.38,3.5,0.58,39.95,34.13,529.96,37.76,16.51,110.08,73.9,36.18,0,12.39,53.44,101.4,51.84,4.96,11.63,19.24,87.68,.,.,.,.,.,.,.,.,0.87643905,63.66,3.3701604,2.3095848
"48","44_168","IFN2","Ppi.ster_me__sim__v01",40,1189.39,3.04,237.51,17.59,0.03,3.29,13.72,16.03,201.84,5.81,2.16,2.17,0.44,447.75,49.87,12.37,50.3,31.98,18.32,0.08,8.86,0,0,0,41.83,25.17,1.72,6.71,8.26,41.86,0.07,5.86,"IFN3","Ppi.ster_me__sim__v01",41,477.46,9.23,15.69,18.71,275.04,7.09,2.49,2.52,0.24,40.55,37.88,223.52,64.58,12.82,28.67,18.48,10.19,0,0,0,24.91,14.26,1.08,3.69,4.91,23.95,.,.,.,.,.,.,.,.,.,.,.,.
"49","44_317","IFN2","Ppi.ster_me__sim__v01",40,489.12,1.32,140.31,17.46,0.04,5.01,21.32,24.21,460.27,11.78,3.23,3.26,0.41,377.36,38.37,18.7,83.88,55.84,28.04,0.12,24.04,0,0,43.54,77.61,37.25,2.87,7.69,11.78,59.58,0.08,13.72,"IFN3","Ppi.ster_me__sim__v01",41,512.83,.,19.36,25.72,523.27,11.48,3.23,3.27,0.17,56.87,44.65,338.14,38.46,17.54,32.59,21.68,10.9,0,0,18.44,30.04,14.63,1.15,3.07,4.71,23.55,.,.,.,.,0,0,0,0,.,.,.,.
