"","PLOT_ID","INVENTORY_ID_IFN2","Nombre_modelo.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_domi.nte_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","SDI_IFN2","Hart_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","INVENTORY_ID_IFN3","Nombre_modelo.y","T_IFN3","N_IFN3","G_IFN3","dg_IFN3","Do_IFN3","Seccion_domi.nte_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez (hq/dq)","Esbeltez (h100/d100)","SDI_IFN3","Hart_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","G_incorporada_IFN3","N_incorporado_IFN3","V_incorporado_IFN3","WT_incorporada_IFN3","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3","N_muerto_IFN3","V_muerto_IFN3","WT_muerta_IFN3"
"22","19_564","IFN2","Ppi.ster_me__sim__v01",25,92.77,0.1,61.05,3.8,0,2.24,22.83,21.18,379.94,7.69,3.71,3.71,0.1,80.05,134.99,20.5,14.67,9.74,4.93,0.01,8.11,0,0,7.78,13.45,7.12,0.65,1.7,2.66,12.13,0.01,4.64,"IFN3","Ppi.ster_me__sim__v01",25,42.44,2.22,25.8,10.93,221.88,3.32,4.25,4.26,0.06,30.42,30.42,44.68,461.71,18.65,8.05,5.39,2.66,0,0,4.32,7.35,4.08,0.44,1.03,1.72,7.27,1.34791485,28.3,4.849205,4.3170235,.,.,.,.,.,.,.,.
"23","19_568","IFN2","Ppi.ster_me__sim__v01",30,1200.87,4.51,218.62,24.92,0.07,4.99,16.25,23.22,425.25,6.61,2.47,2.51,0.6,595.48,43.68,17.75,81.29,52.61,28.69,0.14,15.44,0,0,9.08,71.55,39.98,3.12,10.13,13.83,67.06,0.13,10.8,"IFN3","Ppi.ster_me__sim__v01",30,1036.28,27.51,18.39,24.91,488.73,8.21,2.76,2.81,0.64,42.09,32.97,628.13,37.83,17.25,100.59,65.85,34.74,0,0,24.79,89.92,48.34,3.91,11.6,16.74,80.59,11.85104317,484.54,44.4864502,34.7831396,.,.,.,.,.,.,.,.
"24","19_578","IFN2","Ppi.ster_me__sim__v01",35,919.58,6.51,257.65,21.96,0.11,6.94,17.44,25.77,521.45,12.06,2.52,2.64,0.5,511.26,27.34,20.61,107.81,71.29,36.52,0.17,33.96,0,0,46.24,98.77,46.66,3.23,9.3,13.62,72.81,0.12,18.14,"IFN3","Ppi.ster_me__sim__v01",35,498.69,12.82,18.09,24.5,475.21,10.57,2.69,2.8,0.31,54.92,43.12,294.4,42.38,18.48,60.26,39.81,20.44,0,0,25.19,55.13,26.59,1.93,5.47,8.08,42.07,7.08583074,311.24,32.6820265,22.8617979,0,0,0,0,.,.,.,.
"25","19_582","IFN2","Ppi.ster_me__sim__v01",30,1142.77,14.93,181.55,36.08,0.37,5.45,20.05,26.97,571.78,11.31,2.83,2.95,0.78,797.68,26.14,23.57,175.84,117.12,58.72,0.56,25.75,0,0,93.14,162.63,77.76,6.03,15.89,24.55,124.23,0.39,15.03,"IFN3","Ppi.ster_me__sim__v01",30,364.29,17.9,25.02,29.55,688.04,11.92,3.72,3.78,0.41,46.71,40.36,364.67,43.94,21.65,95.22,64.28,30.94,0,7.06,57.76,88.84,41.89,3.58,8.32,13.87,67.65,7.0838862,127.35,37.5378275,27.1406905,0,0,0,0,.,.,.,.
"26","19_591","IFN2","Ppi.ster_me__sim__v01",40,355,7.39,47.61,18.16,0.32,1.7,25.52,36.54,1061.22,12.56,3.52,3.86,0.41,367.1,42.27,20.37,94.13,64.48,29.65,0.21,7.8,0,31.03,34.92,87.96,42.99,4.57,8.92,16.41,72.9,0.16,4.99,"IFN3","Ppi.ster_me__sim__v01",40,422.43,21.34,25.36,37.83,1133.02,12.99,3.42,3.8,0.48,41.46,34.34,432.44,37.45,19.86,112.65,77.29,35.36,0,46.55,43.51,104.98,51.17,5.43,10.52,19.44,86.57,5.0238033,125.35,23.1956505,17.8576634,.,.,.,.,.,.,.,.
"27","19_593","IFN2","Ppi.ster_me__sim__v01",35,2170.49,23.72,238.38,52.72,0.48,6.29,17.59,24.51,471.72,12.17,2.46,2.54,1.1,1223.74,17.64,21.52,243.64,160.32,83.32,1.12,29.73,0,0,84.34,222.58,107.13,7.35,22.08,31.58,168.14,0.78,17.72,"IFN3","Ppi.ster_me__sim__v01",35,866.51,30.11,21.03,28.31,630.65,11.27,3.07,3.14,0.67,47.14,39.82,654.03,30.13,19.22,140.5,93.6,46.89,0,2.24,63.4,129.23,63.32,5.12,13.34,20.76,102.54,10.59196436,336.01,50.0541771,35.9386846,0,0,0,0,0.68058906,31.83,2.9535057,2.0256612
"28","19_596","IFN2","Ppi.ster_me__sim__v01",30,1614.9,12.18,194.69,36.82,0.21,4.63,17.04,23.12,419.9,8.33,2.5,2.57,0.84,864.75,29.88,20.14,131.43,85.74,45.69,0.36,16.44,0,0,38.03,116.89,63.26,4.95,15.27,21.52,105,0.3,11.02,"IFN3","Ppi.ster_me__sim__v01",30,1488.98,30.23,16.08,23.32,429.16,7.62,2.36,2.47,0.71,40.52,32.65,725.45,34.03,16.7,98.21,63.86,34.35,0,0,23.1,85.86,48.76,4,12.45,17.44,82.66,4.00755308,265.26,11.8972218,10.5681915,.,.,.,.,3.06876213,190.98,10.1053884,7.9839189
"29","19_601","IFN2","Ppi.ster_me__sim__v01",30,1042.17,4.58,250.97,18.88,0.05,5.51,15.19,22.8,408.26,10.43,2.3,2.37,0.46,462.73,29.71,19.26,65,42.24,22.76,0.07,21.2,0,0,20.2,57.19,31.17,2.32,7.6,10.3,51.39,0.06,12.29,"IFN3","Ppi.ster_me__sim__v01",30,1202.5,26.13,16.63,27.08,576.73,8.99,2.53,2.67,0.6,39.11,33.2,619.22,32.08,18.12,90.17,59.24,30.93,0,0,28.42,80.16,44.1,3.82,10.87,16.01,74.8,18.00282582,877.12,62.8653376,51.563688,.,.,.,.,.,.,.,.
"30","19_602","IFN2","Ppi.ster_me__sim__v01",30,529.79,1.39,181.03,9.06,0.02,3.02,14.75,18.23,261.21,8.69,2.31,2.34,0.23,224.39,49.99,17.21,36.93,23.85,13.08,0.04,11.46,0,0,0,32.86,16.46,0.99,3.56,4.6,25.61,0.03,5.62,"IFN3","Ppi.ster_me__sim__v01",30,951.39,18.53,15.75,22.05,382.1,8.25,2.37,2.46,0.45,44.08,37.43,448.07,39.29,17.39,64.01,41.6,22.42,0,0,17.48,56.28,30.89,2.36,7.55,10.39,51.18,14.01722159,792.22,47.2642394,37.7983058,.,.,.,.,.,.,.,.
"31","19_603","IFN2","Ppi.ster_me__sim__v01",35,386.05,0.94,164.17,12.39,0.03,5.3,20.21,24.32,464.43,8.2,3.14,3.18,0.31,273.09,62.07,16.98,47.75,31.51,16.24,0.06,19.36,0,0,16.75,43.5,22.83,1.94,5.38,8.08,38.24,0.04,12.31,"IFN3","Ppi.ster_me__sim__v01",35,555.27,18.2,20.43,27.37,595.21,9.71,3.07,3.15,0.43,43.33,35.48,399.64,43.69,17.54,76.67,50.89,25.77,0,4.56,31.59,70.14,35.72,3.03,8,12.34,59.09,11.6112372,403.2,47.6434408,36.4973952,.,.,.,.,.,.,.,.
"32","19_604","IFN2","Ppi.ster_me__sim__v01",25,1186.89,6.05,206.19,26.25,0.1,4.93,16.78,23.33,427.57,9.03,2.51,2.56,0.61,619.92,32.16,22.92,99.95,65.21,34.74,0.2,18.87,0,0,25.1,89.87,46.7,3.45,10.81,15.07,76.03,0.15,11.17,"IFN3","Ppi.ster_me__sim__v01",25,940.78,26.52,18.94,26.48,552.04,9.65,2.78,2.88,0.61,41.62,36.42,598.73,33.8,20.99,105.8,69.96,35.83,0,0,46.76,95.76,49.82,4.15,11.45,17.2,82.62,11.32956806,459.8,42.6474822,34.3814633,.,.,.,.,.,.,.,.
"33","19_606","IFN2","Ppi.ster_me__sim__v01",30,955.33,4.09,195.48,16.14,0.05,3.28,14.67,21.12,351.65,8.77,2.24,2.29,0.39,400.68,36.88,18.89,58.84,37.99,20.84,0.09,11.45,0,0,6.68,51.36,27.45,1.84,6.38,8.39,44.06,0.06,6.31,"IFN3","Ppi.ster_me__sim__v01",30,756.87,19.47,18.1,23.06,419.6,9.77,2.75,2.78,0.46,48.83,42.36,447.17,37.2,19.26,81.7,53.59,28.11,0,0,21.31,74.26,37.23,2.69,8.15,11.62,59.69,9.27521276,410.26,38.1121114,27.5711797,.,.,.,.,.,.,.,.
"34","19_609","IFN2","Ppi.ster_me__sim__v01",30,1660.87,13.4,259.55,36.58,0.22,6.98,16.75,25.46,509.12,9.87,2.42,2.5,0.82,864.74,24.85,21.97,146.58,96.04,50.54,0.39,28.93,0,0,43.92,131.83,67.67,5,15.2,21.56,109.43,0.29,17.75,"IFN3","Ppi.ster_me__sim__v01",30,1542.03,29.99,15.74,26.41,550.12,10.06,2.26,2.39,0.69,47.42,38.08,725.5,25.32,19.34,113.71,74.36,39.34,0,0,33.49,101.13,53.4,4.06,12.38,17.47,87.31,4.93178805,346.6,17.3461514,13.1821315,.,.,.,.,.,.,.,.
"35","19_611","IFN2","Ppi.ster_me__sim__v01",30,235.22,0.46,76.52,7.04,0.01,2.02,19.52,20.66,335.5,9.52,3.1,3.11,0.18,157.18,68.49,18.89,29.06,19.13,9.94,0.03,7.75,0,0,9.64,26.36,13.42,1.02,3,4.35,21.79,0.03,4.18,"IFN3","Ppi.ster_me__sim__v01",30,399.66,17.58,23.67,28.95,666.18,11.35,3.52,3.61,0.41,43.5,39.2,365.54,44.08,20.94,84.75,57,27.75,0,7.56,44.84,78.51,38.45,3.42,8.09,13.31,63.26,14.12312952,328.95,69.0320897,51.1109189,.,.,.,.,.,.,.,.
"36","19_613","IFN2","Ppi.ster_me__sim__v01",30,155.43,0.3,63.78,7.3,0.01,2.66,24.46,25.57,519.95,10.75,3.8,3.83,0.18,150.01,74.65,19.79,36.95,24.86,12.09,0.05,12.33,0,0,23.06,34.41,16.46,1.39,3.35,5.48,26.69,0.04,6.8,"IFN3","Ppi.ster_me__sim__v01",30,190.99,8.69,24.07,28.43,646.78,12.15,4.19,4.24,0.18,41.24,42.72,179.52,59.57,21.99,42.66,29.06,13.6,0,10.19,24.01,39.99,18.64,1.68,3.62,6.32,30.26,3.85354025,70.75,20.195729,14.6088845,.,.,.,.,.,.,.,.
"37","19_616","IFN2","Ppi.ster_me__sim__v01",35,825.81,3.72,118.65,30.11,0.11,4.41,21.55,25.76,521.41,10.31,3.19,3.22,0.67,648.2,33.74,20.04,137.23,91.29,45.94,0.34,19.57,0,0,70.33,126.35,62.31,5.02,13.31,20.54,101.19,0.26,12.12,"IFN3","Ppi.ster_me__sim__v01",35,679.06,31.44,24.28,30.55,733.71,11.92,3.51,3.58,0.68,46.05,39.03,647.43,32.18,20.06,162.48,109.52,52.96,0,13.84,93.9,151.26,72.04,6.18,14.53,24.04,116.79,10.56231249,215.78,53.9648472,39.5121434,.,.,.,.,.,.,.,.
"38","19_617","IFN2","Ppi.ster_me__sim__v01",35,724.96,4.47,205.98,21.06,0.1,5.92,19.23,25.02,492.55,9.04,2.88,2.97,0.5,472.84,41.08,18.02,77.54,51.13,26.41,0.12,21.63,0,0,33.05,69.81,37.67,3.29,9.11,13.68,63.76,0.11,14.28,"IFN3","Ppi.ster_me__sim__v01",35,417.34,18.75,23.92,29.47,684.98,9.35,3.63,3.69,0.45,35.62,31.73,388.34,52.36,17.02,74.54,49.87,24.67,0,4.73,40.48,68.15,36.28,3.61,8.61,14.12,62.62,6.22529338,148.56,24.5837875,20.4443098,.,.,.,.,.,.,.,.
