"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"719","19_596_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_596_14","IFN3","19_596",14,11,0,31.83,12.55,5.5,123.7,25.36,39.43,43.82,0.41,1.93,3.26,3.79,33.38,21.04,12.34,0,0,0,28.71,16.8,1.08,4.57,5.35,27.78,"Nodo 1 - Pies mayores",.,.
"720","19_596_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_596_16","IFN3","19_596",16,13,0,31.83,14.65,5.5,168.56,23.42,46.02,37.54,0.41,2.26,3.23,3.77,44.99,28.67,16.32,0,0,0,38.7,23.3,1.75,6.54,8.25,39.83,"Nodo 1 - Pies mayores",.,.
"721","19_596_1","IFN2","19_596",136,17.07,8.02,228.75,35.3,53.61,47.01,0.31,2.48,5.52,6.23,87.31,56.75,30.56,0,0,0,77.85,40.63,2.83,9.31,12.66,65.43,"Nodo 3 - Pies inventariados",4.67,2.02,12.4,"19_596_1","IFN3","19_596",1,1,1,31.83,16.5,7.5,213.82,21.55,51.84,45.45,0.4,2.51,4.49,5.24,76.61,49.59,27.01,0,0,0,69.27,36.29,2.54,8.61,11.51,58.96,"Nodo 1 - Pies mayores",4.1,1.5
"722","19_596_10","IFN2","19_596",135.87,16.68,6.83,218.51,38.41,52.4,40.94,0.31,2.44,4.69,5.28,71.38,46.14,25.24,0,0,0,62.69,35.04,2.63,8.83,11.87,58.37,"Nodo 3 - Pies inventariados",4.63,1.83,12.05,"19_596_12","IFN3","19_596",12,888,10,127.32,12.05,6.27,114.04,26.14,37.86,52.02,0.4,1.84,3.76,4.37,35.07,22.11,12.96,0,0,0,29.11,16.71,0.95,4.15,4.77,26.58,"Nodo 1 - Pies mayores",0,1.27
"723","19_596_11","IFN2","19_596",34.04,17.57,6.2,242.49,33.67,55.2,35.31,0.33,2.6,4.18,4.72,71.87,46.52,25.34,0,0,0,64.21,36.87,3.1,9.97,13.73,63.67,"Nodo 3 - Pies inventariados",4.72,1.7,12.85,"19_596_13","IFN3","19_596",13,10,11,31.83,14.4,6,162.86,23.96,45.24,41.67,0.41,2.21,3.56,4.14,47.38,30.22,17.16,0,0,0,39.87,23.71,1.66,6.28,7.86,39.5,"Nodo 1 - Pies mayores",1.55,1.5
"724","19_596_12","IFN2","19_596",34.19,20.9,7.84,343.02,25.24,65.65,37.53,0.33,3.08,5.22,5.95,126.25,83.2,43.05,0,0,69.55,113.22,61.5,5.34,14.9,22.33,104.08,"Nodo 3 - Pies inventariados",4.9,1.84,16,"19_596_15","IFN3","19_596",15,12,12,31.83,16.95,7,225.65,20.14,53.25,41.3,0.41,2.59,4.14,4.84,75.43,48.84,26.59,0,0,0,65.69,36.81,2.77,9.17,12.42,61.16,"Nodo 1 - Pies mayores",0.949999999999999,1
"725","19_596_13","IFN2","19_596",34.21,21.63,8.98,367.44,22.76,67.95,41.53,0.33,3.16,6,6.86,154,102.06,51.94,0,0,77.18,140.02,71.92,5.95,16.14,24.6,118.6,"Nodo 3 - Pies inventariados",4.93,1.98,16.7,"19_596_17","IFN3","19_596",17,14,13,31.83,21.15,7.5,351.33,6.22,66.44,35.46,0.44,3.26,4.21,5.01,123.67,81.48,42.19,0,0,70.29,111.82,61.36,5.54,15.32,23.1,105.32,"Nodo 1 - Pies mayores",4.45,0.5
"726","19_596_14","IFN2","19_596",36.66,23.18,9.53,422.08,14.46,72.83,41.1,0.35,3.41,6.22,7.18,186.48,124.37,62.11,0,0,89.52,171.7,86.37,7.39,18.96,29.87,142.6,"Nodo 3 - Pies inventariados",5.03,2.03,18.15,"19_596_19","IFN3","19_596",19,16,14,31.83,21.7,8,369.84,5.05,68.17,36.87,0.44,3.34,4.49,5.36,138.4,91.49,46.91,0,0,75.25,123.19,67.42,6.01,16.26,24.82,114.51,"Nodo 1 - Pies mayores",3.55,0.5
"727","19_596_15","IFN2","19_596",34.15,19.8,8.45,307.93,30.83,62.21,42.69,0.32,2.89,5.76,6.53,122.39,80.49,41.9,0,0,63.99,112.26,57.47,4.51,13.15,19.2,94.32,"Nodo 3 - Pies inventariados",4.8,1.95,15,"19_596_20","IFN3","19_596",20,17,15,31.83,16.55,7.5,215.12,20.86,51.99,45.32,0.4,2.52,4.48,5.23,77.05,49.89,27.16,0,0,0,69.67,36.53,2.57,8.67,11.61,59.38,"Nodo 1 - Pies mayores",1.55,1
"728","19_596_16","IFN2","19_596",36.66,23.37,8.38,428.99,11.32,73.42,35.87,0.36,3.48,5.35,6.19,167.17,111.22,55.95,0,0,88.03,153.49,81.19,7.58,19.32,30.56,138.65,"Nodo 3 - Pies inventariados",5.07,1.88,18.3,"19_596_21","IFN3","19_596",21,18,16,31.83,18.9,6.5,280.55,16.27,59.38,34.39,0.42,2.91,3.76,4.42,86.57,56.39,30.18,0,0,0,76.58,44.27,3.89,11.8,16.85,76.82,"Nodo 1 - Pies mayores",0.599999999999998,0
"729","19_596_17","IFN2","19_596",34.22,22.35,8.4,392.38,17.55,70.22,37.57,0.35,3.3,5.48,6.3,153.65,101.9,51.75,0,0,80.72,141.27,73.96,6.59,17.42,26.97,124.94,"Nodo 3 - Pies inventariados",5,1.9,17.35,"19_596_23","IFN3","19_596",23,20,17,31.83,20.25,7.5,322.06,9.49,63.62,37.04,0.43,3.11,4.27,5.06,113.72,74.69,39.02,0,0,64.64,102.82,55.97,4.84,13.85,20.45,95.1,"Nodo 1 - Pies mayores",2.9,1
"730","19_596_18","IFN2","19_596",34.21,21.71,7.83,370.08,21.49,68.2,36.05,0.34,3.21,5.14,5.89,135.54,89.56,45.98,0,0,74.83,121.36,66.55,6.01,16.27,24.84,113.68,"Nodo 3 - Pies inventariados",4.96,1.83,16.75,"19_596_25","IFN3","19_596",25,22,18,31.83,17.9,6,251.65,17.16,56.23,33.52,0.42,2.76,3.46,4.06,72.09,46.69,25.4,0,0,0,60.67,37.56,3.28,10.4,14.47,65.71,"Nodo 1 - Pies mayores",1.15,0
"731","19_596_19","IFN2","19_596",36.66,23.3,8.96,426.48,12.9,73.21,38.43,0.35,3.44,5.78,6.68,177.29,118.11,59.18,0,0,89.09,160.86,84.04,7.52,19.19,30.31,141.05,"Nodo 3 - Pies inventariados",5.05,1.96,18.25,"19_596_26","IFN3","19_596",26,23,19,31.83,17.05,7,228.32,18.7,53.56,41.06,0.41,2.61,4.11,4.82,76.29,49.42,26.87,0,0,0,66.44,37.27,2.82,9.29,12.62,62.01,"Nodo 1 - Pies mayores",.,0
"732","19_596_2","IFN2","19_596",34.16,19.88,8.46,310.25,28.71,62.44,42.59,0.32,2.9,5.73,6.51,123.44,81.2,42.24,0,0,64.54,113.34,57.97,4.56,13.26,19.4,95.2,"Nodo 3 - Pies inventariados",4.83,1.96,15.05,"19_596_2","IFN3","19_596",2,888,2,31.83,15.05,6.84,177.89,22.86,47.28,45.48,0.4,2.3,4.08,4.76,58.67,37.65,21.02,0,0,0,51.6,28.24,1.9,6.96,8.9,45.99,"Nodo 1 - Pies mayores",0,0.34
"733","19_596_20","IFN2","19_596",34.16,19.87,7.87,310.11,29.77,62.43,39.61,0.32,2.91,5.32,6.04,114.94,75.48,39.46,0,0,63.18,103.32,55.4,4.56,13.26,19.39,92.61,"Nodo 3 - Pies inventariados",4.82,1.87,15.05,"19_596_27","IFN3","19_596",27,24,20,31.83,19.35,6.5,294.07,13.49,60.79,33.59,0.43,2.99,3.71,4.38,90.59,59.11,31.48,0,0,0,80.14,46.53,4.19,12.46,18,81.19,"Nodo 1 - Pies mayores",4.3,0.5
"734","19_596_21","IFN2","19_596",36.66,23.13,8.94,420.09,16.01,72.66,38.68,0.35,3.41,5.84,6.72,174.52,116.2,58.32,0,0,87.69,158.22,82.65,7.34,18.85,29.68,138.52,"Nodo 3 - Pies inventariados",5.03,1.94,18.1,"19_596_28","IFN3","19_596",28,25,21,31.83,22.1,7.5,383.6,2.64,69.43,33.94,0.45,3.42,4.14,4.95,134.61,88.97,45.64,0,0,76.51,121.71,67.33,6.36,16.97,26.13,116.79,"Nodo 1 - Pies mayores",4,0.5
"735","19_596_22","IFN2","19_596",34.02,17.29,7.41,234.77,34.5,54.32,42.88,0.32,2.53,5.06,5.72,82.89,53.82,29.06,0,0,0,74.79,39.78,2.94,9.6,13.13,65.44,"Nodo 3 - Pies inventariados",4.69,1.91,12.6,"19_596_29","IFN3","19_596",29,26,22,31.83,13.55,5,144.2,24.48,42.57,36.9,0.41,2.09,2.93,3.41,35.26,22.3,12.97,0,0,0,27.92,18.62,1.37,5.45,6.63,32.07,"Nodo 1 - Pies mayores",0.950000000000001,.
"736","19_596_23","IFN2","19_596",34.22,22.08,8.98,382.76,18.89,69.35,40.7,0.34,3.24,5.92,6.8,160.22,106.34,53.88,0,0,80.3,145.7,75.11,6.34,16.92,26.04,124.42,"Nodo 3 - Pies inventariados",4.98,1.98,17.1,"19_596_30","IFN3","19_596",30,27,23,31.83,20.05,7,315.73,10.51,62.99,34.91,0.43,3.09,3.97,4.71,104.3,68.34,35.95,0,0,62.07,90.83,52.52,4.69,13.54,19.88,90.62,"Nodo 1 - Pies mayores",2.95,0
"737","19_596_24","IFN2","19_596",34.1,18.56,7.35,270.61,31.88,58.31,39.58,0.32,2.73,4.97,5.63,94.23,61.48,32.75,0,0,0,85.53,45.97,3.68,11.32,16.02,76.98,"Nodo 3 - Pies inventariados",4.76,1.85,13.8,"19_596_31","IFN3","19_596",31,28,24,31.83,17.2,6.5,232.35,17.96,54.04,37.79,0.42,2.64,3.78,4.44,72.18,46.7,25.47,0,0,0,63.85,36.27,2.9,9.48,12.94,61.59,"Nodo 1 - Pies mayores",3.4,1
"738","19_596_25","IFN2","19_596",34.19,20.88,8.42,342.4,26.42,65.59,40.32,0.33,3.06,5.66,6.44,135.05,89.14,45.91,0,0,70.77,123.5,64.13,5.32,14.87,22.28,106.6,"Nodo 3 - Pies inventariados",4.88,1.92,16,"19_596_32","IFN3","19_596",32,29,25,31.83,19.35,7.5,294.07,14.42,60.79,38.76,0.42,2.96,4.36,5.14,104.17,68.2,35.97,0,0,0,94.19,50.84,4.19,12.46,18,85.49,"Nodo 1 - Pies mayores",3.35,1
"739","19_596_26","IFN2","19_596",36.66,23.58,8.96,436.63,9.72,74.07,38.01,0.36,3.5,5.72,6.64,181.47,120.99,60.47,0,0,90.94,164.73,86.19,7.8,19.72,31.33,145.03,"Nodo 3 - Pies inventariados",5.08,1.96,18.5,"19_596_33","IFN3","19_596",33,30,26,31.83,19.95,7,312.59,11.52,62.67,35.09,0.43,3.07,3.99,4.72,103.29,67.66,35.63,0,0,0,89.95,51.96,4.61,13.38,19.61,89.56,"Nodo 1 - Pies mayores",1.45,0
"740","19_596_27","IFN2","19_596",34.2,21.36,8.99,358.34,24.02,67.1,42.08,0.33,3.12,6.03,6.88,150.43,99.61,50.82,0,0,75.4,136.85,70.07,5.72,15.68,23.75,115.21,"Nodo 3 - Pies inventariados",4.91,1.99,16.45,"19_596_34","IFN3","19_596",34,31,27,31.83,20.9,8.5,343.07,7.34,65.66,40.67,0.43,3.19,4.85,5.77,136.58,90.18,46.4,0,0,71.24,124.88,64.65,5.34,14.9,22.34,107.23,"Nodo 1 - Pies mayores",4.45,1.5
"741","19_596_28","IFN2","19_596",157,12.41,6.53,121.05,46.13,39,52.58,0.3,1.81,4.58,5.12,38.64,24.43,14.21,0,0,0,31.66,18.25,1.04,4.45,5.19,28.93,"Nodo 3 - Pies inventariados",4.36,2.03,8.05,"19_596_35","IFN3","19_596",35,32,28,127.32,8.25,4.5,53.46,28.89,25.92,54.55,0.41,1.28,2.67,3.09,12.22,7.44,4.78,0,0,0,8.14,6.11,0.29,1.72,1.65,9.77,"Nodo 1 - Pies mayores",0.199999999999999,0
"742","19_596_29","IFN2","19_596",36.67,24.26,8.94,462.08,8.03,76.2,36.84,0.37,3.6,5.67,6.59,191.14,127.69,63.45,0,0,96.04,173.17,91.36,8.52,21.05,33.92,154.85,"Nodo 3 - Pies inventariados",5.11,1.94,19.15,"19_596_36","IFN3","19_596",36,33,29,14.15,24,8,452.39,0.79,75.4,33.33,0.45,3.71,4.41,5.29,168.09,111.92,56.17,0,0,91.39,154.03,83.43,8.24,20.54,32.92,145.14,"Nodo 1 - Pies mayores",4.85,1
