"","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"19",16,1051,19,192,10.7,25,316,327,18.5,2,2,NA,"IFN2","16_1051","16_1051_19","IFN2_16_1051_19",32.15,14.1471060526129,811.805213146279
"20",16,1051,20,205,14,25,234,227,18.5,2,2,NA,"IFN2","16_1051","16_1051_20","IFN2_16_1051_20",23.05,14.1471060526129,417.284007708473
"21",16,1051,21,227,6.9,25,384,364,17,2,2,NA,"IFN2","16_1051","16_1051_21","IFN2_16_1051_21",37.4,14.1471060526129,1098.58353503381
"22",16,1051,22,230,9.7,25,172,161,9.5,2,2,NA,"IFN2","16_1051","16_1051_22","IFN2_16_1051_22",16.65,31.8309886183791,217.730042352449
"23",16,1051,23,244,9.9,25,339,351,18,2,2,NA,"IFN2","16_1051","16_1051_23","IFN2_16_1051_23",34.5,14.1471060526129,934.820163983813
"24",16,1051,24,283,10.5,25,243,236,10,2,2,NA,"IFN2","16_1051","16_1051_24","IFN2_16_1051_24",23.95,14.1471060526129,450.506350020185
"25",16,1051,25,302,14.9,25,256,270,13,2,2,NA,"IFN2","16_1051","16_1051_25","IFN2_16_1051_25",26.3,14.1471060526129,543.252055640381
"26",16,1051,26,317,9.5,25,171,176,10,2,2,NA,"IFN2","16_1051","16_1051_26","IFN2_16_1051_26",17.35,31.8309886183791,236.422518641308
"27",16,1051,27,366,10.5,25,243,255,15,2,2,NA,"IFN2","16_1051","16_1051_27","IFN2_16_1051_27",24.9,14.1471060526129,486.954715288052
"28",16,1051,28,382,13.4,25,316,315,17.5,2,2,NA,"IFN2","16_1051","16_1051_28","IFN2_16_1051_28",31.55,14.1471060526129,781.787295341229
"29",16,1051,29,383,14.5,25,230,237,18,2,2,NA,"IFN2","16_1051","16_1051_29","IFN2_16_1051_29",23.35,14.1471060526129,428.216750142965
"30",16,1051,30,398,9.4,25,148,147,10.5,2,2,NA,"IFN2","16_1051","16_1051_30","IFN2_16_1051_30",14.75,31.8309886183791,170.873187924157
"31",16,2992,1,4,6.8,26,242,242,8,2,2,NA,"IFN2","16_2992","16_2992_1","IFN2_16_2992_1",24.2,14.1471060526129,459.960580412082
"32",16,2992,2,293,8.4,26,171,185,7,2,2,NA,"IFN2","16_2992","16_2992_2","IFN2_16_2992_2",17.8,31.8309886183791,248.845554090848
"33",16,2992,3,398,23.3,24,418,470,11.5,2,2,NA,"IFN2","16_2992","16_2992_3","IFN2_16_2992_3",44.4,5.09295817894065,1548.30252339519
"34",40,1022,1,3,NA,21,216,213,11.5,2,2,NA,"IFN2","40_1022","40_1022_1","IFN2_40_1022_1",21.45,31.8309886183791,361.363658474574
"35",40,1022,10,99,NA,21,225,226,11,2,2,NA,"IFN2","40_1022","40_1022_10","IFN2_40_1022_10",22.55,14.1471060526129,399.376929583011
"36",40,1022,11,108,NA,21,201,201,10,2,2,NA,"IFN2","40_1022","40_1022_11","IFN2_40_1022_11",20.1,31.8309886183791,317.308711994203
"37",40,1022,12,135,NA,21,235,229,10.5,2,2,NA,"IFN2","40_1022","40_1022_12","IFN2_40_1022_12",23.2,14.1471060526129,422.732707467043
"38",40,1022,13,136,NA,21,236,227,10,2,2,NA,"IFN2","40_1022","40_1022_13","IFN2_40_1022_13",23.15,14.1471060526129,420.912547223369
"39",40,1022,14,156,NA,21,165,162,9.5,2,2,NA,"IFN2","40_1022","40_1022_14","IFN2_40_1022_14",16.35,31.8309886183791,209.954600534814
"40",40,1022,15,164,NA,21,143,136,9,2,2,NA,"IFN2","40_1022","40_1022_15","IFN2_40_1022_15",13.95,31.8309886183791,152.840446092552
"41",40,1022,16,183,NA,21,303,312,13,2,2,NA,"IFN2","40_1022","40_1022_16","IFN2_40_1022_16",30.75,14.1471060526129,742.6430508775
"42",40,1022,17,201,NA,21,283,286,11.5,2,2,NA,"IFN2","40_1022","40_1022_17","IFN2_40_1022_17",28.45,14.1471060526129,635.703236949303
