"","Provincia","Estadillo","Clase","Subclase","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","rumbo","distancia","DRed","specie","dbh_1","dbh_2","height","quality","shape","special_param","Agente","Import","Elemento","Compara","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","IFN3_ID","dbh","expan","basal_area"
"25",16,1051,"A","1",25,0,25,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"X","IFN3","16_1051","16_1051_25","IFN3_16_1051_25","16_1051_A_1",0,0,0
"26",16,1051,"A","1",26,14,26,316,9.5,NA,25,183,185,12.5,2,2,NA,100,NA,NA,"X","IFN3","16_1051","16_1051_26","IFN3_16_1051_26","16_1051_A_1",18.4,31.8309886183791,265.90440219984
"27",16,1051,"A","1",27,15,27,365,10.5,NA,25,268,280,17.5,2,2,NA,100,NA,NA,"X","IFN3","16_1051","16_1051_27","IFN3_16_1051_27","16_1051_A_1",27.4,14.1471060526129,589.645525152268
"28",16,1051,"A","1",28,0,28,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"X","IFN3","16_1051","16_1051_28","IFN3_16_1051_28","16_1051_A_1",0,0,0
"29",16,1051,"A","1",29,0,29,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"X","IFN3","16_1051","16_1051_29","IFN3_16_1051_29","16_1051_A_1",0,0,0
"30",16,1051,"A","1",30,16,30,397,9.4,NA,25,173,164,14.5,2,2,NA,100,NA,NA,"X","IFN3","16_1051","16_1051_30","IFN3_16_1051_30","16_1051_A_1",16.85,31.8309886183791,222.992210047212
"31",16,2992,"A","1",1,1,1,2,6.8,NA,26,253,246,11,2,2,NA,100,NA,NA,"X","IFN3","16_2992","16_2992_1","IFN3_16_2992_1","16_2992_A_1",24.95,14.1471060526129,488.91232021032
"32",16,2992,"A","1",2,2,0,186,5,NA,24,93,86,3.5,2,5,NA,100,NA,NA,"X","IFN3","16_2992","16_2992_0","IFN3_16_2992_0","16_2992_A_1",8.95,127.323954473516,62.9123563835441
"33",16,2992,"A","1",3,3,2,286,8.4,NA,26,175,166,7.5,2,2,NA,100,NA,NA,"X","IFN3","16_2992","16_2992_2","IFN3_16_2992_2","16_2992_A_1",17.05,31.8309886183791,228.317209595047
"34",16,2992,"A","1",4,4,3,394,23.5,NA,24,434,501,12.5,2,2,NA,100,NA,NA,"X","IFN3","16_2992","16_2992_3","IFN3_16_2992_3","16_2992_A_1",46.75,5.09295817894065,1716.53677349034
"35",40,1022,"A","3C",1,1,1,2,7.7,NA,21,268,269,14,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_1","IFN3_40_1022_1","40_1022_A_3C",26.85,14.1471060526129,566.211207451897
"36",40,1022,"A","3C",2,2,2,5,15.2,NA,21,318,360,15,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_2","IFN3_40_1022_2","40_1022_A_3C",33.9,14.1471060526129,902.587423357981
"37",40,1022,"A","3C",3,3,3,8,8.7,NA,21,175,168,13,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_3","IFN3_40_1022_3","40_1022_A_3C",17.15,31.8309886183791,231.003271313866
"38",40,1022,"A","3C",4,4,0,19,10.3,NA,21,310,296,15,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",30.3,14.1471060526129,721.066199833563
"39",40,1022,"A","3C",5,5,0,29,13.9,NA,21,252,250,14.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",25.1,14.1471060526129,494.808696922026
"40",40,1022,"A","3C",6,6,4,35,1.1,NA,21,243,242,14,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_4","IFN3_40_1022_4","40_1022_A_3C",24.25,14.1471060526129,461.863207462912
"41",40,1022,"A","3C",7,7,5,46,3.8,NA,21,285,284,14.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_5","IFN3_40_1022_5","40_1022_A_3C",28.45,14.1471060526129,635.703236949303
"42",40,1022,"A","3C",8,8,6,50,11.8,NA,21,305,310,15,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_6","IFN3_40_1022_6","40_1022_A_3C",30.75,14.1471060526129,742.6430508775
"43",40,1022,"A","3C",9,9,7,50,10.2,NA,21,331,340,14.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_7","IFN3_40_1022_7","40_1022_A_3C",33.55,14.1471060526129,884.046136215576
"44",40,1022,"A","3C",10,10,8,50,6.9,NA,21,185,183,13,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_8","IFN3_40_1022_8","40_1022_A_3C",18.4,31.8309886183791,265.90440219984
"45",40,1022,"A","3C",11,11,0,77,12.5,NA,21,262,277,13.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",26.95,14.1471060526129,570.436649570975
"46",40,1022,"A","3C",12,12,0,83,10.8,NA,21,260,269,14,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",26.45,14.1471060526129,549.466518608263
"47",40,1022,"A","3C",13,13,9,88,9.2,NA,21,245,260,14,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_9","IFN3_40_1022_9","40_1022_A_3C",25.25,14.1471060526129,500.740416551086
"48",40,1022,"A","3C",14,14,0,97,14.4,NA,21,276,279,14.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",27.75,14.1471060526129,604.805673201247
"49",40,1022,"A","3C",15,15,10,100,7.8,NA,21,285,270,14.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_10","IFN3_40_1022_10","40_1022_A_3C",27.75,14.1471060526129,604.805673201247
"50",40,1022,"A","3C",16,16,11,107,7.2,NA,21,262,249,14,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_11","IFN3_40_1022_11","40_1022_A_3C",25.55,14.1471060526129,512.709884561263
"51",40,1022,"A","3C",17,17,12,135,16.2,NA,21,286,279,14,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_12","IFN3_40_1022_12","40_1022_A_3C",28.25,14.1471060526129,626.796821776376
"52",40,1022,"A","3C",18,18,13,136,10.1,NA,21,287,284,14,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_13","IFN3_40_1022_13","40_1022_A_3C",28.55,14.1471060526129,640.180006480669
"53",40,1022,"A","3C",19,19,0,151,15.7,NA,21,288,282,15,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",28.5,14.1471060526129,637.939658219577
"54",40,1022,"A","3C",20,20,0,154,10.3,NA,21,125,127,12,2,2,42,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",12.6,31.8309886183791,124.689812420979
"55",40,1022,"A","3C",21,21,14,154,9.9,NA,21,197,194,13.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_14","IFN3_40_1022_14","40_1022_A_3C",19.55,31.8309886183791,300.181141545913
"56",40,1022,"A","3C",22,22,15,162,9.8,NA,21,181,175,13,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_15","IFN3_40_1022_15","40_1022_A_3C",17.8,31.8309886183791,248.845554090848
"57",40,1022,"A","3C",23,23,0,175,11,NA,21,250,248,14.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",24.9,14.1471060526129,486.954715288052
"58",40,1022,"A","3C",24,24,16,181,5.9,NA,21,402,402,16,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_16","IFN3_40_1022_16","40_1022_A_3C",40.2,14.1471060526129,1269.23484797681
"59",40,1022,"A","3C",25,25,0,190,12.3,NA,21,263,242,13,2,2,42,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",25.25,14.1471060526129,500.740416551086
"60",40,1022,"A","3C",26,26,0,191,12.9,NA,21,259,240,14,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",24.95,14.1471060526129,488.91232021032
"61",40,1022,"A","3C",27,27,17,198,14.8,NA,21,343,340,14.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_17","IFN3_40_1022_17","40_1022_A_3C",34.15,14.1471060526129,915.949009612781
"62",40,1022,"A","3C",28,28,18,220,10.5,NA,21,387,362,15,2,2,41,NA,NA,NA,"","IFN3","40_1022","40_1022_18","IFN3_40_1022_18","40_1022_A_3C",37.45,14.1471060526129,1101.52288766033
"63",40,1022,"A","3C",29,29,19,226,13.3,NA,21,297,302,15,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_19","IFN3_40_1022_19","40_1022_A_3C",29.95,14.1471060526129,704.50411606292
"64",40,1022,"A","3C",30,30,20,233,1.6,NA,21,100,101,9,3,3,42,NA,NA,NA,"","IFN3","40_1022","40_1022_20","IFN3_40_1022_20","40_1022_A_3C",10.05,127.323954473516,79.3271779985508
"65",40,1022,"A","3C",31,31,21,246,11.7,NA,21,406,404,15.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_21","IFN3_40_1022_21","40_1022_A_3C",40.5,14.1471060526129,1288.24933751266
"66",40,1022,"A","3C",32,32,22,247,8.6,NA,21,265,259,13.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_22","IFN3_40_1022_22","40_1022_A_3C",26.2,14.1471060526129,539.128715282544
"67",40,1022,"A","3C",33,33,23,250,5.3,NA,21,226,257,13,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_23","IFN3_40_1022_23","40_1022_A_3C",24.15,14.1471060526129,458.061880352068
"68",40,1022,"A","3C",34,34,24,251,3.6,NA,21,292,291,14,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_24","IFN3_40_1022_24","40_1022_A_3C",29.15,14.1471060526129,667.370490897488
"69",40,1022,"A","3C",35,35,25,257,1.8,NA,21,212,216,13.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_25","IFN3_40_1022_25","40_1022_A_3C",21.4,31.8309886183791,359.680942909495
"70",40,1022,"A","3C",36,36,26,270,13.6,NA,21,270,269,14.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_26","IFN3_40_1022_26","40_1022_A_3C",26.95,14.1471060526129,570.436649570975
