"","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"88","9_1490","Nodo 3 - Pies inventariados","IFN2",10,30,1365.2,0,0,29.47,NA,0,16.58,25.49,518.32,10.24,2.91,2.97,0.95,52.23,40.15,665.32,26.44,28.41,6.94,120.19,108.01,12.18,0,0,0,0,0,2.3,24.11,6.7,71.23,108.25,51.32,0,13.16,28.83,48.78,142.1,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,930.17,0,0,20.2,NA,NA,16.63,25.44,523.46,11.63,2.93,3.04,0.67,56.17,45.71,455.72,28.2,30.3,11.64,93.99,84.7,9.29,NA,NA,0,0,0,2.75,22.92,6.66,45.73,86.21,40.24,0,12.5,45.9,33.44,132.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02008784,127.32,0.1820676,37.0959552
"89","9_1491","Nodo 3 - Pies inventariados","IFN2",10,33,95.49,0,0,3.17,NA,0,20.56,20.47,331.97,7.94,4.2,4.22,0.13,38.77,38.77,67.82,128.96,138.58,5.17,11.23,10.38,0.86,0,0,0,0,0,0,4.37,0,4.45,10.11,4.93,0,1.76,3.6,5.25,15.54,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,34,77.81,0,0,2.91,NA,NA,21.84,21.79,374.57,10.84,4.31,4.32,0.11,49.74,49.74,61.42,104.61,112.41,10.84,14.07,12.92,1.15,NA,NA,0,0,0,0,5.99,0,4.62,13.1,6.14,0,1.3,2.38,4.82,14.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","9_1507","Nodo 3 - Pies inventariados","IFN2",10,47,1292.48,0,0,54.58,NA,0,23.19,31.54,881.77,17.65,3.2,3.27,1.08,73.2,55.97,1132.95,15.76,16.93,13.88,394.86,359.9,34.96,0,0,0,0,0,4.64,230.49,185.61,106.67,374.01,171,0,16.23,25.56,86.08,298.86,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,48,309.26,0,0,18.38,NA,NA,27.51,31.99,935.93,16.29,4.14,4.17,0.42,57.57,50.92,365.52,34.9,37.51,16.29,104.9,97.37,7.53,NA,NA,0,0,0,4.58,68.48,54.55,18.97,99.2,46.27,0,5.58,8.69,25.32,85.85,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"91","9_1508","Nodo 3 - Pies inventariados","IFN2",10,38,1064.57,0,0,39.63,NA,0,21.77,25.99,530.95,9.85,3.65,3.68,1.13,48.16,37.88,835.73,31.13,33.45,6.84,187.12,172.37,14.75,0,0,0,0,0,0,99.17,20.9,59.8,172.57,81.9,0,18.18,33.79,65.6,199.46,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,39,710.89,0,0,24.26,NA,NA,20.84,26.19,539.75,11.45,3.75,3.79,0.8,45.58,43.71,517.12,32.77,35.21,11.64,110.01,101.14,8.87,NA,NA,0,0,0,0,54.29,21.84,36.78,101.06,48.06,0,17.44,51.78,40.15,157.42,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.76032632,95.49,0.4854075,43.6446594
"92","9_1509","Nodo 3 - Pies inventariados","IFN2",10,36,873.58,0,0,31.12,NA,0,21.3,26.03,535.83,11.76,3.59,3.62,0.9,52.76,45.19,659.86,28.76,30.91,8.47,158.13,144.78,13.35,0,0,0,0,0,2.27,73.91,21.76,56.86,146.62,68.79,0,13.06,23.99,51.51,157.35,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,37,785.16,0,0,26.17,NA,NA,20.6,25.96,539.38,14.26,3.4,3.43,0.73,62.85,54.95,559.56,25.02,26.88,14.15,156.28,141.69,14.6,NA,NA,0,0,0,4.86,73.7,28.93,61.81,146,67.32,0,9.44,16.99,43.32,137.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","9_1524","Nodo 3 - Pies inventariados","IFN2",10,40,459.78,0,0,23.25,NA,0,25.37,29.45,682.5,13.42,4.25,4.28,0.66,51.08,45.56,471.85,34.76,37.35,10.06,132.93,124.19,8.74,0,0,0,0,0,2.46,88.03,74.49,24.24,124.73,59.01,0,9.74,15.65,38.48,122.88,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,41,159.15,0,0,9.35,NA,NA,27.35,29.39,687.86,15.07,4.69,4.74,0.28,55.05,51.27,186.25,52.6,56.52,15.12,61.61,57.95,3.67,NA,NA,0,0,0,9.84,38.48,35.31,8.68,58.2,27.53,0,3.66,5.4,15.48,52.07,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"94","9_1525","Nodo 3 - Pies inventariados","IFN2",10,44,1145.92,0,0,46.42,NA,0,22.71,30.02,711.98,16.59,3.3,3.37,1.02,70.74,55.26,968.66,17.81,19.13,12.81,337.21,308.1,29.12,0,0,0,0,0,7.59,194.37,148.82,93.44,318.16,146.39,0,15.1,24.02,76.84,262.34,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,45,314.77,0,0,14.18,NA,NA,23.95,29.77,701.17,17.77,3.87,3.94,0.38,66.95,59.69,292.02,31.72,34.09,17.79,103.99,95.94,8.05,NA,NA,0,0,0,7.65,58.11,43.1,24.72,98.22,45.59,0,4.81,7.45,23.47,81.32,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"95","9_1543","Nodo 3 - Pies inventariados","IFN2",10,40,2878.94,0,0,44.56,NA,0,14.04,20.33,333.2,10.32,2.4,2.42,1.33,63.73,50.75,1048.7,18.06,19.41,7.13,190.91,165.85,25.06,0,0,0,0,0,0,6.49,3.01,145.29,169.73,78.8,0,16.82,40.76,73.76,210.14,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,41,2496.96,0,0,28.12,NA,NA,11.98,20.08,328.14,11.75,2.11,2.15,0.9,74.32,58.54,688.69,17.03,18.29,11.82,124.05,105.8,18.25,NA,NA,0,0,0,0,6.73,3.31,89.99,108.09,50.27,0,9.66,25.21,46.55,131.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","9_1549","Nodo 3 - Pies inventariados","IFN2",10,39,74.27,0,0,4.39,NA,0,27.42,27.2,590.4,10.2,5.31,5.34,0.17,37.51,37.51,87.29,113.73,122.21,7.26,19.7,18.84,0.86,0,0,0,0,0,2.29,11.26,6.83,2.58,18.3,8.95,0,2.38,3.89,7.26,22.48,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,40,56.59,0,0,3.98,NA,NA,29.92,29.76,702.96,11.23,5.75,5.77,0.15,37.73,37.73,77.48,118.4,127.23,11.23,19.43,18.73,0.7,NA,NA,0,0,0,2.47,12.23,10.36,1.71,18.23,8.9,0,2.12,3.24,6.58,20.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","9_1568","Nodo 3 - Pies inventariados","IFN2",10,30,381.97,0,0,6.26,NA,0,14.44,16.09,203.31,8.89,2.86,2.87,0.25,56.1,55.24,146.22,57.57,61.87,6,24.03,21.02,3.01,0,0,0,0,0,0,0,0,19.13,21.27,9.99,0,2.62,6.46,10.36,29.43,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,190.99,0,0,2.29,NA,NA,12.35,13.39,143.64,9.21,2.51,2.53,0.1,71.41,68.78,55.6,78.57,84.43,8.72,9.94,8.48,1.46,NA,NA,0,0,0,0,0,0,7.27,8.88,4.03,0,0.79,2.06,3.79,10.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","9_1577","Nodo 3 - Pies inventariados","IFN2",10,49,926.64,0,0,61.02,NA,0,28.96,35.91,1017.94,18.55,3.99,4.04,1.19,61.58,51.66,1198.26,17.71,19.03,14.31,476.79,448.46,28.33,0,0,0,0,0,103.85,302.45,234.15,50.98,453.63,213.08,0.06,21.28,29.27,101,364.7,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,50,767.48,0,0,51.66,NA,NA,29.28,36.3,1040.04,17.17,4.22,4.27,1.1,56.07,47.3,1011.7,21.02,22.59,17.26,370.64,350.73,19.9,NA,NA,0,0,0,79.5,225.37,185.72,37.8,352.14,166.64,0.08,19.63,27.4,85.51,299.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","9_1580","Nodo 3 - Pies inventariados","IFN2",10,28,1464.23,0,0,28.21,NA,0,15.66,21.15,351.6,8.81,2.79,2.83,0.92,55.94,41.64,645.9,29.67,31.88,5.87,114.68,101.39,13.29,0,0,0,0,0,0,8.43,0,80.29,102.31,48.18,0,11.96,27.4,46.69,134.23,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,29,760.41,0,0,15.2,NA,NA,15.95,22.44,395.94,9.77,2.82,2.93,0.51,64.72,43.55,346.36,37.11,39.88,9.74,70.97,62.92,8.06,NA,NA,0,0,0,0,13.29,0,42.94,64.31,29.89,0,6.02,12.74,25.15,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","9_1587","Nodo 3 - Pies inventariados","IFN2",10,25,318.31,0,0,5.4,NA,0,14.69,16.16,205.48,7.44,3,3.02,0.2,49.63,46.05,125.54,75.34,80.96,4.92,17.17,15.14,2.03,0,0,0,0,0,0,0,0,11.95,14.77,7.19,0,2.33,5.78,8.25,23.55,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,26,127.32,0,0,2.97,NA,NA,17.23,17.86,251.22,9.42,3.46,3.48,0.09,54.12,52.76,66.36,94.04,101.05,9.28,9.04,8.08,0.96,NA,NA,0,0,0,0,0,0,6.07,8.18,3.84,0,0.96,2.1,3.64,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","9_1589","Nodo 3 - Pies inventariados","IFN2",10,40,417.34,0,0,17.96,NA,0,23.41,29.17,670.17,12.17,4.08,4.19,0.58,45.57,41.71,372,40.23,43.23,8.76,85.97,80.65,5.32,0,0,0,0,0,2.42,48.88,29.22,19.11,79.7,38.32,0,8.65,14.92,29.73,91.62,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,41,233.43,0,0,13.08,NA,NA,26.71,30.83,750.04,12.38,4.69,4.79,0.42,44.29,40.15,262.04,52.88,56.82,12.48,67.22,63.86,3.37,NA,NA,0,0,0,7.22,39.69,35.31,10.42,62.8,30.34,0,6.36,10.02,21.65,68.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
