"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","g_intrasp.x","g_intersp.x","bal_IFN2","bal_intrasp.x","bal_intersp.x","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","n_descorches.x","w_descorchado.x","v_descorchado.x","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","g_intrasp.y","g_intersp.y","bal_IFN3","bal_intrasp.y","bal_intersp.y","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","n_descorches.y","w_descorchado.y","v_descorchado.y","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"307","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_18","IFN3","19_241",18,18,0,31.83,12.95,8,131.71,0,0,16.77,0,0,0.42,40.68,61.78,0.44,1.99,4.46,5.36,51.13,32.58,18.54,1.63,0,0,0,45.51,22.63,1.19,4.91,5.84,34.56,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"308","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_19","IFN3","19_241",19,19,0,31.83,14.2,7.5,158.37,0,0,14.43,0,0,0.5,44.61,52.82,0.45,2.2,4.11,4.96,57.34,36.73,20.61,1.83,0,0,0,49.11,26.42,1.59,6.08,7.56,41.64,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"309","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_3","IFN3","19_241",3,3,0,127.32,10.65,6,89.08,0,0,17.19,0,0,1.13,33.46,56.34,0.46,1.67,3.26,3.92,26.48,16.53,9.95,3.37,0,0,0,22.28,12.53,0.64,3.12,3.37,19.66,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"310","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_9","IFN3","19_241",9,9,0,31.83,16.9,10,224.32,0,0,8.84,0,0,0.71,53.09,59.17,0.45,2.58,5.52,6.72,106.25,69.37,36.88,3.38,0,0,0,97.15,45.61,2.74,9.11,12.31,69.76,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"311","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_8","IFN3","19_241",8,8,0,31.83,15.15,9.5,180.27,0,0,12.78,0,0,0.57,47.6,62.71,0.44,2.31,5.31,6.42,81.84,52.96,28.89,2.61,0,0,0,73.58,35.06,1.94,7.07,9.06,53.14,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"312","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_12","IFN3","19_241",12,12,0,31.83,13.4,7,141.03,0,0,16.32,0,0,0.45,42.1,52.24,0.45,2.08,3.84,4.62,47.94,30.53,17.41,1.53,0,0,0,41.74,22.39,1.32,5.31,6.42,35.45,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"313","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_20","IFN3","19_241",20,20,0,31.83,13.8,8.5,149.57,0,0,14.94,0,0,0.48,43.35,61.59,0.44,2.12,4.73,5.7,61.32,39.31,22.01,1.95,0,0,0,53.9,26.87,1.45,5.69,6.98,40.99,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"314","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_24","IFN3","19_241",24,24,0,31.83,18.5,9,268.8,0,0,6.38,0,0,0.86,58.12,48.65,0.46,2.85,4.85,5.92,114.14,74.81,39.32,3.63,0,0,57.05,103.92,51.74,3.64,11.23,15.87,82.48,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"315","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_5","IFN3","19_241",5,5,0,31.83,15.95,10,199.81,0,0,11.54,0,0,0.64,50.11,62.7,0.44,2.43,5.59,6.78,95.03,61.79,33.24,3.02,0,0,0,86.89,40.35,2.28,7.96,10.47,61.07,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"316","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_1","IFN3","19_241",1,1,0,31.83,13.4,9,141.03,0,0,15.87,0,0,0.45,42.1,67.16,0.44,2.05,5.06,6.1,61.27,39.25,22.02,1.95,0,0,0,53.13,26.16,1.32,5.31,6.42,39.22,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"317","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_11","IFN3","19_241",11,11,0,31.83,14.65,8,168.56,0,0,13.9,0,0,0.54,46.02,54.61,0.45,2.26,4.4,5.31,64.86,41.7,23.16,2.06,0,0,0,57.73,29.37,1.75,6.54,8.25,45.9,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"318","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_15","IFN3","19_241",15,15,0,31.83,17.5,10,240.53,0,0,8.08,0,0,0.77,54.98,57.14,0.45,2.68,5.5,6.71,113.64,74.38,39.26,3.62,0,0,0,103.92,49.1,3.06,9.87,13.58,75.61,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"319","19_241_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_241_23","IFN3","19_241",23,23,0,31.83,16.2,8.5,206.12,0,0,10.24,0,0,0.66,50.89,52.47,0.46,2.5,4.63,5.62,83.55,54.18,29.37,2.66,0,0,0,73.44,37.72,2.4,8.25,10.94,59.31,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"320","19_241_1","IFN2","19_241",31.83,21.57,10.62,365.29,0,0,2.41,0,0,67.75,49.27,0.47,3.32,5.59,6.97,180.42,120.02,60.4,0,0,79.89,168.5,79.3,5.89,16.03,24.39,125.61,0,0,0,"Nodo 3 - Pies inventariados",6.32,3.12,15.25,"19_241_2","IFN3","19_241",2,2,1,31.83,19.9,10.5,311.03,0,0,3.54,0,0,0.99,62.52,52.76,0.46,3.04,5.7,6.99,152.72,100.99,51.73,4.86,0,0,68.28,142.62,66.41,4.58,13.3,19.47,103.76,0,0,0,"Nodo 1 - Pies inventariados",4.65,3
