"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"778","19_601_4","IFN2","19_601",148.81,13.44,4.26,141.82,18.83,42.22,31.69,0.45,2.11,2.35,2.78,29.66,18.67,10.99,0,0,0,24.66,16.57,1.33,5.35,6.47,29.73,"Nodo 3 - Pies inventariados",5.49,1.26,7.95,"19_601_8","IFN3","19_601",8,8,4,127.32,12.25,4.5,117.86,22.15,38.48,36.73,0.43,1.91,2.58,3.02,26.19,16.4,9.79,0,0,0,21.53,14.1,1,4.32,4.99,24.41,"Nodo 1 - Pies mayores",4.3,1.5
"779","19_601_5","IFN2","19_601",39.87,18.84,8.49,278.82,8.55,59.19,45.05,0.44,2.89,4.75,5.69,111.67,73.19,38.48,0,0,58.25,102,51.87,3.86,11.72,16.7,84.15,"Nodo 3 - Pies inventariados",5.79,1.99,13.05,"19_601_12","IFN3","19_601",12,12,5,14.15,23.15,10,420.91,8.94,72.73,43.2,0.42,3.49,5.83,6.93,194.96,130.16,64.8,0,0,90.13,178.27,88.73,7.36,18.9,29.76,144.74,"Nodo 1 - Pies mayores",10.1,3.5
"780","19_601_6","IFN2","19_601",52.3,25.2,10.41,498.69,0,79.16,41.31,0.45,3.84,5.75,6.98,238.79,160.54,78.26,0,0,172.76,223.5,108.83,9.61,23,37.74,179.18,"Nodo 3 - Pies inventariados",6.05,1.91,19.15,"19_601_17","IFN3","19_601",17,17,6,14.15,27.1,10.5,576.8,1.8,85.14,38.75,0.43,4.1,5.97,7.17,277.09,187.29,89.81,0,0,191.45,258.76,127.61,12.07,27.23,46.28,213.2,"Nodo 1 - Pies mayores",7.95,2
"781","19_601_7","IFN2","19_601",52.3,23.78,7.43,444.19,2.61,74.71,31.24,0.46,3.7,3.98,4.82,153.64,102.05,51.59,0,0,87.85,138.85,78.17,8.01,20.11,32.09,138.38,"Nodo 3 - Pies inventariados",6.03,1.43,17.75,"19_601_18","IFN3","19_601",18,18,7,14.15,23.45,7.5,431.89,8.33,73.67,31.98,0.44,3.61,4.22,5.02,150.92,100.17,50.75,0,0,85.78,136.46,76.33,7.67,19.47,30.85,134.31,"Nodo 1 - Pies mayores",5.7,1.5
"782","19_601_8","IFN2","19_601",39.91,21.22,6.97,353.72,7.14,66.67,32.83,0.46,3.3,3.79,4.55,115.82,76.2,39.63,0,0,69.05,105.26,59.04,5.6,15.44,23.32,103.4,"Nodo 3 - Pies inventariados",5.92,1.47,15.3,"19_601_26","IFN3","19_601",26,26,8,14.15,23.6,7.5,437.44,7.71,74.14,31.78,0.44,3.64,4.21,5.01,152.79,101.45,51.34,0,0,86.85,138.15,77.36,7.82,19.76,31.41,136.35,"Nodo 1 - Pies mayores",8.3,2
"783","19_601_9","IFN2","19_601",159.09,15.9,6.13,198.51,13.2,49.95,38.56,0.45,2.48,3.39,4.04,58.56,37.63,20.93,0,0,0,49.08,29.62,2.26,7.9,10.37,50.15,"Nodo 3 - Pies inventariados",5.65,1.63,10.25,"19_601_27","IFN3","19_601",27,27,9,31.83,19.05,6.5,285.02,11.78,59.85,34.12,0.44,2.95,3.66,4.34,87.9,57.29,30.61,0,0,0,77.76,45.02,3.99,12.02,17.23,78.26,"Nodo 1 - Pies mayores",8.8,2
"784","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_1","IFN3","19_602",1,1,0,31.83,13.85,6,150.66,14.12,43.51,43.32,0.46,2.17,3.22,3.88,43.95,27.95,16,0,0,0,36.99,21.83,1.47,5.74,7.05,36.08,"Nodo 1 - Pies mayores",.,.
"785","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_11","IFN3","19_602",11,11,0,127.32,11.05,4.5,95.9,16.39,34.71,40.72,0.47,1.75,2.39,2.87,21.47,13.34,8.12,0,0,0,17.65,11.34,0.72,3.4,3.74,19.2,"Nodo 1 - Pies mayores",.,.
"786","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_12","IFN3","19_602",12,12,0,14.15,22.8,8.5,408.28,0.58,71.63,37.28,0.48,3.55,4.43,5.45,161.54,107.32,54.22,0,0,84.26,147.71,77.71,7.02,18.24,28.51,131.48,"Nodo 1 - Pies mayores",.,.
"787","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_14","IFN3","19_602",14,14,0,31.83,17.6,6.5,243.28,9.43,55.29,36.93,0.47,2.76,3.43,4.17,75.45,48.9,26.55,0,0,0,66.75,38.08,3.11,10,13.8,64.99,"Nodo 1 - Pies mayores",.,.
"788","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_2","IFN3","19_602",2,2,0,31.83,13.25,6.5,137.89,14.6,41.63,49.06,0.46,2.07,3.52,4.24,43.63,27.72,15.92,0,0,0,35.68,20.89,1.28,5.18,6.22,33.57,"Nodo 1 - Pies mayores",.,.
