"","PLOT_ID","Hoja árboles","INVENTORY_ID_IFN2","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_domi.nte_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez (hq/dq).x","Esbeltez (h100/d100).x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","INVENTORY_ID_IFN3","Nombre_modelo","T_IFN3","N_IFN3","G_IFN3","dg_IFN3","Do_IFN3","Seccion_domi.nte_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez (hq/dq).y","Esbeltez (h100/d100).y","SDI_IFN3","Hart_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","G_incorporada_IFN3","N_incorporado_IFN3","V_incorporado_IFN3","WT_incorporada_IFN3","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3","N_muerto_IFN3","V_muerto_IFN3","WT_muerta_IFN3"
"28","19_596","Nodo 111 - Pies inventariados","IFN2",30,1636.93,13.01,217.54,48.04,0.26,6.39,19.33,25.53,512.05,8.11,2.8,2.87,1.06,36.82,31.77,1076.71,30.48,32.75,20.14,165.55,108.82,56.73,0.45,22.07,0,0,62.14,148.23,82.21,7.34,20.67,30.75,140.97,0.38,13.64,"IFN3","Ppi.ster_me__sim__v01",30,1488.98,30.23,16.08,23.32,429.16,7.62,2.36,2.47,0.71,40.52,32.65,725.45,34.03,16.7,98.21,63.86,34.35,0,0,23.1,85.86,48.76,4,12.45,17.44,82.66,4.00755308,265.26,11.8972218,10.5681915,.,.,.,.,3.06876213,190.98,10.1053884,7.9839189
"29","19_601","Nodo 115 - Pies inventariados","IFN2",30,1001.87,4.44,210.54,23.03,0.06,4.99,17.11,24.52,472.69,8.99,2.6,2.66,0.56,35.28,36.65,540.04,35.15,37.77,19.26,71.72,46.79,24.93,0.08,16.62,0,0,23.2,62.97,36.21,3.12,9.56,13.51,62.4,0.07,9.24,"IFN3","Ppi.ster_me__sim__v01",30,1202.5,26.13,16.63,27.08,576.73,8.99,2.53,2.67,0.6,39.11,33.2,619.22,32.08,18.12,90.17,59.24,30.93,0,0,28.42,80.16,44.1,3.82,10.87,16.01,74.8,18.00282582,877.12,62.8653376,51.563688,.,.,.,.,.,.,.,.
"30","19_602","Nodo 119 - Pies inventariados","IFN2",30,491.82,1.33,143.01,11.2,0.02,2.94,17.03,20.52,330.7,8.44,2.66,2.69,0.28,47.05,41.14,263.14,53.43,57.42,17.21,42.96,27.98,14.98,0.04,10.71,0,0,11.56,38.55,20.01,1.43,4.59,6.33,32.37,0.03,4.78,"IFN3","Ppi.ster_me__sim__v01",30,951.39,18.53,15.75,22.05,382.1,8.25,2.37,2.46,0.45,44.08,37.43,448.07,39.29,17.39,64.01,41.6,22.42,0,0,17.48,56.28,30.89,2.36,7.55,10.39,51.18,14.01722159,792.22,47.2642394,37.7983058,.,.,.,.,.,.,.,.
"31","19_603","Nodo 123 - Pies inventariados","IFN2",35,356.35,0.91,134.43,14.15,0.03,5.07,22.48,26.53,552.81,8.17,3.49,3.53,0.35,35.19,30.8,299.82,64.84,69.67,16.98,52.73,35.03,17.7,0.06,18.09,0,0,26.52,48.2,25.94,2.48,6.34,10,44.77,0.05,10.67,"IFN3","Ppi.ster_me__sim__v01",35,555.27,18.2,20.43,27.37,595.21,9.71,3.07,3.15,0.43,43.33,35.48,399.64,43.69,17.54,76.67,50.89,25.77,0,4.56,31.59,70.14,35.72,3.03,8,12.34,59.09,11.6112372,403.2,47.6434408,36.4973952,.,.,.,.,.,.,.,.
"32","19_604","Nodo 127 - Pies inventariados","IFN2",25,1194.27,6.64,214.14,34.61,0.12,6.57,19.21,25.81,523.36,8.94,2.84,2.9,0.79,39.64,34.63,777.44,32.37,34.78,22.92,126.72,83.36,43.35,0.25,24.44,0,0,40.31,114.62,61.29,5.22,14.84,21.95,103.3,0.19,13.52,"IFN3","Ppi.ster_me__sim__v01",25,940.78,26.52,18.94,26.48,552.04,9.65,2.78,2.88,0.61,41.62,36.42,598.73,33.8,20.99,105.8,69.96,35.83,0,0,46.76,95.76,49.82,4.15,11.45,17.2,82.62,11.32956806,459.8,42.6474822,34.3814633,.,.,.,.,.,.,.,.
"33","19_606","Nodo 131 - Pies inventariados","IFN2",30,951.31,3.98,191.33,22.29,0.05,4.96,17.27,23.98,452.14,8.68,2.62,2.67,0.53,41.33,36.18,520.87,37.37,40.16,18.89,77.85,50.79,27.06,0.1,17.89,0,0,19.27,68.78,37.81,3.02,9.26,13.08,63.16,0.07,9.61,"IFN3","Ppi.ster_me__sim__v01",30,756.87,19.47,18.1,23.06,419.6,9.77,2.75,2.78,0.46,48.83,42.36,447.17,37.2,19.26,81.7,53.59,28.11,0,0,21.31,74.26,37.23,2.69,8.15,11.62,59.69,9.27521276,410.26,38.1121114,27.5711797,.,.,.,.,.,.,.,.
"34","19_609","Nodo 135 - Pies inventariados","IFN2",30,1609.59,13.42,208.3,45.04,0.24,6.49,18.88,27.65,600.55,9.82,2.72,2.79,0.99,41.09,35.51,1018.44,25.39,27.28,21.97,172.74,113.9,58.84,0.44,26.23,0,0,67.63,155.62,82.32,6.87,19.32,28.7,137.21,0.35,14.79,"IFN3","Ppi.ster_me__sim__v01",30,1542.03,29.99,15.74,26.41,550.12,10.06,2.26,2.39,0.69,47.42,38.08,725.5,25.32,19.34,113.71,74.36,39.34,0,0,33.49,101.13,53.4,4.06,12.38,17.47,87.31,4.93178805,346.6,17.3461514,13.1821315,.,.,.,.,.,.,.,.
"35","19_611","Nodo 139 - Pies inventariados","IFN2",30,258.79,0.45,100.09,9.8,0.01,3.43,21.96,23.11,419.57,9.39,3.46,3.47,0.24,38.76,40.64,209.51,66.18,71.12,18.89,39.19,25.99,13.2,0.03,13.47,0,0,20.24,35.78,18.65,1.62,4.33,6.66,31.26,0.03,6.84,"IFN3","Ppi.ster_me__sim__v01",30,399.66,17.58,23.67,28.95,666.18,11.35,3.52,3.61,0.41,43.5,39.2,365.54,44.08,20.94,84.75,57,27.75,0,7.56,44.84,78.51,38.45,3.42,8.09,13.31,63.26,14.12312952,328.95,69.0320897,51.1109189,.,.,.,.,.,.,.,.
"36","19_613","Nodo 143 - Pies inventariados","IFN2",30,149.25,0.29,57.59,8.41,0.01,2.66,26.79,27.77,611.9,10.48,4.16,4.18,0.2,39.86,37.75,167.01,78.09,83.91,19.79,41.42,28.03,13.39,0.05,12.2,0,4.78,24.8,38.63,18.89,1.77,3.97,6.77,31.41,0.04,6.17,"IFN3","Ppi.ster_me__sim__v01",30,190.99,8.69,24.07,28.43,646.78,12.15,4.19,4.24,0.18,41.24,42.72,179.52,59.57,21.99,42.66,29.06,13.6,0,10.19,24.01,39.99,18.64,1.68,3.62,6.32,30.26,3.85354025,70.75,20.195729,14.6088845,.,.,.,.,.,.,.,.
"37","19_616","Nodo 147 - Pies inventariados","IFN2",35,810.64,3.77,103.53,35.85,0.12,4.18,23.73,27.99,615.49,10.2,3.49,3.52,0.79,40.25,36.44,744.59,34.44,37.01,20.04,159.37,106.68,52.7,0.38,18.13,0,0,96.86,146.94,74.11,6.64,16.32,26.33,123.4,0.29,10.27,"IFN3","Ppi.ster_me__sim__v01",35,679.06,31.44,24.28,30.55,733.71,11.92,3.51,3.58,0.68,46.05,39.03,647.43,32.18,20.06,162.48,109.52,52.96,0,13.84,93.9,151.26,72.04,6.18,14.53,24.04,116.79,10.56231249,215.78,53.9648472,39.5121434,.,.,.,.,.,.,.,.
