"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","n_descorches","w_descorchado","v_descorchado","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"966","19_616_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_616_8","IFN3","19_616",8,8,0,14.15,30.3,12.5,721.07,4.31,95.19,41.25,0.39,4.47,7.58,8.99,407.44,278.72,128.72,0,158.83,223.97,383.81,179.96,17.14,35.28,63.29,295.68,"Nodo 1 - Pies mayores",.,.
"967","19_616_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_616_23","IFN3","19_616",23,23,0,14.15,23.35,10.5,428.22,22.59,73.36,44.97,0.36,3.44,6.67,7.73,207.9,139.04,68.85,0,0,153.25,194.14,93.13,7.56,19.28,30.48,150.45,"Nodo 1 - Pies mayores",.,.
"968","19_616_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_616_34","IFN3","19_616",34,34,0,14.15,28,12,615.75,9.98,87.96,42.86,0.38,4.13,7.4,8.7,336.21,228.49,107.72,0,0,210.65,314.33,148.5,13.38,29.38,50.72,241.98,"Nodo 1 - Pies mayores",.,.
"969","19_616_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_616_29","IFN3","19_616",29,29,0,14.15,26.1,11,535.02,16.49,82,42.15,0.38,3.85,6.87,8.02,269.68,181.99,87.69,0,0,185.35,248.91,121.29,10.73,24.96,41.65,198.63,"Nodo 1 - Pies mayores",.,.
"970","19_616_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_616_25","IFN3","19_616",25,25,0,14.15,25.05,10.5,492.84,17.95,78.7,41.92,0.38,3.71,6.56,7.64,238.08,160.02,78.06,0,0,173.45,222.33,108.05,9.43,22.69,37.12,177.29,"Nodo 1 - Pies mayores",.,.
"971","19_616_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_616_16","IFN3","19_616",16,16,0,14.15,24.85,10.5,485,19.34,78.07,42.25,0.37,3.67,6.59,7.67,234.43,157.48,76.95,0,0,170.79,218.92,106.23,9.2,22.27,36.3,174,"Nodo 1 - Pies mayores",.,.
"972","19_616_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_616_31","IFN3","19_616",31,31,0,31.83,12.8,7.5,128.68,31.03,40.21,58.59,0.37,1.92,4.75,5.46,46.94,29.84,17.09,0,0,0,40.2,21.21,1.14,4.78,5.65,32.78,"Nodo 1 - Pies mayores",.,.
"973","19_616_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_616_36","IFN3","19_616",36,36,0,14.15,23.5,10,433.74,21.98,73.83,42.55,0.37,3.48,6.31,7.31,200.69,134.13,66.56,0,0,92.78,183.51,91.59,7.72,19.56,31.04,149.91,"Nodo 1 - Pies mayores",.,.
"974","19_616_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_616_4","IFN3","19_616",4,4,0,14.15,28.35,11,631.24,9.08,89.06,38.8,0.39,4.22,6.68,7.87,316.32,214.72,101.6,0,0,207.68,295.85,144.47,13.91,30.24,52.52,241.14,"Nodo 1 - Pies mayores",.,.
"975","19_616_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_616_9","IFN3","19_616",9,9,0,14.15,31.55,12,781.79,1.12,99.12,38.03,0.4,4.69,7.14,8.5,423.28,290.11,133.17,0,170.77,215.99,399.97,191.14,19.47,38.75,70.89,320.25,"Nodo 1 - Pies mayores",.,.
