"","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"77",78,"9_1447","Nodo 3 - Pies inventariados","IFN2",10,35,1013.99,23.01,113.9,40.73,0.01,5.07,22.61,39.97,1275.26,19.13,3.24,3.44,0.94,67.01,47.86,850.76,16.42,17.64,15.06,283.26,264.68,18.58,0.07,33.78,0,0,0,79.59,110.52,72.05,72.36,266.67,125.76,0.86,15.02,22.99,67.41,232.05,0.06,22.18,"Nodo 1 - Pies inventariados","IFN3",2003,36,851.94,0,0,24.78,NA,NA,19.25,35.82,1032.41,20.4,2.91,3.14,0.66,71.98,56.96,539.02,16.79,18.04,18.78,185.5,171.34,14.16,NA,NA,0,0,2.07,52.31,76.11,50.63,49.38,174.72,81.41,0.36,14.86,43.21,41.02,180.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61542791,205.13,1.0707052,45.8273876
"78",79,"9_1448","Nodo 3 - Pies inventariados","IFN2",10,35,1118.55,9.28,158.75,37.84,0,5.82,20.75,27.41,591.24,11.9,3.45,3.52,1.09,49.7,43.43,807.55,25.12,26.99,8.5,178.53,164.28,14.25,0.02,26.33,0,0,0,0,83.09,42.63,63.19,164.57,78.05,0,16.92,31.6,62.63,189.2,0.02,23.08,"Nodo 1 - Pies inventariados","IFN3",2003,36,1018.59,0,0,25.81,NA,NA,17.96,26.43,550.37,14.13,3.26,3.34,0.64,63.75,53.45,571.06,22.18,23.83,13.93,133.07,120.67,12.41,NA,NA,0,0,0,0,61.43,29.42,49.8,123.97,57.33,0,8.26,14.98,37.58,118.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",80,"9_1458","Nodo 3 - Pies inventariados","IFN2",10,30,420.3,1.8,167.46,6.71,0.01,2.28,14.26,14.78,171.47,6.15,2.92,2.92,0.28,43.14,41.59,157.38,79.37,85.29,3.5,19.3,17.03,2.27,0.03,5.8,0,0,0,0,0,0,14.72,15.87,8.09,0,3.55,9.48,11.11,32.23,0.06,8.51,"Nodo 1 - Pies inventariados","IFN3",2003,31,63.66,0,0,1.03,NA,NA,14.36,14.36,162.04,7.41,3.11,3.11,0.05,51.61,51.61,24.14,169.16,181.77,7.41,3.6,3.15,0.45,NA,NA,0,0,0,0,0,0,3.06,3.05,1.5,0,0.46,1.18,1.71,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",81,"9_1459","Nodo 3 - Pies inventariados","IFN2",10,32,1156.34,10.66,197.93,31.87,0,6.46,18.73,26.08,534.88,11.86,3.15,3.25,0.96,52.89,45.46,697.76,24.8,26.65,8.29,148.19,135.06,13.13,0.01,29.23,0,0,0,0,61.88,31.09,59.66,135.6,64.17,0,13.78,27.14,52.75,157.83,0.02,25.04,"Nodo 1 - Pies inventariados","IFN3",2003,33,671.99,0,0,17.27,NA,NA,18.09,26.12,538.65,11.08,3.11,3.29,0.57,55.49,42.41,381.43,34.83,37.43,11.18,79.52,72.53,6.99,NA,NA,0,0,0,0,32.78,14.3,29.58,72.62,34.46,0,7.59,14.75,28.58,85.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",82,"9_1473","Nodo 3 - Pies inventariados","IFN2",10,42,1088.81,10.65,126.85,43.11,0,4.97,22.45,29.3,675.89,12.9,3.57,3.66,1.15,51.82,44.03,902.13,23.49,25.24,9.44,227.45,210.82,16.63,0.02,24.42,0,0,0,2.79,125.38,95.68,59.08,211.48,100.17,0,18.67,32.4,71.35,222.6,0.03,20.12,"Nodo 1 - Pies inventariados","IFN3",2003,43,795.77,0,0,25.95,NA,NA,20.38,29.59,690.37,12.29,3.37,3.54,0.78,50.13,41.53,556.4,28.84,30.99,12.52,128.64,119.22,9.42,NA,NA,0,0,0,4.83,64.91,42.72,34.69,119.24,56.65,0,11.78,21.88,42.95,133.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",83,"9_1474","Nodo 3 - Pies inventariados","IFN2",10,33,1594.71,18.55,145.5,55.74,0,5.43,21.1,28.81,652.57,14.63,3.18,3.25,1.32,62.05,50.76,1184.82,17.12,18.4,10.82,333.71,304.46,29.25,0.03,31,0,0,0,0,169.26,118.61,111.37,312.36,144.66,0,20.49,35.7,92.27,293.12,0.03,22.05,"Nodo 1 - Pies inventariados","IFN3",2003,34,1213.11,0,0,38.26,NA,NA,20.04,29.61,690.31,15.13,3.07,3.17,0.96,68.11,51.08,823.83,18.98,20.39,15.1,240.39,218.15,22.25,NA,NA,0,0,0,7,118.61,92.61,87.3,224.86,103.65,0,13.31,23.19,63.34,203.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",84,"9_1475","Nodo 3 - Pies inventariados","IFN2",10,30,1062.24,6.23,177.2,15.76,0.01,2.33,13.74,14.66,168.88,7.29,2.64,2.65,0.58,54.02,49.71,372.83,42.09,45.23,4.5,55.48,48.27,7.21,0.03,7.3,0,0,0,0,0,0,43.75,48.03,22.93,0,6.86,17.84,26.08,73.72,0.04,7.89,"Nodo 1 - Pies inventariados","IFN3",2003,31,509.3,0,0,6.3,NA,NA,12.55,13.6,145.27,8.14,2.51,2.51,0.25,60.87,59.84,152.45,54.46,58.52,7.93,23.21,19.89,3.32,NA,NA,0,0,0,0,0,0,18.2,20.16,9.45,0,2.49,6.76,10.43,29.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",85,"9_1476","Nodo 3 - Pies inventariados","IFN2",10,30,813.45,4.43,117.6,17.01,0.01,2.08,16.32,18.37,265.19,8.57,3.08,3.09,0.61,48.66,46.64,385.53,40.91,43.96,5.5,63.07,56.25,6.83,0.02,6.99,0,0,0,0,0,0,45.89,56.2,26.73,0,7.89,18.34,28.16,81.11,0.03,7.37,"Nodo 1 - Pies inventariados","IFN3",2003,31,413.8,0,0,9.94,NA,NA,17.48,18.83,278.56,9.89,3.31,3.32,0.36,54.09,52.53,221.33,49.71,53.42,10,43.66,39.04,4.63,NA,NA,0,0,0,0,2,0,27.93,39.7,18.55,0,4.16,8.9,16.45,48.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",86,"9_1477","Nodo 3 - Pies inventariados","IFN2",10,30,957.46,5.6,135.46,18.01,0,2.3,15.48,18.9,281,7.2,2.92,2.94,0.65,50.22,38.08,413.71,44.9,48.25,4.75,64.2,56.86,7.34,0.01,7.37,0,0,0,0,0,0,46.27,56.95,27.02,0,8.55,20.53,29.82,85.91,0.02,8.36,"Nodo 1 - Pies inventariados","IFN3",2003,31,509.3,0,0,9.85,NA,NA,15.69,19.3,293.09,12.26,2.91,2.95,0.31,61.8,63.54,225.5,36.14,38.84,11.93,43.47,38.3,5.18,NA,NA,0,0,0,0,6.17,0,28.29,39.65,18.2,0,3.19,6.92,14.52,42.82,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"86",87,"9_1488","Nodo 3 - Pies inventariados","IFN2",10,41,2777.95,54.37,176.19,81.84,0,6.1,19.37,27.68,604.36,15.08,2.73,2.8,1.71,73.9,54.49,1777.1,12.58,13.52,11.15,538.92,483.23,55.69,0.04,37.53,0,0,0,3.57,235.44,157.14,234.08,505.34,229.6,0,26.35,46.94,135.46,438.36,0.04,25.23,"Nodo 1 - Pies inventariados","IFN3",2003,42,2069.01,0,0,53.25,NA,NA,18.1,26.38,551.97,14.83,2.84,2.91,1.3,68.66,56.21,1175.92,14.83,15.93,14.7,320.45,287.42,33.03,NA,NA,0,0,0,2.49,139.43,69.32,142.45,298.53,136.57,0,21.15,52.91,86.82,297.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39265799,159.15,0.4790415,28.3840842
