"","X","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","TREE_ID_IFN3_2.x","TREE_ID_IFN3.x","TREE_ID_IFN2.x","TREE_ID_compare","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_desenrollo.x","v_chapa.x","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_poste.x","v_estaca.x","v_trituracion_IFN2","wsw_IFN2","wthickb_IFN2","wb2_7_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2.y","TREE_ID_IFN3.y","TREE_ID_IFN2.y","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_desenrollo.y","v_chapa.y","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_poste.y","v_estaca.y","v_trituracion_IFN3","wsw_IFN3","wthickb_IFN3","wb2_7_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"3693",3693,"9_76_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9_76_24","IFN3","9_76",24,24,13,31.83,12.73,8.23,127.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",3.33,2.73
"3694",3694,"9_76_14","IFN2","9_76",NA,NA,14,NA,35.77,19,8.42,283.64,6.4,59.7,44.29,0.51,3.56,4.15,5.21,108.39,98.53,9.86,0,0,0,0,0,0,51.55,98.87,46.82,0,13.95,29.49,46.95,137.21,"Nodo 3 - Pies inventariados",4.4,2.92,14.6,"9_76_25","IFN3","9_76",25,25,14,31.83,18.43,5.95,266.74,5.82,0.85,57.9,32.31,0.54,3.66,2.72,3.53,71.33,65.55,5.78,2.27,0,0,0,0,0,0,45.6,59.28,31.14,0,17.51,41.09,44.15,133.89,"Nodo 1 - Pies inventariados",3.83,0.45
"3695",3695,"9_76_15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9_76_26","IFN3","9_76",26,26,15,127.32,9.5,8.23,70.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",1.8,2.73
"3696",3696,"9_76_16","IFN2","9_76",NA,NA,16,NA,35.78,19.47,8.92,297.59,2.25,61.15,45.85,0.52,3.64,4.32,5.44,120.43,109.6,10.84,0,0,0,0,58.76,0,63.09,109.46,52.07,0,14.14,29.06,49.26,144.53,"Nodo 3 - Pies inventariados",4.42,2.92,15.05,"9_76_27","IFN3","9_76",27,27,16,31.83,20.63,9.64,334.22,1.07,1.06,64.81,46.71,0.54,3.86,4.47,5.7,145.25,132.91,12.34,4.62,0,0,0,0,67.04,0,51.31,133.51,63.15,0,15.47,30.22,55.32,164.16,"Nodo 1 - Pies inventariados",5.58,3.64
"3697",3697,"9_76_17","IFN2","9_76",NA,NA,17,NA,35.77,19.01,7.42,283.9,4.37,59.73,39.02,0.52,3.64,3.57,4.53,95.07,86.92,8.15,0,0,0,0,0,0,49.3,85.55,41.3,0,15.65,34.15,46.99,138.09,"Nodo 3 - Pies inventariados",4.41,2.92,14.6,"9_76_33","IFN3","9_76",33,33,17,31.83,18.17,6.77,259.33,7.51,0.83,57.09,37.27,0.53,3.55,3.16,4.06,79.5,72.48,7.02,2.53,0,0,0,0,0,0,49.18,69.35,34.44,0,15,34.34,42.92,126.71,"Nodo 1 - Pies inventariados",3.57,2.27
"3698",3698,"9_76_18","IFN2","9_76",NA,NA,18,NA,35.78,19.36,8.42,294.52,3.31,60.84,43.49,0.52,3.65,4.08,5.15,112.28,102.36,9.92,0,0,0,0,0,0,51.11,102.46,48.64,0,14.68,30.72,48.75,142.79,"Nodo 3 - Pies inventariados",4.41,2.92,14.95,"9_76_45","IFN3","9_76",45,45,18,31.83,19.29,8.23,292.21,3.08,0.93,60.6,42.65,0.54,3.69,3.81,4.88,108.77,99.21,9.56,3.46,0,0,0,0,0,0,50.85,99.62,47.14,0,14.84,31.29,48.37,141.63,"Nodo 1 - Pies inventariados",4.34,2.73
"3699",3699,"9_76_2","IFN2","9_76",NA,NA,2,NA,35.77,19.01,7.92,283.8,5.38,59.72,41.66,0.51,3.6,3.86,4.87,101.75,92.75,9,0,0,0,0,0,0,50.29,90.72,44.07,0,14.75,31.66,46.98,137.46,"Nodo 3 - Pies inventariados",4.41,2.92,14.6,"9_76_2","IFN3","9_76",2,2,2,31.83,19.5,7.73,298.69,2.13,0.95,61.27,39.62,0.54,3.77,3.54,4.55,103.96,95.25,8.71,3.31,0,0,0,0,0,0,48.98,93.12,45.26,0,16.18,34.45,49.44,145.32,"Nodo 1 - Pies inventariados",4.9,2.73
"3700",3700,"9_76_3","IFN2","9_76",NA,NA,3,NA,35.74,16.96,7.92,225.96,11.11,53.29,46.68,0.5,3.19,3.98,4.98,82.42,73.83,8.59,0,0,0,0,0,0,62.02,73.48,35.08,0,10.79,24.65,37.4,107.92,"Nodo 3 - Pies inventariados",4.36,2.92,12.6,"9_76_4","IFN3","9_76",4,4,3,31.83,15.67,8.18,192.86,10.36,0.61,49.23,52.21,0.52,2.97,3.95,4.99,73.7,65.12,8.58,2.35,0,0,0,0,0,0,57.24,65.15,30.94,0,8.43,19.94,31.92,91.24,"Nodo 1 - Pies inventariados",3.07,3.18
"3701",3701,"9_76_4","IFN2","9_76",NA,NA,4,NA,35.79,20.03,9.43,314.96,0,62.91,47.07,0.52,3.72,4.53,5.71,134.39,122.53,11.86,0,0,0,0,63.06,0,62.74,124.53,58.22,0,14.55,29.04,52.13,153.94,"Nodo 3 - Pies inventariados",4.43,2.93,15.6,"9_76_10","IFN3","9_76",10,10,4,31.83,20.68,10.14,335.73,0,1.07,64.95,49.03,0.54,3.84,4.69,5.99,153.78,140.44,13.34,4.89,0,0,0,0,68.4,0,63.56,140.29,66.73,0,14.88,28.65,55.57,165.83,"Nodo 1 - Pies inventariados",5.08,3.64
"3702",3702,"9_76_5","IFN2","9_76",NA,NA,5,NA,35.74,17.11,8.42,230.01,10.29,53.76,49.19,0.5,3.19,4.24,5.29,89.33,79.91,9.43,0,0,0,0,0,0,64.56,81.5,37.97,0,10.47,23.42,38.07,109.92,"Nodo 3 - Pies inventariados",4.36,2.92,12.75,"9_76_13","IFN3","9_76",13,13,5,31.83,16.52,8.68,214.26,9.05,0.68,51.89,52.56,0.52,3.1,4.18,5.28,86.41,76.76,9.65,2.75,0,0,0,0,0,0,63.41,78.85,36.47,0,9.24,20.91,35.46,102.08,"Nodo 1 - Pies inventariados",3.77,3.18
