"","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"98",98,"9_1577","Nodo 3 - Pies inventariados","IFN2",10,49,972.08,8.32,53.77,63.51,0,2.75,28.84,35.97,1021.15,16.32,4.14,4.18,1.33,53.83,45.36,1248.39,19.66,21.12,14.31,430.07,406.87,23.21,0.04,18.07,0,0,0,78.05,266.1,224.84,47.39,407.23,193.32,0.07,25.02,35.71,105.12,359.24,0.03,12.38,"Nodo 1 - Pies inventariados","IFN3",2003,50,767.48,0,0,51.66,NA,NA,29.28,36.3,1040.04,17.17,4.22,4.27,1.1,56.07,47.3,1011.7,21.02,22.59,17.26,370.64,350.73,19.9,NA,NA,0,0,0,79.5,225.37,185.72,37.8,352.14,166.64,0.08,19.63,27.4,85.51,299.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,"9_1580","Nodo 3 - Pies inventariados","IFN2",10,28,1587.16,11.75,134.69,30.61,0,2.26,15.67,21.25,354.73,6.52,2.92,2.96,1.09,41.22,30.67,700.88,38.52,41.4,5.87,90.67,81.28,9.39,0.01,6.57,0,0,0,0,2.28,0,60.44,77.46,38.62,0,17.1,42.37,50.67,148.76,0.02,7.98,"Nodo 1 - Pies inventariados","IFN3",2003,29,760.41,0,0,15.2,NA,NA,15.95,22.44,395.94,9.77,2.82,2.93,0.51,64.72,43.55,346.36,37.11,39.88,9.74,70.97,62.92,8.06,NA,NA,0,0,0,0,13.29,0,42.94,64.31,29.89,0,6.02,12.74,25.15,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,"9_1587","Nodo 3 - Pies inventariados","IFN2",10,25,428.72,2.03,144.27,7.6,0,2.21,15.03,16.49,214.25,5.27,3.11,3.12,0.33,33.88,31.94,175.91,91.67,98.51,4.92,17.78,15.97,1.81,0,5.09,0,0,0,0,0,0,14.28,14.9,7.59,0,4.98,13.52,12.58,38.66,0.01,7.81,"Nodo 1 - Pies inventariados","IFN3",2003,26,127.32,0,0,2.97,NA,NA,17.23,17.86,251.22,9.42,3.46,3.48,0.09,54.12,52.76,66.36,94.04,101.05,9.28,9.04,8.08,0.96,NA,NA,0,0,0,0,0,0,6.07,8.18,3.84,0,0.96,2.1,3.64,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,"9_1589","Nodo 3 - Pies inventariados","IFN2",10,40,533.75,3.24,119.64,22.93,0,4.6,23.39,29.58,688.91,9.95,4.18,4.3,0.78,35.62,33.62,474.96,43.52,46.77,8.76,85.94,81.53,4.42,0.02,16.86,0,0,0,3,44.05,16.57,17.95,78.33,38.74,0,13.7,25.26,37.95,115.65,0.02,18.23,"Nodo 1 - Pies inventariados","IFN3",2003,41,233.43,0,0,13.08,NA,NA,26.71,30.83,750.04,12.38,4.69,4.79,0.42,44.29,40.15,262.04,52.88,56.82,12.48,67.22,63.86,3.37,NA,NA,0,0,0,7.22,39.69,35.31,10.42,62.8,30.34,0,6.36,10.02,21.65,68.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,"9_1595","Nodo 3 - Pies inventariados","IFN2",10,40,2261.7,30.32,177.02,66.56,0,6.04,19.36,26.93,570.61,8.3,3.26,3.35,1.99,39.66,30.8,1445.46,25.35,27.24,7.37,229.72,211.88,17.84,0.02,20.57,0,0,0,0,66.68,0,97.44,205.67,100.67,0,37.4,78.05,110.17,326.29,0.02,24.36,"Nodo 1 - Pies inventariados","IFN3",2003,41,834.68,0,0,29.46,NA,NA,21.2,26.89,569.04,11.14,3.63,3.67,0.88,49.85,41.43,625.46,31.07,33.39,11.17,139.88,128.44,11.44,NA,NA,0,0,0,0,68.15,14.74,50.29,129.26,61.03,0,13.11,24.38,48.77,147.27,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"103",103,"9_1596","Nodo 3 - Pies inventariados","IFN2",10,47,605.91,3.89,68.68,35.5,0,3.38,27.31,33.37,883.86,13.54,4.41,4.47,0.95,46.09,40.57,707.42,30,32.24,11.37,195.13,185,10.13,0.02,17.99,0,0,0,20.15,119.39,98.18,27.11,183.15,87.9,0.06,16.3,25.23,58.76,188.26,0.02,14.18,"Nodo 1 - Pies inventariados","IFN3",2003,48,385.51,0,0,26.6,NA,NA,29.64,33.83,899.97,15.56,4.56,4.6,0.52,52.02,45.99,519.35,32.74,35.18,15.64,140.56,132.94,7.62,NA,NA,0,0,0,24.89,91.87,71.19,15.13,133.38,63.16,0,8.11,11.62,34.11,116.99,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"104",104,"9_1602","Nodo 3 - Pies inventariados","IFN2",10,35,2968.24,53.9,189.18,82.44,0,6.22,18.81,25.88,526.1,9.82,2.97,3.04,2.16,49.87,37.95,1803.37,18.69,20.08,9.12,358.36,326.05,32.3,0.03,27.15,0,0,0,0,129.01,25.46,163.07,327.51,154.92,0,37.39,75.67,136.46,404.43,0.03,24.86,"Nodo 1 - Pies inventariados","IFN3",2003,36,2412.08,0,0,56.96,NA,NA,17.34,24.59,476.63,12.31,2.68,2.79,1.48,64.96,50.08,1271.6,16.53,17.77,12.35,303.48,271.41,32.07,NA,NA,0,0,0,0,108.59,37.18,150.51,279.04,128.95,0,25.03,56.74,94.29,305.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18261182,31.83,0.4325697,23.3638566
"105",105,"9_1608","Nodo 3 - Pies inventariados","IFN2",10,27,1808.24,12.18,133.36,33.65,0.01,2.17,15.39,18.67,273.77,6.92,2.86,2.87,1.17,43.5,37.09,773.84,33.96,36.49,6.37,104.31,92.85,11.46,0.02,6.54,0,0,0,0,0,0,77.48,91.18,44.12,0,17.73,44.5,55.7,162.04,0.03,7.47,"Nodo 1 - Pies inventariados","IFN3",2003,28,636.62,0,0,14.96,NA,NA,17.3,20.77,338.95,11.23,3.1,3.14,0.49,62.27,54.09,334.22,35.28,37.91,11.33,74.72,66.45,8.26,NA,NA,0,0,0,0,15.02,0,43.77,68.36,31.57,0,5.65,11.67,24.77,73.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,"9_1609","Nodo 3 - Pies inventariados","IFN2",10,42,2103.52,23.83,185.67,61.79,0.02,6.07,19.34,24.9,486.88,9.06,3.23,3.29,1.79,42.79,36.41,1342.22,24.05,25.85,8,235.56,216.22,19.34,0.06,23.04,0,0,0,0,77.68,0,101.13,213.4,102.73,0,31.68,65.4,102.28,302.08,0.08,23.91,"Nodo 1 - Pies inventariados","IFN3",2003,43,1556.18,0,0,39.85,NA,NA,18.06,24.22,461.08,10.56,3.08,3.14,1.21,48.37,43.62,880.61,24,25.79,10.63,179.64,163.06,16.58,NA,NA,0,0,0,0,68,0,81.28,164.81,77.48,0,23.6,80.58,65.96,247.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84715856,286.47,0.3784587,59.5007739
"107",107,"9_1617","Nodo 3 - Pies inventariados","IFN2",10,38,1671.04,22.73,126.97,64.59,0.01,5.05,22.18,31.21,766.01,14.11,3.43,3.51,1.61,50.61,45.22,1355.67,17.34,18.63,12.12,328.76,304.34,24.42,0.04,25.4,0,0,0,13.36,175.47,70,94.85,305.74,144.6,0,28.7,51.1,106.91,331.32,0.04,20.93,"Nodo 1 - Pies inventariados","IFN3",2003,39,1206.04,0,0,45.04,NA,NA,21.81,33.63,888.86,15.05,3.51,3.62,1.24,51.87,44.76,949.39,19.13,20.56,14.95,256.02,237.33,18.69,NA,NA,0,0,0,27.4,136.48,99.36,66.41,239.81,112.76,0,34.63,113,74.55,334.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71809413,254.64,0.9545817,112.4515704
