"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","g_intrasp.x","g_intersp.x","bal_IFN2","bal_intrasp.x","bal_intersp.x","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","n_descorches.x","w_descorchado.x","v_descorchado.x","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","g_intrasp.y","g_intersp.y","bal_IFN3","bal_intrasp.y","bal_intersp.y","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","n_descorches.y","w_descorchado.y","v_descorchado.y","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"401","19_262_29","IFN2","19_262",34.25,17.57,12.18,242.42,0,0,51.68,0,0,55.19,69.35,0.24,2.41,9.28,10.29,138.85,91.33,47.52,0,0,55.4,129.91,55.93,3.09,9.96,13.73,82.72,0,0,0,"Nodo 3 - Pies inventariados",4.02,2.18,13.55,"19_262_35","IFN3","19_262",35,24,29,31.83,16.75,12,220.35,0,0,27.15,0,0,0.7,52.62,71.64,0.35,2.44,7.74,8.97,124.78,81.77,43.01,3.97,0,0,0,113.94,50.09,2.66,8.92,12.01,73.68,0,0,0,"Nodo 1 - Pies inventariados",3.2,2
"402","19_262_3","IFN2","19_262",16.23,27.75,10.85,604.79,0,0,5.39,0,0,87.18,39.08,0.34,4.03,7.19,8.35,299.37,202.84,96.53,0,0,201.28,278.76,136.88,13.01,28.77,49.46,228.12,0,0,0,"Nodo 3 - Pies inventariados",4.7,1.85,23.05,"19_262_3","IFN3","19_262",3,2,3,14.15,27.9,13.5,611.36,0,0,3.86,0,0,0.86,87.65,48.39,0.4,4.11,8.11,9.69,374.59,255.22,119.37,5.3,0,0,279.42,355.99,158.51,13.23,29.13,50.22,251.09,0,0,0,"Nodo 1 - Pies inventariados",4.85,4.5
"403","19_262_30","IFN2","19_262",34.25,19.54,12.08,299.81,0,0,46.18,0,0,61.38,61.85,0.25,2.7,9.08,10.12,169.08,112.03,57.05,0,0,67.7,157.21,69.67,4.32,12.75,18.49,105.23,0,0,0,"Nodo 3 - Pies inventariados",4.14,2.08,15.4,"19_262_36","IFN3","19_262",36,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",.,.
"404","19_262_31","IFN2","19_262",34.25,17.81,9.92,249.26,0,0,49.98,0,0,55.97,55.69,0.25,2.49,7.41,8.23,116.72,76.48,40.24,0,0,0,107.07,50.74,3.23,10.29,14.28,78.54,0,0,0,"Nodo 3 - Pies inventariados",4.06,1.92,13.75,"19_262_37","IFN3","19_262",37,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",.,.
"405","19_262_32","IFN2","19_262",34.25,22.45,11.45,395.86,0,0,34.42,0,0,70.53,50.99,0.27,3.15,8.31,9.36,209.68,140.13,69.55,0,0,146.88,196.86,90.4,6.69,17.6,27.3,141.99,0,0,0,"Nodo 3 - Pies inventariados",4.35,1.95,18.1,"19_262_38","IFN3","19_262",38,25,32,31.83,20.45,12.5,328.46,0,0,23.35,0,0,1.05,64.25,61.12,0.36,2.98,8,9.31,190.84,126.96,63.88,6.07,0,0,74.39,177.08,78.35,4.99,14.17,21.02,118.53,0,0,0,"Nodo 1 - Pies inventariados",2.35,3
"406","19_262_33","IFN2","19_262",34.4,23.59,10.35,437.1,0,0,24.2,0,0,74.11,43.89,0.3,3.37,7.25,8.24,209.16,139.94,69.22,0,0,155.19,194.88,94.34,7.81,19.74,31.37,153.27,0,0,0,"Nodo 3 - Pies inventariados",4.49,1.85,19.1,"19_262_39","IFN3","19_262",39,26,33,14.15,23.3,11.5,426.38,0,0,16.87,0,0,0.6,73.2,49.36,0.38,3.44,7.11,8.34,226.27,151.63,74.64,3.2,0,0,158.07,211.05,98.06,7.51,19.18,30.3,155.06,0,0,0,"Nodo 1 - Pies inventariados",4.2,3
"407","19_262_34","IFN2","19_262",34.25,16.71,9.41,219.22,0,0,52.51,0,0,52.49,56.32,0.25,2.34,7.05,7.81,97.93,63.79,34.13,0,0,0,88.24,42.87,2.64,8.87,11.92,66.3,0,0,0,"Nodo 3 - Pies inventariados",4.01,1.91,12.7,"19_262_40","IFN3","19_262",40,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",.,.
"408","19_262_35","IFN2","19_262",34.4,23.45,10.89,432.04,0,0,27.19,0,0,73.68,46.45,0.29,3.33,7.72,8.76,217.38,145.56,71.82,0,0,156.72,201.15,96.17,7.67,19.48,30.87,154.18,0,0,0,"Nodo 3 - Pies inventariados",4.45,1.89,19,"19_262_41","IFN3","19_262",41,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",.,.
"409","19_262_36","IFN2","19_262",16.23,27.47,11.39,592.83,0,0,8.31,0,0,86.31,41.46,0.33,3.96,7.66,8.87,308.07,208.83,99.24,0,0,201.83,288.04,138.14,12.61,28.11,48.1,226.95,0,0,0,"Nodo 3 - Pies inventariados",4.67,1.89,22.8,"19_262_43","IFN3","19_262",43,28,36,14.15,26.65,12.5,557.81,0,0,6.39,0,0,0.79,83.72,46.9,0.4,3.94,7.5,8.92,318.07,215.62,102.45,4.5,0,0,198.91,299.62,137.18,11.46,26.19,44.16,218.99,0,0,0,"Nodo 1 - Pies inventariados",3.85,3
"410","19_262_37","IFN2","19_262",34.25,18.61,9.32,272.13,0,0,48.14,0,0,58.48,50.07,0.26,2.62,6.9,7.68,119.52,78.44,41.08,0,0,58.34,107.91,53.57,3.71,11.39,16.14,84.81,0,0,0,"Nodo 3 - Pies inventariados",4.11,1.82,14.5,"19_262_44","IFN3","19_262",44,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",.,.
